the best mp3 player ever  .
beautiful design , excellent quality , spectacular interface , incredible battery life , and amazing amount of space  .
definitely a 10 out of 10 , hands down  .
def worth buying  .
apple has once again put out a great music player  .
i owned a 20gb ipod before this , and i can say after using both the video capability is an excellent extra  .
sound and video quality on the player are excellent  .
the screen quality is incredible for such a small device  .
it is much thiner that my previous ipod , and it has 10 more gigabytes  .
the battery life on the video could be slightly better , but the music battery life is great  .
the music quality is very good , and i love that the player shows the album art when you are playing a song  .
there is also new ipod games for download  .
the itunes software works seamlessly with ipod , and it is very easy to sync music and movies  .
i is a little disappointed to see that itunes does not offer a video conversion software , but there is multiple free softwares out there for converting videos to the h  .
264 format other than a few problem with itunes , this music player has very few flaws and i would recommend it to anyone .
ya know , the ability to put more songs than you could listen to in a year is not all that bad  .
it is a lot of memory , and you can fill it up with just about anything  .
the only way it could be better is if it is a cell phoen too , hint hint apple  .
i dont know who is in charge of making the decisions at cnet but come on the gigabeat (or whatever its called)better than the ipod  .
never in amillion years  .
a friend recently bought the gigabet and i tried it out for a few hours  .
thats all it took for me to understand that the ipod is the true god  .
as for toshiba , sony and the rest keep on trying maybe one day (ha ha ha)  .
this is the second mp3 player i've owned and it is well worth the money (first mp3 player is an iaudio u2 , which is excellent for using while exercising) i bought the 30gig 5g ipod about a week before i went on vacation  .
i is tired of carrying around a boatload of cds and wanted something that could hold my entire cd collection and be easy to find albums and songs without having to do a lot of shuttling  .
once i converted everything to the itunes format , it quickly synced my ipod and kept the tunes organized  .
with just a couple clicks on the ipod , i could see all my albums  .
one more click into my album of choice and there were my songs ready to be played  .
truly excellent  .
i searched the internet for an dvd converter for the ipod  .
i tried handbrake but could not get it to work for my windows formatted computer so i bought a converter which worked with no problem  .
i converted a movie and some series episodes  .
they worked fine on the ipod  .
very good quality  .
i is going to buy a dvd player for my vacation , but bought another ipod instead and just converted some movies for the trip  .
i had a 15 hour flight to contend with the ipod battery seemed to be very good  .
the ipod i used just for music lasted the entire flight and more  .
the ipod using the video is good for a few hours into the flight , then i had to use the extra battery  .
i bought an iluv battery and case that the ipod fits in  .
the iluv/ipod combination lasted for days before needing to be recharged .
are you looking for an mp3  .
this ipod is what you are looking for i bought it for christmas and it's wonderful , no problems at all with it , i have the logitech mm50 speakers and i use it at home to listen to my music , when they say it's kind of scratch attractive , they are not lying , i bought a transparent plastic protector , and it's well protected  .
don't get obsessed with it , enjoy it  .
you bought it to use it  .
i know it's cute but do not worry to touch it , you're not going to break it hope it has been useful  .
the video ipod is a portable entertainment powerhouse  .
if you want get a real ipod and a real deal to match , then you can sign up yourself and a 5 buddies and you can get a freebie  .
no kidding  .
i did it , my neighbor did it , and i see no reason you cannot  .
i use to always ignore the free ipod offers until my neighbor told me he got his free through their service  .
you see the way it works is they count on the fact that most people are not going to have the little bit of sticktuitivness that it will take to sign up 5 people  .
it really is not hard however if you just put a little effort  .
you can get your free video or nano ipod at http  //ipods  .
freepay  .
com/  .
r  16498848  .
click or cut and paste the linko and you'll be on your way to a real fresh freebie  .
and remember to stick to it  .
let me reiterate go for the video pod the thing is awesome  .
you can watch movies and they look great  .
i use a nifty little piece of software for converting dvds and watch stuff in class , on planes , and in waiting rooms  .
really sweet  .
if you love music and like video you should pick this up instead of any other mp3 player on the market  .
itunes makes it so simple and nothing from any other company matches it  .
good job apple .
the best mp3 player yet , every time i buy an electronic i find my self hardly using it after a while , not this  .
with incredibly large storage you can fit more then enough songs  .
i'm pretty sure that i wont get tired of this within the next 3 years  .
i cant wait to see next years ipod's  .
must get item .
i think this is by far the best mp3 player  .
i have owned a jukebox , a creative player , and a samsung yepp , an ipod 3 , 4 gen , and also a mini ipod before  .
all cannot measure up to the new 5g video ipod  .
the screen is amazingly bright and easy to read  .
the features are nice  .
i know , other mp3 players usually have line    in , fm , voice recorder and all those crap , i owned the creative and yepp before and both have all the other functions , but the samsung yepp are really hard to netvigate i got that mp3 player for my mom and the fonts are so small and it's so hard to use that we finally give up on it  .
basically now we only use it as a recording pen  .
and the creative just feel cheap in hand , though is user friendly and the price is decent  .
but the ipod is superb  .
the sound quality , the easy netvigation of the manul , is just so nice  .
everything is so easy to use , so self    explanatory , no hassle  .
and now with the bright screen , is perfect for anyone  .
