this is my ideal mp3 player mp3 player    get it  .
music player   )  .
cnet , you should stop allowing people to review products that are not on the market yet  .
obviously , everyone who has reviewed this so far has no idea what they're talking about .
the new ipod nano really replaces the old ipod shuffle , but now you have a screen and controls and are not limited just to shuffling  .
this is a massive improvement  .
if you are missing the camcorder and video playback and other app features from the old nano , for you there is the new ipod touch , with hd camcorder , imovie video editing , youtube upload , a display worthy of video , and ios apps  .
with how thin and light and full    featured the ipod touch is , it makes sense now to make that the ipod for everything , and make the nano the best choice for those that want a music player only .
a lot of people have already commented on some of the cons for this product  .
i think a lot of people expect that everything that has a screen has to have the capability to play video , play games , etc  .
with the 6th gen nano , apple has essentially made it a ipod shuffle on steroids  .
sure it's a little better bc you can have pictures on it , etc  .
, but the bottom line is , it's designed to be just like a shuffle only with more memory  .
so if you're looking for a gadget that can do everything like video and all that , then spend the money for an ipod classic or touch  .
but , if you're looking for something with more memory than a shuffle , but do not need as many features as the other ones , buy the new nano i used mine for working out on a regular basis and i love it .
my gripes are minimum on this new nano  .
i got it a day ago and all in all i think it's solid for what it promises  .
apple is phasing out all old gen ipods  .
this is sad , but it's business as usual  .
the click wheels of yore will , in a year or two , be gone  .
touchscreen is now  .
if like me you want something for the gym , something small at school and other places , you cannot go wrong  .
the touch features are very intuitive and this is a cool little device  .
it's screen is the perfect size for album artwork  .
also it has the nike fit that is a nice feature  .
overall , if you feel you will use the device for these purposes , it's a buy  .
otherwise , do not updated  .
on oct 1 , 2010  .
video on the nano  .
seriously  .
i see the last generation of the nano all over my gym , and i've never met anyone who has shot video , or even still shots , with it  .
apple correctly rolled back two functions that no one wanted or needed , and replaced them with a form factor that is an improvement to everyone i'll reserve judgment on the touch screen controls  .
the scroll wheel and screen combo is a masterpiece of functional aesthetics that will be hard to improve on over all , apple did exactly what they needed to do , they maintained the nano in a perfect position between two other highly competitive , iconic products .
this is my first ipod  .
i bought this because we use macs at work , and i is a little tired not being able to reorganize my music on my zune  .
also , my zune's harddrive has been getting stuck a lot , so it is time to find a replacement  .
the zune has been the only other mp3 player i've owned , and i is pretty happy with it  .
i compared the sound quality of the two , and i cannot tell the difference i actually like this little guy a lot  .
its nice to be able to use it at home on my pc and at work on the mac  .
