pound for pound (or rather gram for gram) the best hand held pmp video , music , web , ect  .
player on this side of saturn  .
as with any brand new high end product , problems may arise from time to time , (mostly from third party apps) but this is a must have for any real tech enthusiast  .
it blows away the touch and all others pretty easily don't believe the hype  .
some people (i  .
the editor at cnet who wrote the review for the archos)are just i    anything fanboys  .
we see mac loyalists all the time turning a blind eye or trash talking anything that comes close , let alone anything that flat out spanks , one of their precious mac encrusted gadgets  .
think about it    whens the last time you saw a mac commercial where they simply talked about their own product  .
been awhile  .
don't get me wrong , this concept does not apply across the board to all mac users but you know who you are  .
lol  .
that being said the itouch/iphone are a great products but they just can not do what the archos 5 android can  .
for starters lets talk video   if you want to play a video on a touch/iphone (lets refer to them both as mac's for posterity sake from now on) you first have to most likley convert it and then using only one program (i    tunes) copy it over to your device  .
whereas with the archos , it plays just about every format known to man , even 720p hd natively with the available codec (although an extra $39  .
99 us) and transfers via drag n drop or sync with wmp  .
not to mention the screen is simply gorgeous with 800 x 480 on the device  .
oh yeah , it's also a dvr when coupled with the optional docking station with the ability to play in hd via hdmi on your compatible hdtv  .
not to mention a whole host of webtv and online video accessible via the archos media array on the main desktop screen  .
then theres the fact that the archos out specs and performs when it comes to music playback and features across the board  .
look the bottom line is this   the archos 5 android does too many things to mention here and it does all of them very well  .
the mac's our great and even refined products , as they have been around for a while , but in my opinion as well as many others it is easily beet by the original archos 5 , without android  .
the features of the archos 605 are far more impressive then the mac's  .
and that is something that i and the editors of cnet can agree with  .
these new models are just icing on the cake  .
what ever device you choose , good hunting and heres to technology  .
whatever the brand  .
big rob .
donald bell , as usual , rates this as an apple fanboy  .
how come his review of the similar priced ipod touch does not list non    existing gps , flash , 800x480 4  .
8 screen and the video codecs support as bad points  .
archos improved or even fixed gps , mkv 720p in the latest firmware   http  //update  .
archos  .
com/7/archos5/changes_firmware_archos5  .
html donald bell should remove gps from the bad of his review and change the rating to rate it better the the similar priced ipod touch sure archos needs the full android marketplace , but you cannot blame it on archos when google is still releasing android 1  .
6 and 2  .
0 updates in the next days and weeks that are the first versions of android to support the kind of medium density 800x480 4  .
8 touchscreen that archos is using  .
i would rate this product 4  .
5/5 for currently lacking android marketplace and google apps  .
but as i expect the full android apps support to come within weeks on the archos so my rating stays 5/5 cause i don't think cnet allows me to update my review  .
if you absolutely need full marketplace and google apps , wait for the firmware updates and follow http  //forum  .
archosfans  .
com to see when users report which apps that work already today or later (because hundreds do work fine today , and most  .
apk files for android applications that you can find on the internet will install by simply finding them through google and clicking on them) follow the discussions on my forum to see if archos will support the full bitrates of mkv 720p movies above 3500kbit/s  .
i haven't tested todays new firmware update that claims to improve mkv h264 support through    .
video   h264 sd high profile did not play  .
video   allow smoother h264 hd playback in some cases  .
video   seeking in mkv file sometimes caused audio or video freeze  .
until this firmware at least , 720p mkv support up to 3500kbit/s means 720p mkv tv series would playback fine (if archos fix the audio synch issue on those hd mkv files) since there is no other device in the world to support 720p mkv on android or any other os , i found mkv support to be a really nice surprise so even if full high bitrate 720p movies would not be supported even with the best optimized firmware update archos can come with , i still don't think it should lower my rating  .
since archos provides the absolute best video playback , storage and streaming experience in the world no matter what  .
for example , archos supports to stream youtube hd at 1280x720 and 2mbit/s of those files , outputted to your hdtv through hdmi , which makes it the absolute best youtube player in the world i haven't been able to test 3g bluetooth tethering , but with sipdroid and other voip applications on android , i do believe this could replace mobile phones to provide you with the most affordable free mobile phone system since the archos 5it at 8gb starts at $249 msrp and street prices may go below the $200 and many countries have sim cards for hsdpa to use for 3g tethering using any cheap $50 mobile phone for $20 per month pre    paid without the need to sign any contracts  .
imagine runing google voice , skype and sip telephony on that setup , i think it could be pure awesomeness (although i haven't been able to test it yet) archos could release a version with built    in 3g (which i would love even more) , though i probably would not rate that 6/5 cause with built    in 3g comes other constraints , like a probably more expensive purchase price of the product if unlocked ($100 extra  .
$200 extra  .
) , or a compulsary 2    year subscription plan with a carrier in many markets such as in usa , france and some other countries where it's the 3g carriers that make the law there are some good reasons for the ipod touch to be selling faster than the iphone at the moment  .
price , and not having to subscribe for $1500 over a 2    year contract with a carrier  .
archos 5 internet tablet positions archos perfectly against the much inferior ipod touch .
i have always enjoyed archos video devices , and the newest device maintains the great video experience both from screen size / resolution , and codec support perspectives  .
i have streamed videos from my nas devices to the archos devices since the 605 wifi , and the new device streams fine even from older nas devices without upnp support the new browser is the best mobile browser i have used bar none  .
i prefer the zooming on the archos browser to multi    touch  .
when you swipe the screen lightly , the zoom controls appears on the bottom so you can see the impact of the zoom when pressing the + or    icons without your fingers blocking your view as they do with multi    touch  .
i find the archos zooming to be easier , and less awkward than multi    touch with the added benefit of not blocking the screen  .
even more important , when you zoom a webpage , the text reflows so you can read pages without having to horizontal scrolling each line  .
i prefer mobile pages on screens 7 , and the text reflows on single column pages ensures you can read the pages with a larger text size without the dreaded horizontal scrolling  .
one of my biggest disappointments with the ipod touch is the lack of reflow when you use multi    touch zoom which results in having to horizontal scroll each line to read some single column pages at a comfortable text size  .
imo , the archos browser with its constant text reflows when zooming results in the best mobile browser experience  .
although the default is to id as a mobile browser , a browser setting allows you to change this to id as a desktop  .
the review indicated problems watching cnet tv due to limited flash support  .
hopefully , that will be corrected when andoid releases full flash 10 support  .
in the interim , the videos on iphone  .
cnet  .
com play fine concerning photo zooming , i prefer the methods for zooming photos on the archos to multi    touch  .
if you hold your finger at the point you want to zoom the picture , the picture zooms until you release the finger  .
a lot easier , and less awkward than multi    touch for me  .
in addition , a finger friendly slider appears at the bottom of the screen to allow finer control without the zooming control blocking your view i have not tried the gps as this feature is not needed since i have stand alone gps in car i have only tried the micro    sdhc card from my phone (16gb) , and it is discovered immediately , with no trouble viewing pictures , and videos from the card i do wish the archos 5 imt had a replaceable battery , this trend toward no user replaceable batteries is a bad trend for me  .
i know the archos devices have an optional external battery attachment , but it is not as powerful , or convenient as an actual replaceable internal battery the review indicated how convenient the built    in stand is on the archos device  .
for me , this is an essential feature for watching videos  .
with other devices , i am constantly searching for a place to lean the device against while i watch videos  .
i appreciate the built    in stand every day i use the device as you can tell by the tone of my review , i am a big fan of archos devices , and have been since the av500  .
the bigger screen makes for an excellent mobile video platform , and the android addition promises many new exciting features in the future particulary with android 2  .
0 supporting multiple resolutions without recompiling code .
this is an excellent platform for entertainment , reference , ebooks , and games i used this as my sole pc for about 2 weeks  .
while it is painful (screen is resistive) at times , the browser (i also downloaded opera) , email (k9) , and included ms office compatable suite kept me going , as long as i is in range of wifi stability of applications is pretty good the gps , which does not use google maps , is quite good , and the full map database lives on the device  .
very helpful when driving out of cell range areas , where google maps just cannot handle it kindle is probably the application i use the most  .
it is a very nice size to read on the subway you do need to use astro to 'backup' the android market from a cell phone w/ android 1  .
this will let you install it on the archos 5  .
you cannot use archos's crappy market afterwards , but who cares  .
my kids love the video playback and the games which use the accelerometer (e  .
paper airplanes) this is an affordable , flexible device for entertainment , general pc tasks (limited by use of virtual keyboard       a bluetooth keyboard would have made this better) , web browsing , email , and even research (e  .
evernote runs fine on it) .
