just recorded a jazz orchester and got the applause of the musicians for the good sound  .
no need for any extra microphone in my opinion  .
the mic  .
is placed in a way were it eliminates any capture of sound from the tape mechanism  .
i will say this becourse some scratches their hair trying to figure out why it is placed on top facing upwards it has a good sound the video quality is beyond anything i have ever seen  .
only comparable quality are imax films it has a very good grip and it can slip into a jacket pocket i do not see the reason why the shape has been attacket with such hatred  .
it has a real good shape  .
it is wonderfull to hold  .
and i am glad i did not go for the little fat barrels that are in fasion right now buy it  .
jens  .
if you appreciate canon's digital slrs line up , you will like this camera's cmos silky smooth video  .
my first reaction to the video is similar to when i got my first digital camera from canon (d30)  .
sharp , smooth , great color reproduction low light performance is not that bad  .
as long as you film in normal room lighting you will be fine  .
waited for a compact on the go hd package and now it is here  .
get yours today .
i love this camera for all around use , wilderness , street cam , concert etc easy to edit on macs  .
try to edit avchd camera video i dare you  .
you will have multiple problems of additional software , money , time and headaches  .
now they are shrinking avchd sensors and blowing up the compression to compensate    not as good as good old hi    def mini dv  .
hear me now believe me later  .
i just bought another hv10 new from buydig for 569  .
00 you cant beat that  .
this is my first hd camcorder  .
i've been using digital camcorders since june 1997 and this one is by far , the absolute best picture quality of any camcorder i've ever seen  .
keep in mind , i've never seen any other high    def camcorder , so i can only compare it to my experience with older analaog and 1st generation thru current digital camcorders  .
when i play the video back on my 72 hd tv , it looks as good or better than broadcast hd programming  .
i mean , the picture quality is spectacular  .
i disagree with the cnet video review that said the form factor is awckward  .
it's not  .
it's actually quite comfortable  .
it's odd at first because the strap is connected at a wierd angle , but once you get used to it , it actually makes sense  .
i've connected this to my pc with a firewire cable and dumped the videos and edited them  .
the firewire connection worked flawlessly  .
the pull    out screen is large and the best i've seen on a camcorder  .
i wish it did 24p  .
if it did , i'd give it a 10  .
but , because it lacks 24p and the menus are difficult , then i give it a 9 out of 10 .
bought this one refurbished for $544 from willoughbys , it looks like new , and all accessories were included  .
(it's sad when you are actually surprised to get the product as ordered  .
excellent video and color saturation  .
i is impressed , and i am a professional videograher  .
i mostly bought this camera because it can fit in my pocket and i like the fact that it records to mini    dv , and does not compress the image like hard drive or memory stick cameras do  .
it feels odd in your hand , and i have small hands (no jokes please  .
) anyway , you hold the camera and put your index finger on the zoom , and the other three just under the sensor and you pinky goes under the camera for extra stability  .
once positioned , it is easy to keep the camera study and on target  .
i also use my left index finger to slightly touch the lcd display for left and right panning without shakes great focus , and sound is good , but not fantastic  .
included remote has some nice features  .
battery life is too short , but all included batteries seem to have that problem image stabilization seems as good as my sony , i only wish they would make these cameras with either a longer zoom (20x) or built in wide angle  .
you will not be disappointed by the performance , and once you get the grip down , you will be fine .
considering this cam cost me 625 in nh (no tax) i cant find anything that compares for the money  .
i have 2 sony z1's and had to sell my hc7 cause the canon is all i needed  .
its not perfect but no hd camera stands out like the way the panasonic gs500 sd cam did  .
i have no brand loyalty but if you can get this for under $700 than you got something that is well constructed and captures pretty 1080 hd  .
if your parents can work the dvd player this is the camera for them .
i have to admit that i probably would not have purchased the hv10 when it first came out       for the full product price  .
but many people did because it is (and is) an excellent high definition camcorder  .
it is now selling for about half the price it originally listed for and this makes it a baragin , as well the hv10 has an excellent video picture       in daylight it has as good a picture as any of the non    professional hdv camcorders  .
many have knocked it for its low    light performance , but so far i have found it to be comparable to many of the camcorders i owned in the past  .
(certainly not as good as in bright light , but definitely worth watching  .
add to this the fact that (for a camcorder) it takes quite passable still photos , with many of the options for still photography that are usually only available on a dedicated still digital video camera  .
i would not buy the hv10 if still photography is your primary interest , but it takes 3  .
2 megapixel images that look good as long as you don't try to print them much larger than 5x7 or so the form factor of the camera is definitely a matter of personal taste  .
i happen to like the small upright design that the hv10 shares with the canon optura line and many sony camcorders  .
(in fact , i previously owned two sony camcorders with this form factor)  .
it may help that i have fairly small hands  .
before purchasing it , my wife and i compared it to the newer canon hv20 and the sony hc    7  .
we preferred the look and feel of the hv10 it does lack several features that may affect your desire to purchase it       as many have said , it lacks any means to add an external microphone or headphones  .
the sound from the built    in mic , however , is fine for my videotaping needs  .
(i own a directional mic for one of my sony camcorders , and it does improve sound , but i find that i rarely use it  .
) others have complained about the lack of an hdmi connector  .
i don't mind its omission (although it would have been a nice addition) because the componet output (using the provided cable) is similar in quality  .
i use the ilink connection (also known as firewire) to connect it directly to my sony hdtv       which not only transfers video and sound , but allows me to control the camcorder with the sony's remote  .
the ilink/firewire connection also provides for video connection to a mac or pc the hv10 weighs less than 1 pound and feels solid  .
it is handsome with ebony and silver design  .
(in comparison , i is unimpressed with the look and feel of the newer hv20       it feels too plastic and not as well made  .
i consider the fact that it records in hdv on minidv tapes one of its advantages  .
avchd camcorders that record on minidvds or hard disk do not (currently at least) generate video that is easy to edit with most of today's video editing software the hv10 is my first purchase of a canon camcorder (most of my previous camcorders were made by sony) , so i is not sure what to expect , but the quality is excellent  .
i miss the touch screen found on current sony models (many people do not like the touch screen , but i do) , and it is a bit harder to find canon accessories than sony accessories , but other wise i am quite satisfied  .
you probably will want to invest in another battery (the larger canon bp    315 battery will last approximately twice as long as the supplied battery) , and at some point you may want to purchase a wide    angle accessory lens such as canon wd    h37c , (like most consumer camcorders , the 10x zoom is somewhat lacking on the wide    angle side  .
as a mac user , i am pleased to report that it works with with imovie hd and iphoto right out of the box with no need for additional software the hv10 is apparently being phased out for the newer (but larger) hv20  .
this means that you can pick up the hv10 for a bargain price (as low as $700 at amazon  .
com)while they are still available  .
in my case , that's worth an extra point in the rating .
bought this as i is waiting for an hd camcorder  .
purchased for $850 at costco  .
if you are looking for a camcorder , go for this one  .
the hd picture quality is amazing  .
the still pictures are great also  .
the pros far outweigh the cons  .
highly recommend  .
