great product very satisfied  .
stunning image quality  .
life    like pictures  .
just the best  .
cannot go wrong .
i got the canon dm    50 external mic and it performs very well  .
the shutgun mode really zoom in on the subject of shooting the image is like hd broadcast , fantastic  .
i do not agree with cnet review that low light performance is lacking  .
i think they meant in no light situation , cause i tested mine and it work great for me indoor with dim light price is right comparing to sony's counterparts highly recommended  .
this is my first digital video camera and is very impressed with the hd images on a 46 hdtv connected via hdmi cable  .
the picture is sharper and more brilliant than anything i had ever seen  .
it exceeded my expectations  .
i is also please with the no hassle connection to my mac g5 and the incredible video using imovie and idvd i took it on a trip to greece and used a tripod to gather images  .
the cost of the camcorder and carting around the tripod is well worth it because of the spectacular video i brought home  .
thanks canon  .
i have had several camcorders in my life  .
they were the canon gl    1 , the panasonic pv    gs150 and the pv    gs250  .
my gl    1 is amazing but it is big and i sold it when i got married  .
the panasonic's were nice but they always left me wanting  .
poor low    light and average feature    set to date this is my favorite camcorder  .
the video quality is amazing  .
the camcorder is so easy to use  .
i love that i don't have to spend gobs of time fiddling with presets to get good video about 24p  .
it's really cool  .
it makes low    light footage look awesome  .
i would say , however , that when it comes to shooting impromptu family videos , i prefer the videoish look of 1080i  .
their are two reasons for this   1  .
i discovered that i want my family videos to look like video  .
back when i is making short movies , 24p is the perfect solution to making video look slightly more like film  .
i do not desire the same effect with baby videos  .
of course when i'm shooting in low    light , i check this opinion at the door and go for the 24p  .
it really produces nice color under harsh conditions  .
the second reason is that while 24p is very pretty , it has a more 2 dimensional look than 1080i  .
i think this is because you have more information in 60 half    frames vs  .
24 full frames  .
if i were making a short movie , i would not hesitate to shoot 24p though i cannot say enough about this camcorder  .
okay so the build quality is chintzy  .
after most people see the quality of the video it shoots , i'm sure they can learn to live with it  .
i know i did  .
it does not even bother me enough to knock it down to a 9  .
for once , canon really got it right .
i purchased this camera for my cine projects , and making presentation dvds for my software products , hoping to be able to generate broadcast quality without having to carry a bulky xl    2 (which has not hd)  .
(there is a big difference to go up in a volcano carrying 10 pounds less)  .
appart from the house consumer look that ashames pro people , the hv20 has just about everything , and every single feature works great  .
i have heard complains about noise in low light , but as photographer i intend to light my subjects in a way i like  .
no light , no image  .
i use manual exposure and manual focus  .
noise in low light is the result of amplification , but in manual mode , you command the camera , and hence no noise will be visible as i've confirmed i took casual video (autofocus , autoexposure) of las vegas at night and it is superb , from image stabilization to incredible color and sharpness  .
and that super    detail 1080 hd is just what i needed  .
for pro work , just added a good shielded mic , a good hold/stand or steadycam , and sunshade/filter adaptor  .
in my hd tv set it shines like no one i ever had  .
as for cinema mode and 24p , it is just what i expected  .
with a tiny bit of grain in post process , it shines like pure film (because for making even a short movie , you do need post process)  .
the small light in the front is a toy , but just ignore it , and use studio lights or existing light what else can i say  .
i love it  .
a feature i could wish   smooth slow motion without post .
i purchased this camcorder yesterday at place i work for 830 dollars  .
yes , that's right  .
i have an employee discount  .
i could have purchased the sony hc7 , but the problem is that camcorder still costs more than 1000 dollars with my employee discount  .
i am really happy with my choice  .
this camcorder takes great videos , and performace is very solid  .
i realy like the overall design of this camcorder  .
it's light weight , and compact  .
thx you canon .
first off , let me say that i am super happy with this camera  .
it has exceeded my expectations though you do get graininess at lower light , im telling you , the noise level has been well dealt with  .
