purchased two sd1000s for two of my grand    children who are over 19 years of age  .
after three months they both love this camera and the pictures they have taken with it  .
each of them have taken over 500 pictures and have no complaints .
i love the quality of my pictures look so wonderful its also wonderful how it comes with basically everything you need right off the bat small very small im able to have it in my pocket with no problemo i highly recommend these for people who just want to point then shoot haha .
if you want a reliable , new , camera that takes fantastic images and is wonderfully designed  .
look no further  .
this is the camera for you even though it might not have a lot of manual controls , they are still sufficiant parfect  .
this is the best camera you can buy at least on its class  .
it is incredibly fast  .
it is also very small and its case and feeling is awesome .
this camera is a great deal  .
it has every thing i thought about  .
this camera is very clever it deal with it flash in an amazing way to bring the best image  .
the macro mode is v  .
good  .
every thing in this camera is v  .
good  .
and about the af    assist beam you can turn it off when it became noisy like takeing picture to a baby so you do not want him to close his nice eyes .
just purchased this camera and could not be more satisfied  .
it starts up so quickly and the picture quality is incredible  .
the video it produces when using it as a camcorder is terrific  .
my first day using it i dropped it onto the kitchen floor from a height of 5 feet and it still worked perfectly afterwards  .
i purchased a 4gb sd card and can take thousands of high quality photos .
this is great  .
easy to use  .
easy to download picture to the computer canon is simply the best in photography  .
best compact i've ever owned .
i have a top of the line leica and hp digital camera  .
neither of them comes close to this canon when i campare price with features .
i'm pretty sure canon has put out updated models since i bought this in 2005 but if you are picking one up used or as a hand me down , do not let it go .
great camera that takes excellent photos ; can turn off flash and still take good quality indoor photos  .
i prefer canon cameras over other brands i have tried  .
the best thing about this camera is the size  .
it is very compact yet takes great photos  .
it is a great all    around digital camera  .
the only issue i have is when i use zoom to try and take long distance shots ; they are grainy  .
otherwise , the photos are very high quality and i have been very happy with this camera  .
i gave one to my son who also loves it  .
i can carry it easily in a pocket (in a neoprene case)  .
super camera for the money .
if you are looking for the cheapest camera for the best quality and technology , this is the one to choose  .
the camera retails for $200 but i got an awesome deal for $150  .
the size is small and stylish , so it is very portable  .
the screen looks small even though it is 2 inches , but it is not that big of a set back  .
do not get it for video quality because the video quality is ok , and not like that of a camcorder  .
it can be used for close up small videos , but not for recording concerts or anything with a lot of movement  .
the quality is clear , and when using the camera you do not need the handbook because it is easy to use  .
i've taken pictures of everything and the quality is comparative to that of an slr , but an slr is still better if you want to enlarge your pictures a lot  .
with looks , quality , and extremely simple use make it the best .
i have a nikon slr digital and i prefer this for 9 out of 10 situations  .
it is compact , very functional , easy to use , easy to recharge the battery which last long , and the prints are in most cases every bit as good as my nikon  .
this camera excels in daylight and close flash situations  .
the autofocus is very good  .
with the price drop , it's a great choice for under $200  .
my 11 year old is able to operate it right away , and my loves it  .
it is a great replacement for her kodak , which shut down suddenly and ate up batteries  .
fits in pocket or purse so you can always have it available  .
my nikon is big and bulky by comparison .
this is a great little camera for the money  .
definitely one of the best that i've owned  .
not only is it fast , sleek and easy to tote around , the functionality is unsurpassed  .
if you really get into the picture modification features of the camera , there are so many options  .
just to name one of the many , they have a snow option for when there's a lot of glare during winter/skiing pictures  .
you're also able to adjust light balance and a number of other things just by scrolling through the function options (when set on manual) even if you do not get into all the fancy stuff , it's a great basic use camera  .
the micro    view (the little flower on the d    pad) takes great up    close pictures  .
(generally used for flowers , etc) and the opposite for the larger views (mountains , etc) i would suggest this camera to anyone who wants to make a versatile investment in a well    rounded camera .
the camera takes very good pictures be it indoors or outdoors  .
the response is very fast i  .
the picture doesn't take too long to store on the card  .
the face recognition does not work always , especially when the light is low  .
the other con is that there is no battery charge indicator .
i bought it in circuity city during thanksgiving sale of 2007 for $160 i read reviews in cnet and the camera made me happy  .
it takes nice pictures and videos  .
good battery life , light weight , design , nice size are some of the best qualities i would recommend this to people who want a nice little camera for personal use .
i bought this camera in june of 2007 and since then it produced nothing but absolutely great shots  .
it is easy to use but provided more control than the average sub    compact camera  .
it is worth far more than i paid for it  .
in december i accidentally broke it (no fault of the manufacturer , it is purely my own fault  .
) i would have replaced it with the same one but i really want the wide    angle lens of the sd870 is  .
this camera truly is the best camera i had ever used  .
in fact , because of my experience with this camera and the great pics that came from it , three of my friends bought one and are loving it too  .
i have been an amateur photographer for a great many years  .
as a fan of the candid , shoot everything approach , i knew i wanted a small , compact digital camera that could 'always be there'  .
this canon powershot sd1000 is everything i could have hoped for and more  .
i bought it for the ridiculous member price of $140 at bj's wholesale on impulse knowing that i either wanted a powershot or a coolpix  .
i could not be happier i can take out this camera , turn it on in less than 1 second , and take up to 3 pictures per second  .
the focus , zoom and image quality is outstanding my complaints    .
it is very difficult to get this thing to work with my computer  .
and i am a software engineer  .
it has only been a few days since i filled up my memory cards and i lost the card reader (doh) which is easy to use it's a simple fix , but a slight nuisance the card reader i purchased separately as part of a targus case , card reader and tri    pod bundle  .
