if you can get a reasonably priced used one , go for it       it's definitely worth it .
this has been the best camera i've ever purchased  .
i had the misfortune of losing my first one (careless me  .
) , and i immediately sought a replacement  .
i love it , and would definitely get another    hope i do not have to though  .
very good choice , we have taken hundreds of pictures , maybe thousands and absoluteley love everything about it .
this camera did not disappoint , with the iso settings , and also the stitch function , which allowed me to get a great panorama view of the manhattan skyline , and you short in low light  .
the camera feels sturdy , and the lcd screen seems to have a coating that makes it hard to scratch  .
ergonomics are great , and i never had it fall out of my hand while grabbing for it in my pocket the only thing i did not expect is a high    pitched mechanical whirring noise when you power on the camera , and when you focus  .
this noise is in addition to the mechanical zoom in/out sound  .
the previous models did not have it , and i almost returned the camera because of this  .
i had to go down to fry's to hear the floor model do the same thing , and also the sd630  .
i guess the new models all have this sound  .
just a heads    up .
i rate this camera a 10 based on what it is designed to do , not on the entire universe of possible options  .
simply put , if you want a fast , high    quality , small camera you just cannot do any better this is my 4th digital point n' shoot camera and for what we wanted it's perfect  .
my old camera missed a lot of shots of my young kids because it took so long to power , focus and shoot  .
what this camera excells at is speed  .
hit the power button and wham    it's on and focused , ready to shoot it's small enough to put into your pocket and the image quality is superb  .
the featureset is moderate but very useful    for instance you can manually set the iso from 100 to 400 depending on the speed you want  .
there are various preset modes you can easily adjust to    nighttime , outdoors , indoors , even underwater if you have the diving case i can think of very few products i've bought in my life that were perfect , but this is one of them  .
it meets and exceeds my every expectation  .
any smaller and it would be too hard to handle  .
any more options and it would be too cumbersome to navigate  .
they got this camera just right i went on ebay and got an extra battery and small case  .
i keep the extra charged battery in the case and never miss a shot  .
a 2gb sd card is under $20 these days and holds ~700 maximum quality photos  .
unbelieveable  .
now , if you're expecting to take magazine quality low    light action photos this is not the camera for you  .
go get a $1500 digital slr  .
if you want a compact , handy , speedy point n' shoot this is the one .
this a exelent camera for your photography is a exelent buy .
i'm a canon man now , i converted from sony and nikon cameras  .
just something about the image processing and the post editing on photoshop that makes this so much easier  .
i am very happy with my purchase .
do not get any other brand of camera  .
this one is really great  .
seriously , i have seen all the pictures that my other firends and family have taken with their lame cameras    and it is nothing like the pictures i can taek with my canaon anna23@natureday  .
com  .
great for my purposes  .
i have it for one month now , and have taken more than 1000 pictures (new 2gb sd card  .
) already 1  .
small  .
works great due to small form factor with newer sd cards 2  .
i like the auto    upright function for pictures  .
basically if you tilt the camera 90 degrees the picture automatically turns upright when you pull into the computer  .
this feature is unique to canon i think and works great with picassa  .
google  .
com to make web albums  .
that one feature has helped me save atleast an hour of not having to rotate pictures in a photo editor while creating a 100 pic web album from about 800 holiday pics  .
i is very trigger happy , and is pleasantly surprised it took less time to make and album and email it to relatives 3  .
auto color sensing feature  .
you can set one color to pop out of an otherwise black and white photo  .
makes people think you are very photoshop savvy when you only spend one extra minute to do it in the camera  .
there is no loss of fidelity also as you dont have to reprocess a jpeg 4  .
iso 800  .
this mode is very useful for low light  .
somewhat grany pictures but great light  .
i guess in bright light it gives even brighter pics so i ended up leaving it always in the 800 mode  .
nice new feature , not there in older canons 5  .
great video  .
nice sized , video , can project with reasonable quality on my home theater projection system  .
(i am saving tons of time not having to deal with the computer and studio programs)  .
usb port cover  .
it is a metal piece , but it is attached with a plastic thingy , which you have to pull out before you can open it  .
i am being very careful with it as i am very worried this will break with successive use no other cribs yet go buy it  .
i am hard to please and this one did it for me  .
i returned 3 other cameras this bf season before settling on this one  .
i highly recommend it .
i have or presently own many digital cameras from the onset of the digital era and have been taking pictures for over 50 years i also have professional training  .
i find this camera to be of the highest quality  .
i view this genre of cameras to be a point and shoot variety and it has met or surpassed my expectations  .
it is the only one with a seperate viewfinder (essential for outdoor shooting)  .
the manual is simple to understand and follow  .
the onscreen menu is easy and most important the picture quality is superior  .
even my wife who does not like to take pictures would have fun with this  .
a solid 10  .
i got this camera for my 68 y/o father  .
he hates carrying a camera and video cam  .
i got him this for the video quality  .
it had to be the most simple thing for him to use  .
and it is  .
6mp/dvd movies/ fits easily in pocket  .
$200  .
i cant think of anything better  .
im buying another for my wife kefta  .
i got it mainly to take pics of my daughter and because i got a great deal on dell  .
she's two and moves alot  .
i have not taken a blurry photo yet even though it has no image stabilization , which is something that almost convinced me not to purchase it  .
but , i gave it a try and it's simply wonderful  .
i held it to a cigarette box and it is exactly the same size  .
you cannot see the camera around them no matter how you hold the box so it really is a pocket camera  .
and they say it only has basic function  .
this is honestly the first camera i've owned , but i'm very good with electronics i've had it 3 hours and still have not figured out all the functions , but there are tons of functions to play with  .
a must have  .
had a nikon n90s and switched to the digital technology trynig to get something less bulky and easier to deal with  .
this tiny camera is superb  .
my greatest concern is always image quality and this little one is hd  .
very simple , very intuitive  .
thanks canon  .
ok , bought this camera in the uk while i is living there for about 2 months (its called the ixus 60 there)  .
served me very well  .
basically fell in love with the quality of the photos and the function and features of the camera  .
took it everywhere with me i get home , and its fine , and i fly to ny  .
worked fine on the plane , but i'm about to take my first picture there , the lens jams  .
well , that sucked because i was not able to take any pictures while i is out there so i gotta get this thing fixed , so i call canon , they ask me a few questions , try to troubleshoot it    no go  .
so they have me send it in , but are kinda uncertain if they'll honor the euro warranty in the usa  .
so i sent it in anyway (they made it really easy    just download , print and fill out a form and put it in the box with the camera)  .
i check my status of the camera online and it said it is warranty work  .
i is stoked  .
got the camera back , brand new lens (old one had a dent in it from being dropped a few days after i got it) , nicely packaged 2    day fedex camera is back  .
