you will love it  .
njoy dis thng .
i bought canon sx10 is by jan '09 after checking 40    50 odd reviews over internet and happy to write one in the end after using it for around 8 months  .
am pretty happy with the outcome of this product it is for guys who aspire for dslr camera's but cud not afford around 40k  .
this comes in with loads and loads of features  .
you get a feeling that you are professional photographer  .
if you are serious about photography  .
this is the one to go for the sx10 is makes it clear that you're serious about your photography now it is available in indian market for around 26k  .
do give it a go mark my words , itz worth every penny that you spend  .
for all you complainers if you thisk this camera is heavy , go lift a dslr with a opt 300mm lens then come back and tell us how heavy this camera is  .
then ask them the price  .
now , you low light complainers , maybe if you read your manual , instead of taking the camera out of the box , putting it on auto , and go , you would benefit if you tried a different setting like program , and set your output of your flash and your shutter speed  .
i think you would like this camera a little better  .
and remember you paid a lot less for this point and shoot than you did for a dslr with a lens  .
excellent camera that produces incredible images  .
mega zoom rocks  .
i've taken photos from 50+ yards away and they came out perfect  .
i am most impressed with the color , clarity , and contrast of the images produced by this camera  .
skin tones , lights , darks , shadows , etc  .
are really awesome  .
i will never go back to a point and shoot pocket camera  .
there's just no comparison , especially for the price .
i did alot of research before buying this camera  .
i am not dissapointed , it does everything i want it to do  .
i is almost thinking about a dslr , but didn't want to invest in the lenses , or take on the hassle of not having a point and shoot  .
i have not found a situation where i have been unhappy with this camera yet the auto mode does almost everything flawlessly , and the manual mode give all the control you need  .
by far the best camera i have owned  .
the pictures are amazingly sharp  .
i can edit a photo down to a small face in the background it is still sharp  .
once you learn your way around the cam , it is easy , quick , and allows lots of creativity in your photography  .
i put a screen protector on the viewing window and it is a great idea  .
my old cannon is all scratched because i always forgot to close the back of the camera  .
now i just change the plastic protector  .
battery life is good , and one spare set of rechargeables will keep you going all day  .
recovery time is fine , and the 'sports' mode makes continuous shooting easy  .
i am very happy with the camera .
sx 10 compared to (sx 110) and the (sd 880) (all3 cameras    (try to shoot in good light and keep isos low as possible  .
880 , sx110 have nice bright 3inlcds , sx10 a nice bright 2  .
5 in lcd that rotates , turn it in faceing the camera to potect the lcd or to take a self ported  .
the sx110 is brighter but the sx 10 handled the sun a little better their speed    880 being the fastest but the sx 10 is right their with it , the sx110 is allmost twice as slow (with flash on) but to be fair it uses only 2 aa batterys both the sx10 sx110 you have to use 2500    2900mah rechargeables or energizer lithium batterys , i think using standerd aas your just not going to be as happy all 3 cameras have the scroll wheels , the 880s is the best , sx110s is next best and sx10 comes in third just saying ) sd cards are next    i use sandisk extreme iii (2 or 4 gigs) , extreme ii would also do a good job i like the wide 28mm lens on both the 880 and the sx 10  .
