i always listen to music with this device day and night  .
videos in 2  .
5 screen look great ( i usually watch long hours of movies in xvid format)  .
pictures can be used as background (wallpaper) while playing back tracks and it feels like an album art , a rare feature  .
it also has six different colorful themes  .
pocketable mp3 player that excels almost every aspect without breaking the bank  .
its a feat for this price range  .
i can recommend updated  .
on jun 12 , 2010  .
this is my second creative mp3 player  .
i had the microphoto  .
my favorite feature is that you're not limited to having to use proprietary software to use my mp3 player like you do with the zune and the ipod  .
this is the main reason i sold my 1st generation zune  .
i love the fact that i can use creative's software , windows media player , or just plug it in and utilize it like an external hard drive  .
it's been great to back up data in a pinch .
bottom line , it's the best player i've bought so far i mean , i just bought it because i love creative , but i have to say , this is the best player by far i loved their vision  m although it is my friend's , i just kept playing with it  .
but this tops it they kept the large 2  .
5'' screen which is absolutely beautiful  .
pictures and movies look terrific on this screen  .
i'm glad they kept the screen size and put it into this very small and slim player , it makes it more pocket    friendly as expected from creative , it has an array of features  .
it also supports aac now , but i don't have those so i didn't really need it , but i know most people do  .
it supports many types of files which is great since you don't have to convert every single file into one file type  .
i've never had a problem with the program it comes with since it's pretty easy to use and something new from creative , the sd card slot  .
i've never used those before , but they've proved to be quite handy for extra memory not that 16gb is not enough for me  .
i'm good with even just 4 or 8gb but just in case  .
i do watch a lot of anime shows so it is perfect for viewing those oh and it has great battery life  .
one charge and i is listening and watching for two days  .
great it is pretty affordable when you think about all the things that the player comes with and all its capabilities  .
i mean , i got this from circuit city for about $170 (more or less) and that's really good for a 16gb player with this many features so i highly highly highly highly recommend this  .
i don't know how much i can stress it but it's absolute genius  .
i mean , unless you hate the controls , which i thought were good and pretty straightforward  .
i do not expect touch control or anything like that  .
just easy    to    use tactile buttons so get this  .
now  .
xddd  .
all in all there is only one justified complaint which is that the sd card dose not integrate well otherwise this finally our cure to the ipod epidemic  .
got the brand new 32gb unit about a month ago  .
glad it's that big  .
haven't had any of the problems that some users have had  .
been using players of various types for years , so it's not like i don't know what i'm talking about  .
haven't had a need to update the firmware anyway  .
i like to use the base memory for mp3's and the sd slot for videos so i do not have an issue with library integration  .
no white screen of death , lock    ups or detectable gaps in playback  .
ditch the creative earbuds and get a decent pair of cans , honestly  .
for all the haters and pod fanboys , stick with what you want and leave the quality players with us .
i have owned this product for a few weeks now  .
i love it , it sounds amazing , looks great , and is thin and light  .
there is very few things that i don't like about this product  .
i is looking for a player that came with more than 8 gigs of memory and i didn't want to spend 400 bucks on a touch  .
the headphones are not as good as the ones that came with the zen m , but they are better than the ones i bought from phillips  .
i gave it a ten because i believe that its the best product out there and for a great price too  .
i'm a very conscious shopper and after reviewing all the product out in the mp3 market the zen is the best choice  .
if you don't believe me buy it , try it out for a week and if you do not like it just get your money back from best buy or fry's or where ever you buy your products from  .
truly a great player  .
i recommend that you buy the skin with wire management comes in handy and work well .
i have never used this but i have other creative mp3 players (zen touch and nano+) and i like them better than the ipod which i also own  .
i posted this with a 10 rating in an attempt to cancel out those previous 2 low ratings by people who also have not used it .
definitely an ipod killer  .
wonderful player built by a respected , well known company  .
if you can live without the shuffle all songs feature , go for it you wo not regret it  .
in fairness , creative may have added this feature to subsequent models , which would definately tempt me back to buy one at sometime in the near future .
quite a capable player  .
for its size and appearance , it is very compact and sleek  .
has fm radio , notepad (to read  .
txt files) , outlook sync'ing , photos , videos what not  .
screen (2  .
5 inch same as ipod nano) is pretty bright and works for me  .
for the price you buy this for , i think this is an amazing catch  .
please do not expect a big screen from an inexpensive flash drive player  .
i is able to watch a complete season of my favorite tv show during my office commutes  .
i am very impressed with the player  .
browse by alphabet and search by key word is a very handy feature (particularly since this lacks special scroll features) the video converter software provided is rather slow  .
get the iriverter software available for free which comes for the iriver player  .
select the output file to be compatible with zen vision m  .
iriverter does the job much faster than anything else i tried buy one of those silicone cases and screen cover (zen vision m screen cover works with this) if you are worried about getting scratches on your player no big complaints  .
i recommend this product over ipod nano (considering the fm as a big plus in gyms during your work out) .
i absolutely love this player  .
its really easy to use , it looks great and the buttons press down easily (as opposed to the zen stone i've had in the past)  .
the sound is really good but the video and screen quality and video blew me away  .
the battery lasts for ages the screen does seem to flicker sometimes on my player , but its a very small problem i don't really like the zen media explorer that came on the disk , its a like drag and drop but does not let you do as much overall i think the pros greatly outweigh the cons , and it is only 150 euro aswell , which is insanely cheap for a 16gb player .
this thing can do everything  .
if only it is free .
i've owned two ipods and they both   out after just over a year of owning them  .
then i moved to the creative zen vision  m and loved it  .
while it is a tad on the bulky side , it had better battery life , better resolution , a cooler interface , and a more intuitive navigation system than the tedious and gerbil feel of the click    wheel  .
i dropped it several times and it still worked like a charm  .
when this came out , i had to have it  .
creative has tweaked the interface to make it a little smoother and adds some small effects like the way the bar moves between selections  .
it sounds fantasitc , as is expected from a company that makes sound cards , has excellent eq options , has the useful shortcut button , and the switch to tactile navigation buttons are a plus  .
its a fantastic mp3 player that also plays aac files .
i is blown away by the sound  .
it left my nano in the dust without even adjusting the eq  .
the interface is very slick  .
i like being able to rate tracks on the fly  .
the dj feature also lets you play the highest rated , least heard , not rated , shuffle all , or most heard tracks the few freezes that i had were do to some incompatible audio formats (m4a tracks ripped from cds in winamp rather than itunes)  .
a firmware update is released that fixed the freezing and most of the format issues , but not all i is slightly disappointed that the video has to be transcoded to wmv for it to play (no native divx support) lastly , creative's linux support is abysmal  .
the player works in ubuntu 8  .
04 to sync , but creative supplies no software for linux (even firmware upgrade programs require windows) .
i looked all around for a detailed review for this mp3 player , but didnt find much , so i hope this helps everyone this is my 4th mp3 player since 2000  .
this is one of the best , i love how small it is and how functional it is  .
i have used the creative zen m for 2 years and that is very similar to this one in many ways  .
i use it everyday going to work or wherever and it has never failed me  .
i use it for the mp3 , radio and sometimes the video , hardly for pictures sound quality is great , always use the eq  .
i do not use the volume restriction or bass boost as it just distorts the music  .
set your eq and you will be happy  .
i also love the menu customization as you can change the order and decide what belongs and what goes on the main menu i like how you can create your own playlists from scratch on the player it self  .
then saving it as a playlist the video feature kinda sucks , you need a converter for screen size and codec  .
the creative zen m you did not need to do this , this is why i dont use this feature as much as i dont have the time or best program to convert videos radio doesnt seem to have the best reception , but if you can find the station without using the autoscan it works good  .
you cannot record radio as you could in the past creative zen m it also has a microphone built in to record whatever you want , concerts are not recommended as its too loud and too messy  .
voices are probably the best bet for recording the coolest part is the sd card function  .
i do not use it for extra memory , but i do use it for reading sdhc cards as an external drive  .
you can transfer files from the card to the zen or directly from the pc to the card using the zen as a card reader  .
i found this really helpful because there are not alot of sdhc card readers , just normal sd cards  .
you can also transfer all the memory from an sd card to the zen and then clear the sd card to continue using it on a vacation or somewhere else when it becomes full overall i am very happy with it and glad i got it at a good price $160 plus tax i recommend it for those who want a good mp3 player with lots of functions  .
video works good if you find a good video converter and good videos to convert from go buy it  .
i've owned quite a few mp3 players over the years and this , by far , is my favorite  .
i would have given this a 10/10 except for one minor problem  .
it seems to hang up when trying to transfer very large amounts of data  .
personally , i'm not that impatient that i cannot transfer in two shots instead of one  .
no biggie , at least to me  .
this very minor annoyance is a very small price to pay for the quality  .
when i'm watching videos on my player in public , folks will walk up and ask me what this is and want to go run out and get one  .
picture quality is impressive and the sound i upgraded to a pair of jvc earbuds is awesome  .
best player i've owned  .
buy it  .
i just got the creative zen (8 gigs) about a week ago and could not be happier  .
the only real problem that i have with this player are the loud buttons  .
i'm in high school , and also in the middle of exams , so when i am done with my exam and want to listen to my music , it seems that everyone can hear me every time a button is pressed  .
however , this is a drawback that should not persuade anyone against , really also , i prefer this over a cheap    fealing set of buttons any day  .
besides this one minor draw    back , the player works phenomenally  .
i hooked it up to my computer running windows vista (without loading the cd) , and it instantly loaded all of my music in no time , and even my pictures and videos  .
with that in mind , i give this player a 10/10 because of it's easy navigation , beutifule screen , great sound quality , and fast transfer speeds .
i am now a creative customer in part to this player  .
i love the ability to drag and drop media without the cumbersome and many times damaging proprietary software you find with some other players  .
i do not have to speak to the display as it's already been stated that its excellent  .
big ups to creative on giving the customers what they want .
it's a great little player  .
sound is clear (just do not turn on bass boost)  .
it sounds great with the eg and all the audio enhancements turned off no more wsod with new releases updated  .
on feb 18 , 2010  .
great mp3 player  .
i agonized over this for months  .
i am glad i got it  .
the best part is you can upload/download music from any computer  .
no itunes authorization , etc  .
sd card slot works great  .
i store movies on there as not to eat up all my on board memory  .
i wish the buttons were a bit more solid feeling , but not that big of deal  .
fm radio works very well  .
stations come in very clear  .
screen is amazing  .
pictures look so nice i only wish it had video playlists i am happy .
i upgraded from my jukebox xtra to the 32gb zen  .
i haven't had any major problems  .
the knobs are small and take a little time to get used to , but are very easy to use  .
also , i am having some trouble w/my creative media center transferring files quickly from the jukebox    but this is not the player's issue  .
i might need to reload my old software  .
i wanted a small player that can fit all of my music and this player does the job  .
the only other flash player i know of that has this much space is the ipod touch    but it is almost double the price and is bigger  .
i do not really care about touch screen technology or wi fi stuff so the zen is perfect for my needs .
love this player  .
i've had this player for months with updated firmware and all , and i particularly like that you can sync it with wmp  .
zencast is a great podcast aggrigator , the controls are nice (don't know why people say it feels cheap) , screen is vibrant , sexy as anything , the back feels great (has a fine , grained texture to it , adds good amount of weight and feel to the player) , and everytime i use the radio i think of what i would be missing if i had bought an ipod  .
the only caviots i can find are that it does not come with so much as a felt case , and the front of the player attracts fingerprints and scratches  .
keep it in a nice case , and you'll never have a problem (i'm keeping it in the case that my digital tuner came in until my case from i    nique comes in)  .
great job , creative  .
as someone who's owned many daps , this is pretty much the closest thing to the perfect player i've ever owned  .
easy to use , great sound , lots of functions and best all , expandibility (although somewhat flawed and needs work) .
the creative zen is the best mp3 player i've owned  .
(yes , i prefer it to my ipod)it's compact , has an amazing screen for videos , (try amazon unbox)and a generous 16 gb of flash memory (or check out the 32gb flavor it's also not tied down to any software , and you can make/name playlists on the go  .
you can also browse by album art , listen to fm radio (good reception) , and transfer photos right of of an sd card .
i got my creative zen at the creative website and would advise others to do so too , but i also advise to go to your local electronics store and try it out and look at it before you buy it online  .
i have a vista so when i got the package , the software did not work , so i got a update on the creative website and it works good now  .
also i got mine in sep  .
2007 so it had just came out  .
the creative zen 4gb is what i bought because of the sd card slot , on the slot there is no door to close over the card  .
the controls feel very nice and natrual to use , the screen is bright , the battery life is awesome and the interface is great  .
being able to use itunes songs is great too  .
note when in the sun it is almost impossible to see screen but the sound is awesome on this and the video is very , very good although i did notice some pixelation  .
the fm tuner gets ok reception but not great  .
overall i think this is probebley the best player i have ever had .
the prices have dropped to 2gb    $80 4gb    $110 8gb    $150 16gb    $200 and 32gb    $350  .
i have owned the zen vision   m (also a great player) , and after that is stolen i bought a zen v plus 4 gb (amazing for the price if you don't have a lot of music)  .
this player is wonderful and improves on both models in many aspects i have come to expect a high quality of sound and this player doesn't let me down  .
the eq function makes music that much better the screen is crystal clear and pictures and video are a dream the fact that the player has an expandable memory slot is the reason why i bought it , even after being told the cards don't show up in the music library  .
i put all of my videos on sd cards and it functions similar to your dvd player  .
want to watch kill bill , put in one card  .
want to watch your complete season 3 of nip/tuck , switch to a different card  .
nifty in its own right now for my minute problems  .
i really wish they had made the controls back    lit  .
in a sense you have some trouble distinguishing between the play and the shortcut key in the dark  .
with my new case with wire management , the buttons are raised so i no longer have as much of an issue ok , so i have neevr really like the radio  .
i assume its my town , i don't get great reception  .
but if i wanted the radio , i have a car  .
doesn't bother me  .
but its a problem none the less being black , it picks up smudges like no one's business  .
i keep a cloth in the case  .
quick wipe and its good  .
buy a case though , it is a must the memory card doesn't integrate with the library  .
many people are up in arms about this , but its not a huge hassle  .
i downloaded the firmware update for free from the creative site and it now allows me to integrate the pictures  .
