this is the desktop graphics , gaming and work lcd to have  .
i originally bought this being influenced by an e3 show in los angeles  .
every game company it seemed is using this monitor to showcase their games on every system from ps3/xbox360 to the pc and mac  .
i figured if they used this to showcase their games to graphic perfection , with the media staring at them from all sides , then this must be the monitor to have and i is right about that hdmi , vga , dvi component , composite  .
as well , two usb2  .
0 ports , a speaker connector  .
pip/pbp so i run my security camera or my tv in a small window thru composite , and have my pc on the dvi , and my xbox360 thru hdmi and i just love this monitor  .
i even love the stand  .
being able to turn this sideways to play visual pinball full screen makes it perfect for virtual pinball games  .
it feels and looks like you're at a real table playing buy it  .
stop looking around  .
this is the one to get  .
more people will complain then those that will come to a site just to compliment a product  .
as with any product there will be defects here and there  .
i've purchase 22 of these (for my company and 4 at home) and not one of them had even so much as a dead pixel on them  .
if it did , dell would replace it without issue  .
buy it  .
do it  .
now dammit  .
;    )  .
i couldn't recommend the dell 2408 wfp highly enough (unless you can afford a 27' or 30 monitor , in which case i'd recommend the largest screen you can afford , but do not put quality before size ie  .
in which case , look to dell anyway) .
dell lowered the price by $100 and sent me a $50 discount and that cinched the deal for me  .
i have owned two ultrasharp displays and have never had any problems with them at all  .
likewise , the dell desktops that i have owned (i currently have a dimention 9100) have been rock solid , and i would definitely consider purchasing another system from them i wo not repeat the points mentioned in the cnet review and just say that i would recommend this display to anyone looking for an outstanding 24 monitor  .
watch for special prices/discounts    dell currently (07    31    09) has the 2408wfp for $439 .
this monitor is a bit more pricey than others in the 24 category , but i feel for me that it is worth it  .
i got rid of my tv in my room since this is large enough , and it had multiple inputs for the xbox and stuff .
basically , it's one of the few 24 pva screens on the market  .
it's not as good as an i    ips panel , but it also sells for half the price  .
for those who have stuck with the common tn panels for many years , this premium panel is worth it for the wow factor .
ok there are display port to dvi cables available on    line  .
there are also dvi    d to hdmi cables too  .
so you could mix and match  .
for example 4 hdmi connections compatibility with dvi and hdmi  .
the dvi signal is electrically compatible with hdmi video signal ; no signal conversion needs to take place when an adapter is used and consequently no loss in video quality occurs  .
as such hdmi is backward compatible with digital visual interface carrying digital video (dvi    d or dvi    i , but not dvi    a) used on modern computer monitors and graphics cards  .
this means that a dvi    d source can drive an hdmi monitor , or vice versa , by means of a suitable adapter or cable , but the audio and remote control features of hdmi will not be available  .
additionally , without support for high    bandwidth digital content protection (hdcp) on the dvi input , the signal source will prevent the end user from viewing or recording hdcp protected content  .
(note that hdcp is available on some dvi connections)  .
source   wikipedia search hdmi  .
so this monitor is a buy and i bought one  .
i will use the following on it  .
ps3 (hdmi) , xbox 360 1stgen (component) , mac mini (dvi) , macbook pro (dvi) , a gaming pc (display port to dvi    d cable) and a work pc (svga) .
this is by far the best 24 monitor money can buy  .
i happened to scoop one of these up brand new from ebay (i know its risky) for $490  .
i just finished watching blu ray version of 300  .
i have to tell you that the visual experience is phenomenal coupled with 5  .
1 surround sound , i actually felt like i is part of the movie  .
becuase it is an s    pva panel , this monitor has no ghosting , superb color gamut , perfect viewing angles , and the 6ms response time has no effect as i still pwn in cs  s  .
i highly recommend this monitor to anyone who wants full hi    def and a plethora of features did i mention the features  .
2 x dvi with hdcp support  .
hdmi  .
displayport  .
analog (vga)  .
component  .
s    video  .
composite  .
as well as ,  .
(2) usb 2  .
0    left , (2) usb 2  .
0    back  .
9    in    2 flash reader  .
(usb connection to pc required)  .
audio out  .
optional speaker bar  .
most people won't use these features , however the fact that dell did not skip over anything is awesome  .
displayport is one of the more unique things about this screen  .
all in all this a superb monitor that will please even the harshest critics .
great monitor for graphic designers and photgraphy buffs , especially if you purchase a color calibrator  .
i use mostly for writing code which is great on such a readable , high    resolution monitor .
i chose the dell ultrasharp because of my past experience with dell monitors , which i have to say has been pretty good  .
i wanted it as soon as it came out , and i had to pay the early    adopter tax to get it  .
but i have not been disappointed  .
the picture is wonderful , the options are great , the adjustments let you make this exactly what you need it to be  .
monitor , tv (hd looks awesome) for your xbox360 (understanding that its not 1080p) or whatever  .
it's easy to work with , its easy to move and it has a bevy of connectors  .
hdmi , display port , 2 dvi , vga , component , composite , and audio out for your speakers the only gripe i have is that the usb and media card reader don't work when the display is off  .
that is a problem for me because i wanted to use the usb ports on the side to connect my iphone and sync it when i went to bed  .
i shut the power on the monitor off , and when i got up the next morning i do not tend to read manuals or instructions , so this may have been mentioned , but the truth is , killing power to the monitor should not render these features useless .
really , it's an awesome monitor  .
i'm glad i spent extra money to get a good one with a good adjustable stand  .
if i is dell , i would have dropped the built in usb hub and memory stick readers and saved 75$  .
then it would have been perfect .
clean , bright and just does its job well  .
really well .
nice gaming monitor , has a game mode in the presets , without a doubt , this is far better than the monitor that it replaced (samsung syncmaster t240)  .
no dead pixels that i can see , and it seems to be pretty good in picture quality , albeit it's still in torch mode that it shipped with  .
i'll have to figure out how to make the picture more natural  .
if anyone can help me with that , that would be very much appreciated  .
other than that , this is definitely worth every penny of that extra premium for what it can do updated  .
on mar 6 , 2009  .
just got mine on june 23 ; got lucky and received a good one , no complaints at all  .
very crisp display , bright images , vibrant colors  .
vga input could not handle the 800x600 signal from an older video card , but once i swapped in a new card and drove it at native 1920x1200       holy shmokes  .
also hooked up a sony blu    ray player , watched no country for old men  .
best lcd movie experience i've ever had  .
highly recommended  .
the best monitor i have ever owned  .
i cannot recommend it highly enough  .
it does everything i want it to and does it well .
this is my first review ever  .
i currently have two of these in my office here , both get used for graphic design and video production i must say , these monitors are wild  .
the default brightness level is way to bright and the saturation of the reds and greens is almost blinding at first  .
if you are not prepared to get a color calibration device and calibrate it properly , you're in for a very bright and colorful computing experience for example , you will notice , very quickly , that you'll need to enable the color management feature in firefox in order to get a color managed web browsing experience (google it , it's a hidden option in firefox  .
) if you use ie , or firefox without enabling color management , the reds and greens will be so over saturated , it's almost clown like browsing experience so , to sum this up  .
you will need to properly calibrate this monitor and enable the firefox color management option , if not , while your reds and greens will be colorful , it will not be very accurate final note   again , if you calibrate this monitor , you will have something which can compete , somewhat , with eizo's top of the line coloredge offerings  .
also , to all you pva haters , i'd just like to remind you that eizo uses s    pva panels , just like this dell .
truecolor technology that allows for 110% color gamut super full hd lcd .
my first ever on line review because the product is so good i'd recommend it to anyone  .
i've read some on line comments about problems with bleeding and banding in a totally dark room i see a little bit in upper left corner , in normal light , nothing  .
banding  .
i magnified a screen cap and measured banding at 8 pixels  .
the green ghosting on text is no big deal for me  .
no dead pixels or bright pixels and with dell's return policy not a problem at all  .
i've seen people say they'll wait for revision a01 but why  .
if you get a good one like i did , enjoy , if not , return and get a good one , dell makes it easy .
having been a previous owner of the 2407 dell ultrasharp monitor i is a little concerned about ghosting as a problem in this monitor as the 2407 had a terrible ghosting problem in games and movies probably due to the factory cranking the overdrive up to ludicrous speed we've turned plaid  .
suffice to say that i is more than pleased when i hooked this monitor up to my pc and my xbox 360 and found that my new monitor displayed no noticeable ghosting at all in fact , ghosting aside the image quality on this monitor is astonishing  .
with just a little tweaking in the options menu i discovered just how beautiful gaming and 1080p movies could be  .
the colors are accurately displayed for the most part  .
like i said a little adjustment is needed but goodlord after i is done with my tuning , this monitor really pops  .
many inputs make this monitor an excellent multimedia display for a bedroom or office  .
i found the hdmi and rgb inputs to be relatively useless for hd movie play back in 1080p due to display scaling / cropping , however there are two dvi inputs that will display an hd input perfectly  .
static image quality is probably a little sketchy for those of you who make a living off of that sort of thing  .
i noticed a little color shifting in some of my static test images  .
if your just an average consumer you wo not notice though as the picture quality is still way above average for gaming this monitor is spectacular  .
the changes i noticed going from the old one to this are simply mind bending  .
eve looks incredible  .
you can really see how much love dell put in this monitor for gamers over the 2407 i recommend this monitor to anyone and everyone  .
at this price point it just cannot be beat thanks for reading my article gar  .
i have the monitor hooked up to a new dell system at work  .
it is amazing in that configuration  .
a monitor with a similarly configured system , ram , video card , etc  .
like anything you mix and match , i could see buying this monitor , or many others for that matter , and it does not work as you like  .
i have not gamed with it  .
