is this review a joke  .
i followed drobo for a long time and this guy is a welcome upgrade to the one that's already out  .
i bought one and have had none of these problems .
i have to agree with the other posts here  .
after waiting to receive my drobo 2nd generation for a couple of weeks , i just tried transferring my photo gallery to the new drobo using fw800 and it is very fast , much faster than the older usb only version  .
i now have two drobos because my storage needs are huge and cannot fit on just one drobo with the capacity limitations of current hard disks  .
drobo is in my opinion the best storage product for my photography needs on the market    hands down  .
the review slams the new drobo for being slow , but given my experience i have no idea how he came to this conclusion , except to say that the official response from data robotics must be accurate  .
how unfortunate that such a cool , innovative and easy to use product gets an unfair review from a professional reviewer  .
i love my drobos and if it were not for them i would not have peace of mind for my priceless images  .
bravo drobo  .
this review is based on a defective pre    production review unit  .
we remained puzzled as to why the reviewer published this review despite having a requested a replacement production unit which we agreed to provide  .
data robotics stands by its products  .
if you're interested in reading reporting that is more representative of the new drobo please see the following    .
http  //twipphoto  .
com/archives/593  .
http  //thomashawk  .
com/2008/07/welcome    to    drobo    20    two    times    faster  .
html#links  .
i wrote this review in the drobo 4tb section but have moved it here i pre    ordered the drobo ii in zurich a couple weeks ago , and paid about $650 for it  .
i is nervous actually very nervous because the reviews for the 1st gen drobo were a bit hit    or    miss and the reviews for the 2nd gen were spotty as well  .
i read and re    read the cnet review hoping there would be a third iteration to it that said , despite our 1st and 2nd attempts with the drobo our 3rd attempt reveals that it is the most amazing , lightning    fast , whisper    quiet , energy    efficient , super    secure piece of hardware we have ever tested that review never came and i is constantly bothered that they hadn't reviewed the drobo with a mac / os x i am a storage junkie , and so this is my drobo experience (thus far) in so many words    .
performance with imac 2  .
8ghz , 4gb ram , os x 10  .
5    only tested firewire 800    drobo ii with 4tb (4 x 1tb) seagate barracuda es  .
transfer speeds are not lightning    fast but they are certainly as fast    if not faster    than the cnet tests  .
i transfered 100gb of small data files and music , with an average transfer/write speed of 260mbps  .
i then transfered 1tb of larger files with an average write speed of 310mbps  .
i cannot be certain why there is such a significant difference here but i think it has to do with the file structures in comparison i have a 2tb wd drive that runs at roughly the same speed frankly to me this is fast enough  .
and , the drobo feels more stable than the wd , as it doesn't go to sleep after 5 minutes , and then completely freeze my operations for the 3 minutes it requires to wake itself up sound i have bad ears from a childhood and adult/childhood spent on/in/around motorcycles  .
but , i swear i cannot here the drobo from 2ft away  .
in comparison , i can hear my wd 2tb from up    to 10 feet away  .
the drobo is whisper quiet setup took a total of about 7 minutes , once i had inserted the drives (literally , like cnet says just like putting a cd into a cd    rom drive there are no cartridges to assemble  .
) and installed the drobo dashboard  .
the software tells you that it needs to initialize the drives , and then within a couple minutes (maybe 3    4) , you have the drobo sitting on the left of your finder window  .
really easy use i have moved my itunes folder over to the drobo , and i am streaming from my imac in the den (where the drobo resides) , to my appletv in the living room  .
strage is currently at 1  .
9tb  .
no hiccups perfect stream design this is the only area where i believe some of the other manufacturers get higher marks for quality  .
the drobo looks sweet  .
don't get me wrong it looks awesome sitting next to my computer and speakers , and if i could upload a photo to this review , i would  .
but , my only complaint is the general fit+finish doesn't quite have the same feel as the netgear , or lacie probably more on par with western digital  .
the drive trays feel thin and plastiquey and the front panel is a little lightweight  .
not a deal    breaker conclusion i don't know how it works  .
i don't really wanna know how it works  .
in fact i don't really care how it works  .
but , it does and it works well  .
its fast enough that i would never have any complaints quiet enough that i cannot hear it and smart enough that i know not to ask questions  .
i realize its not raid but it still feels safe , and frankly , it should after eating 1  .
3 of my terabytes with its backup function great product , highly recommended for media freaks and storage geeks who are not geeky enough to know better dougan .
i is sitting on the fence until the 2nd gen drobo came out with firewire support  .
that convinced me to buy it since i mostly use macs which have great firewire support  .
the drobo has been working great for me and i recommended it to a friend  .
my friend pointed me to this review as a reason he didn't buy one , so i thought i would check out the review  .
strange review  .
i find it quite contrary to my own experience  .
the performance comments in the review are odd  .
i am getting much better performance than what the reviewer mentions  .
however , on a second read i noticed the comment about how cnet used 37 , 000 small files in their performance test  .
i guess the drobo is not tuned for that kind of usage , but that should be ok for 99% of the world  .
i use the drobo to store media files and those are generally not very small  .
pictures , music , movies all copy to and from my drobo with excellent performance  .
i have not noticed any drop    off from my iomega firewire hard drive  .
so i think that part of the review is a bit outdated  .
the rest of the review is just a hard to read mess  .
i think i convinced my friend to ignore the review and purchase a drobo  .
for me it has been invaluable  .
to have a storage pool that you can continually expand and also the sense of security in the data protection is definitely something he can use given the amount of media files he has bottom    line  .
the drobo is a great product  .
fast and easy to use  .
looks cool on my desk  .
) quiet  .
cannot say enough about how useful it is to have a single pool of storage that can store all my music , photos and movies  .
the one complaint i have is the damn activity light is hidden from view when the front panel is on  .
i really wish they exposed that through the front panel  .
it is nice to be able when the drobo is busy , but in the end that is a minor nit  .
the front panel attaches with magnets and comes off with a simple pull , so i can check activity light if i need to .
a great product  .
i never would have thought of using a product like this until the drobo came out  .
it is disruptive in that what is once only something highly technical people would be able to use is now available to the non    technical masses like myself as for the performance and reliability , i've had no problems with either yet  .
with copies it feels as fast as any external hard drive and i know all my data is safe , so it has lots of peace of mind  .
besides , it is cool looking on my desk and i get a lot of people asking me about it  .
i think this is going to be a very popular device .
my experience with the generation2 drobo has been wonderful  .
the unit is perfect for managing today's endless growth of media storage we all require today  .
i started out with two 500gb hard drives and just added two more  .
as i is moving some home movie files to the unit one of the slots started blinking red  .
that means the disk in that slot has gone bad  .
the drobo stopped using that drive and all my data is still available  .
i returned that drive for a refund and replace it with no data loss  .
what a great tool  .
i now have nearly 2tb of capacity and can feel good about the fact that the drobo will protect me from shoddy drives  .
nothing short of brilliant and performance is great  .
i did some stop watch comparisons with a single disk iomega firewire drive i is using previously and the drobo is actually faster when reading data from it  .
about the same when writing  .
