i've taken pictures for over 40 years and have had numerous cameras and video cameras  .
this would not be my only camera , but one i would not mind carrying with me all the time , for ease of use , portability and fun .
i could not be happier with product  .
i am amazed at the video and sound quality  .
it is easy to send videos by email and upload to your favorite websites  .
i upload to facebook and the quality is excellent  .
the other great feature is the start up time  .
3 seconds and you are shooting film , which is great if you have kids or animals  .
i watched on my 17 lcd tv and the picture and sound were perfect  .
i have not watched on my 58 yet and i not expecting the picture to be good  .
this is perfect if you want to upload to websites to share your movies with friends and family  .
i would highly recommend you pay the extra few bucks and get this one  .
do not buy it if you are expecting hd quality on a big screen .
how can you not like this thing  .
it's so simple to use , you can hand it to any school aged child to film with  .
it takes slightly more knowledge to save the videos , but my 6th grader is able to do that after one 10 minute lesson  .
the bang for the buck is very high with this product  .
the video quality with the ultra is fine for most simple web applications  .
i cannot wait to see the new hd model to see what it brings to the table  .
i only wish that they would go back to aa batteries or even 3v lithium batteries that i could replace (have a spare ready to go when traveling) and add a slot for memory for traveling  .
these two things would put this device in the near perfect catagory for a low end video recording device .
the whole concept of flip video is simplicity  .
open the box , drop in the included (regular) batteries , shoot , review , download , done  .
the camera works great  .
if you're looking to become the next spielberg , or you want to film an 8    hour epic that you plan on boring your family and friends with , this camera is not for you  .
but if you want a fun and easy to use device that fits in your pocket , you'll love this  .
the video quality is very good and makes great videos in a normally lit room , with no need for one of those spotlights that blind the subject  .
also simple is downloading  .
flip out the usb connector , plug it into your computer and voila  .
the software begins to download on your computer and you're watching your videos in a matter of minutes  .
there is no software disk or manual needed  .
cables are also included so you can watch them on your tv  .
even the product registration is simple  .
all you do is send an email to the company with your particulars and it's done  .
no surveys and boxes to click and unclick  .
i rated this product a 10  .
i don't see any reason why i would need additional memory , but again , i do not plan on filming the next hollywood blockbuster .
overall simple pocket video camera good for people on the go or people with hobbies of vloging or short film productions my video review   http  //www  .
youtube  .
com/watch  .
v  2wa49q7q79q  .
this is a state of the art product  .
better video and sound quality than all other mini portable ram chip recorders  .
software is very simple but effecitve and the avi format is so universal that it is editable by many other programs  .
good capacity    60 min  .
works well with windows xp service pack 2 but you will need a decently powerful computer to use their software for editing and downloading to youtube , etc  .
can be used without their software by dragging and dropping avi files directly off the device to your hard disk  .
they should have included a usb extension cable , the flip out port seems fragile for the long haul  .
the buttons are kind of quirky and can take several pushes to work sometimes  .
the record light on the front discourages stealth recording and seems unneccessary  .
it comes with a small thin bag , but best to purchase the sturdier carrying case  .
i dont know if it will survive a drop otherwise  .
plastic over lens is not recessed and may be subject to scratches  .
having to recharge thru computer port can be inconvenient , but an expternal usb charger accessory is available overall a remarkable product for the price and one that other manufacterers will seek to copy .
we love this camera    the non    profit i work for    christopher coppola's (nephew of francis ford , brother of nicolas cage) project accessible hollywood    has fallen in love with this product    we are now using them for our traveling new media film festivals    we empower the everyday person to tell their story    so these cameras are perfect    easy to use and can go anywhere  .
great for video bloggers  .
cheap flip video http  //astore  .
amazon  .
com/cheap  .
flip  .
video  .
camcorder    20/  .
cheap flip video camcorder buy cheap flip video camcorder discount cheap flip video mino cheap flip video 60 minute camcorder cheap flip video ultra series cheap flip video discount cheap flip video camcorder free with super saver shipping cheap flip video by amazon  .
com  .
i love this camera and although the new mino came out recently i opted for this for a couple reasons  .
one it's cheaper  .
two is that the underwatercase is only available for the the ultra and thats a large reason i got this in the first place is for when i go snorkeling in the carribean  .
three    it has a soft to touch finish not the shiny leave fingerprint one that the mino offers  .
although there are some downsides    i cant use the built in software to its full advantage with my mac and the audio isnt the greatest but for 150 bucks its well worth it and i am not worrying about taking thousands of dollars of eqipment into the water  .
this camera is the easiest i've ever worked with  .
3 members of my family have one (including myself) and i is delighted to not have to show them how to use it longer than 30 seconds of training  .
the quality is good , the optional underwater housing is a great feature  .
the camera interface only has a few buttons , hopefully they will add some special effects to the next model  .
i myself would love it to have tons of buttons and features if it did not take away from the functionality of the camera  .
remember you will need to get aquainted with a video editor like ms movie maker if you want to upload a movie to youtube that is longer than 3 min or so due to the native file size .
considering the size , price and video quality , this camera is hard beaten  .
im sure for the price there are cameras out there with as good and better quality and with more features but theres none that fit comfortably in your pocket and are tough flexible enough to use in almost any environment i also bought an adjustable tripod ('gorilla tripod')and it is the perfect accessory at the time as i is going travelling  .
i had this camera with me everywhere and apart from actually in water , i had this with me at all times used it as a 'helmet    cam' when we went ziplining , caving and even rafting  .
