a great design that will last for a long time  .
the hardware is good  .
excillent product  .
the software , however , is a little outdated which is expected  .
i cannot wait until they update the software  .
compared to the much more expensive indash $2000 gps , thier software accuracy is about the same  .
i can take the gps v where ever i want but the indash ones cannot  .
the refresh rate is a little slow too  .
for the money i spent on this versatile and intelligent (most of the time) product , i cannot complain  .
good job garmin  .
when you dont have time to look at a map while driving in a busy city this will be a life saver  .
it has an excellent battery life , excellent gps reception , accurate one    way road mapping and auto re    routing is good as well  .
only thing i dont like is that the display map can sometimes update a bit slowly due to processor speed but this is how they get an excellent battery life  .
i have used over 15 gps including the ones for the ipaq (which are very sad) and i would rate this as the best handheld by far .
with 19 megs of internal memory this compact unit is really worth its weight  .
use it in the car , then place it in pedestrian mode and walk around town with your location pin    pointed to within 10 feet with the waas enabled  .
bundled with the city guide software and turn by turn navigation you'll never get lost again .
check the internet out well , you can get free shipping at most gps specific sites , this is a great unit for the money if vehicle gps use is what you are looking for  .
it has great detail in the city mode  .
i use the garmin v on long distance cycling trips  .
it provides detailed information that goes way beyond longitude and latitude  .
sure , the ultra detailed maps are extra if you want the entire usa or world , however , the price seems fair  .
i had one occation where i needed customer support to deliver a cd to me on the road  .
they did it without batting an eye  .
it is express mailed to an address where i picked it up  .
being able to use topo maps and garmin's mapsource products at the same time on the same gps is a great feature  .
this is my third garmin  .
i do wish that it had a scratch pad for notes , but maybe that's coming .
i have three other gps units  .
this one blows them all away best value yet , you could spnd all the more for a street pilot but this one can do it all and in the palm of your hand  .
fits perfectly in my jeep and on my bike  .
used for geocaching and works great  .
best sat aquisition and accuracy of all my units  .
external antenna in my car makes it super accurate and responsive  .
if you are considering it dont hesitate buy it now  .
come with full unlock now so even more usable covering north america  .
only complaint slow serial transfer solution for big trips load info night before and your set  .
i turn it on in my car before i start the engine even when not navigating the map screen displays the next street ahead at all times garmin has out done itself this time  .
this is the last gps for a while unless garmin makes a better version of the v super unit  .
i use it for auto navigation , hiking camping , and finding my way around strange cities  .
it is easy to use , totally reliable , and integrates well with the pc  .
the pc software is a little confusing at first , but you get used to it  .
i wish you could show your tracks on a 3d relief map though (just for fun)  .
i also wish you could download 3rd party maps into it (like usgs topos) ; instead it uses a garmin proprietary format so you have to buy their cds  .
i think all the vendors do this though .
i have been using a gps v for several months now  .
with a few minor glitches , this is an outstanding product and an essential tool on my frequent trips throughout the u  .
of all the gadgets that i ever bought , this is by the far the best essential one .
it provides on the fly directions , and has the ability to recalculate on its own  .
it is very easy to see while driving , and is fairly accurate  .
the issues that i have come across with it have to do with loading routes from the pc to the unit  .
if this feature fails to work , it will never work  .
i contacted support about this issue and is told that the best way to handle this is to plot the route from unit and to ignore the route created on the pc  .
annoying , but not a deal breaker  .
the maps need to be more accurate also  .
there are sometimes 400feet off  .
other times they are accurate to within a few feet  .
overall , this is an excellent purchase .
i love it so much it has never let me down , anyone who wants it but does not want to spend an arm and a leg for a gps get this one  .
onlinemarine  .
com has them for the lowest i've seen  .
424  .
00 including shipping and handeling .
system   gps v and mapsource software  .
purchased about a month ago and have used it to locate and navigate to stores in st  .
louis and chicago , where i've never driven before  .
