this is my favorite gadget for the time being  .
it has so many features that are awesome   the touch screen works as it should ; the touch    screen dialing and reception/audio is crisp clear  .
the addition of the google search helps a lot i know this is cheesy but i love the screen savers offer [makes the device more attractive]  .
the window suction device is easy to use and it is easy to clip    in the device and remove it as well  .
i also like the flight status and gas price features there is a lot more positives than i can remember the only thing that i is surprised at is at the price i paid maybe garmin could've included a carrying case/sleeve to protect it .
love the little features like it tells you how much gas you used for the trip and how much it actually cost you  .
bluetooth didnt work well with my blackberry tour  .
i called verizon and they asked me to download the latest patch for the tour which fixed it , i dont know how this will be after a year or so but at the moment i look for every opportunity to jump into the car and use my new nuvi 1690 .
i acquired the nuvi 1690 at best buy as a replacement through the performance service plan that i had purchased on the nuvi 865t  .
i have read the other reviews and , although they reflect they opinions of the users , i feel they are somewhat unfounded  .
i have been using the 1690 for about a month and i have experienced flawless operation of the unit  .
i like the new feel' of the graphical ui and the menus are well laid out  .
the traffic data is pretty accurate and seems to update frequently  .
houston is notorious for its traffic issues and the accuracy of the traffic delays as reflected during my commute are spot on  .
i would highly recommend this gps unit for anyone looking for a high    end pnd .
i've been using this product for about 2 months and it's been a good tool  .
the maps are accurate , the poi's are up to date , and the nuvilink services are great  .
the unit does a good job of routing and takes live traffic conditions into account  .
i love being able to check the weather and flight status before i get to the airport  .
being able to comparison shop for fuel is great and has already saved me $$  .
the windshield mount is very solid and the cradle is easy to insert/detach the unit from with one hand  .
battery life off    cradle has been about 2 hours  .
i've experienced poor voice quality when using the bluetooth function with my phone    but it's better than the earpiece i is using before  .
i've also experienced the unit occasionally freezing or resetting itself , usually when the bluetooth connection is active and i'm receiving a phone call  .
this doesn't happen often , maybe once a week or two  .
some other reviews have slammed the pop    up ads but frankly i've barely noticed them    they only appear when the vehicle is stopped , and if i'm looking at the unit when i'm stopped , i'm usually accessing one of the screens that do not show ads , so for my purposes they are practically invisible .
well well i think i'm going to get in trouble with mom  .
i'm writing this on c    ent and facebook and mom is listed as my friend  .
oh well i brought a birthday present for me when i went to hide my 765t from the car wash people and the screen cracked  .
i know i could of gotten a 265wt for a $100  .
00 but whatever  .
well this machine costed about 459  .
00 , i guess i could have gotton it for 399  .
00 but i needed it fast due to the fact my screen cracked and i needed it for business  .
but i guess it's better than $499  .
so do i like the machine  .
it's a little low for my standards but it's really awsum for what you can expect in todays world  .
since i started buying gps's i had to lower my standards or i'd be on anti depressants for the rest of my life lol to start with all the nuvi products route you the same  .
they get you where you are going  .
do they always use the best route  .
no way  .
i've had tom tom and i did not like the interface but the 740 live ether had the most rational routes due to iq or historacal routes the offer at other times it is horrable , the megallans froze up  .
so i went with the garmins  .
the garmins are more consitant  .
garmin's don't take you the back way (like i'd like to avoid traffic) and even somtimes a slower way then i'd know (for example i'd use a highway to connect with another highway) the garmin would tell me take a main road to connect to the 2nd highway  .
does it take you in circles yeah sometimes  .
but they all do most of the time the routes were good , even when they were not that good they were ok  .
so i knew when i is buying this unit i is not buying a unit that i would build for this price but the best available as far as it being balanced in   , efficientcy and bells and whisles  .
just to recap when i speak of routing i am speaking for all garmins including this one selling points i like the screen it's bright and the letters are big , i love the traffic that you get via built in celluar band , i love the google search , i havan't tried blue tooth but i will in a few years when i'm board , theh speaker quality is good  .
what i wish garmin did is put the gas prices and resturant searches in distant order  .
they are in order in there own poi's but not in the google search poi  .
but you know what garmin's private poi's were always outdated so i guess you cannot ask for everything personally do i think for $500  .
00 that the google searches should be in order yes , do i think for $500  .
00 the routing should be perfect yes  .
but as much screaming i've done it get's me nowhere  .
all i have to say is the american companies have no pride in there production anymore  .
does this make this a bad unit  .
no it doesn't i like it    i just wish they fine tuned odds and ends a bit as far as the ad's yes i've heard complaints about it and to be perfectly honest the ad's are paying or the 2 year free service  .
they are not putting the ad's on to subisdize the unit  .
do i like the ad's no  .
but i can live with it  .
i'd rather have the ad ; s which subidizes the service than have the monthly fee  .
they don't show up when you are driving anyway so i do not know the big deal  .
let me ask should you be looking at the road while driving or at the unit would i recomend this product yeah it's cool  .
if you are not a toy buff then just get yourself the cheap one they all route you the same .
if this is not replaced as new i'll look elsewhere for my next system as i drive overe 30k a year  .
not a bad device , would be excelent if they would have gone with a better cellular service  .
i am on my 5th 1690t , i finally figured out why i is crashing it  .
if i tell the device to always display traffic data it will sometimes reboot on me  .
on one of the updates now when traffic is detected it displays traffic for you , and when no traffic is does not display the green lines on the map  .
sometimes my traffic icon greys out , so far garmin just keeps sending me new units which all do the same thing  .
i have found that if i turn the unit off and back on again in about 1 minute the cellular reconnects and i gain access again  .
the cellular issue is random , and will happen in spots where it works just fine somedays and not on others  .
if route calculated it will sometimes put me on route when i am on feeder road or the other way around , i am on the highway and it puts me on the feeder  .
(it only does this if a route is calculated)  .
i purchased my first 1690 shortly after they were introduced  .
it had a terrible flicker on the screen when data is being transmitted  .
i called garmin and they said they had never heard of that problem but they did exchange the unit for a new one  .
the process went very smooth i have owned several garmin units and is very happy with them  .
i have not been happy with this one  .
the ads do not bother me if the online services actually worked and would keep the service free  .
i hope garmin will improve on this unit .
garmin has dropped the ball on this one  .
firmware upgrades do not correct the reset problems , and i cannot get a response from them via messages sent from their my garmin web site  .
this is my family's seventh (at least) garmin unit , and may be our last .
traffic   i don't get it  .
works great when you don't need it , but when you do (i  .
during commute) i can be at my destination before the traffic shows up  .
garmin seems to have excuse after excuse why this should be so , but fundamentally they have serious network / server congestion problems  .
they want me to send my unit back    go figure  .
doesn't really matter anyway , when it does work the traffic data doesn't match reality anyway  .
not sure who's service they're using    but it don't work  .
i'll stick with google maps on my phone for traffic data audio mixer   or lack there of  .
having phone volume at 90    100% and navigation at a nice background 30% seems obvious  .
other nuvi models have this , what's special about the 1690 that it doesn't need it  .
also do not try adjusting the volume , or the unit hangs for 2 minutes mysteriously figured i'd try the nulink after getting frustrated with tomtom live  .
oh well , back to the drawing board  .
someone out there please design a proper connected gps    please  .
the first 22 months i had the nuvi 1690 it is perfect  .
i take it in the house with me nightly so as not to leave it in the car  .
routing is awesome  .
directions has been on the money as well as finding fuel prices  .
the unit started shutting down on me for no reason and took 3 hours to turn back on  .
though i later found out that if i press and hold the power switch for 30 seconds it resets  .
now at 90 days i cannot load any destination other than the home destination i saved  .
i have tried resetting the nuvi and deleted all the old destinations thinking maybe it is a memory problem  .
now i have no destinations and cant load new ones  .
i think i am going to check out a cobra gps now , i cant afford another $450  .
00 dollars to last 90 days  .
could be a great gps if the performance of the gps itself is better and the ability to customize what the map shows is improved  .
i sent my unit back after 2 weeks on the raod with it and missing some turns i would have not missed if the unit reached better .
just one of my many negative experiences is a drive from livermore california to oakland (this is a 45 min drive without traffic)  .
