great , easily best android phone on at t and its weaknesses are easily overpowered by its strengths , also very goodd starter phone  .
(        .
i have the overseas , non at t version , so i have sideloading  .
the messages widget , battery widget and settings widgets from htc are incredibly handy (as well as the calendar and notes widgets , which are all free)  .
so far the android market place has been a slight let down , but i have all the news apps i need , as well as angry birds  .
hopefully it gets better , quickly .
it is just what i want in a smart phone not a power user .
i recently owned an iphone 3gs and my friend got the aria a few weeks later  .
i tried it out then fell in love  .
one of my favorite things is that i can get a free music app off the android market so that beats itunes  .
the camera takes better pictures than a cell phone has any right too  .
im even using it to wrote this review  .
get this phone if youre choosing between this or an iphone  .
android is too great to pass up .
if you are in the market for a new phone that does everything and is not a freakin brick this is the phone to get  .
the htc aria is an awesome phone for just about anyone  .
its packed with features and has a relatively low price tag  .
and it is possible to install third party apps and games from a computer , you just need the software from htc's website .
has all the features i want in an android phone , without the ridiculous size of some of the higher end models  .
i live in a house of iphones , and they are jealous .
the phone cannot be beat  .
it's phenomenal  .
i am disappointed at quality of offline gps apps available , but that is hardly a phone issue  .
if you are waiting for a usable , svelte android phone which feels more like a phone than a nerd device (nothing against nerd devices  .
) then your wait is over .
hands down , this phone is the most fun ive ever had with a phone  .
it's eazy to use and has plenty of free apps to keep you busy  .
there are 7 home screens that give you plenty of room for all your fav  .
apps , and widgets .
i strongly recomend this phone and extremely happy with the purchase  .
even thought att has blocked 3rd party apps , there are over 500 , 000 in the app market  .
i am pretty sure you wo not suffer .
this is my first android phone and i absolutely love it  .
the more i get familiar with this phone the more i love it  .
the camera is just absolutely stunning i feel its just as good as my 12mp digital camera  .
i have finally found the phone that i wo not be in hurry to get rid of  .
love it .
this phone is really incredible , they should have name this the htc incredible , but i love this phone and would reccomend it to any att memeber thinking of switching to verizon just to get a droid phone  .
this phone rivals any droid phone for verizon , i know , i do my research   )  .
i have an iphone 3g and contemplated upgrade to iphone4 and decided with go with this freebe via amazon  .
so glad we did that  .
small , light , portable , no case needed with the rubberized back , and extremely pocketable  .
no need to baby this thing and wrap around some $30 case  .
beautiful screen , and tons of apps  .
filled up my 7 home screens in two days  .
i now have about 30 apps  .
google voice search and navigation are particularly amazing  .
runs multiple apps at the same time  .
love it that i can talk and read emails and look up , type memos at the same time  .
this phone does everything for me , and just about runs my life  .
battery life is not bad at all if you have y5 installed  .
speaker volume is a little low , no worse than the iphone , and not a surprise with such a compact phone to those who complain about not being able to install off market apps  .
most of these apps are beta's  .
swype is no longer off market  .
i downloaded htc sync to have the ability to do it , but cannot actually find an off market app i want to install .
i is skeptical at first about the virtual keyboard since this is my first smartphone  .
i is ok with it since you can turn it sideways but even just after owning it a week i never turn it sideways and always type with the vertical smaller keyboard  .
