very good looking fast phone that would satisfy pro needs .
it is an amazing little phone  .
the sense ui is beautiful and not laggy at all  .
the only con i could find is the low battery life , but that is expected with how well it performs  .
definitely worth the money .
the incredible is a great product and the size is convenient to carry in your pocket or a holster  .
the sense user interface is intuitive and works flawlessly  .
i compared this product to the droid x (very large) and the samsung fascinate and selected the incredible for its ease of use  .
i have large hands and find it easy to type in landscape mode for messages  .
the scrolling feature and pinch to zoom or close works well on the web browser  .
i have the new slcd screen instead of the amoled display and find it very sharp with good color and contrast  .
there is a favorites screen of your favorite contacts that make communicating easy whether by phone or email , etc  .
well pleased with the product .
the phone is my first ever smart phone  .
the latest upgrade offers hotspot capabilities which is great  .
i'm glad i have my droid  .
this device is incredible good and have alot features of latest technology but have some back sides  .
from iphone  .
overall this phone has worked out extremely well for me and the fact that it is on verizon wireless  .
with this phone you have many choices as customization , apps , and accessories  .
the design of the phone is great  .
only thing i did not like is that fact that the camera sticks out the back  .
but with the topographic design of back and the fact that it is removable , you can get a bigger battery that will protect the camera lens  .
the cases for this phone are great  .
another good thing about this phone is the amoled display and its pretty high resolution  .
it might not have that many pixels as the iphone 4 but the colors and contrast are amazing , and it is a bigger screen in the same size package call quality is one of the best i have heard  .
you cannot hear any hissing sounds and it is loud enough to hear anywhere  .
speaker phone is great when need  .
+ no dropped calls or pocket calls ever  .
removable memory and battery is a bonus , unlike the iphone lacks  .
phone is built solid even though it is thinner than the iphones  .
htc sense is a simple and beautiful layover of android when compared to other layovers such as annoying moto blur battery life could be better , similar to any other high performance smart phone you can get extended battery packs for the phone , as big as you want (biggest size is 3500 mah) due to the topographic design of the backing the backing of the phone is made of a scratch resistant rubberized material that feels good and protects the phone  .
if it gets damaged , you can replace it for very cheap the number of available apps might be less than that of an iphone , but with the growth of android market , this will not be an issue for the time to come currently you can root this phone , add custom roms , overclock it , etc you cannot do this with the newly released droid x (except for root) , and the fact that it runs moto blur with the release of froyo in late august , this phone is even more incredible  .
it will run faster and have more features than before in conclusion it is    .
fantastic  .
get one before stock runs out again  .
you will not be disappointed  .
and you have freeedom  .
i have been very satisfied with this phone to date  .
it actually has surpassed my expectations wtih the recent update of the android operating system  .
i own a macbook pro and with the program doubletwist (freeware) , i have downloaded the majority of my music libary to the additional microsd card (16 gb card cost me $50)  .
the only other con i can see with this phone is the lack of standard memory (8 gb) which will likely require the purchase of an additional card  .
the camera is of fairly high quality so both pictures and video are clear and crisp  .
the only down    side the the camera is that slight movement of either the field or the camera itself will cause some blurring  .
this effect does not carry over to the video as for the android operating system , it is quite intuitive and highly customizable  .
i have not been an android user for very long so i cannot compare it to previous iterations  .
many people might question my decision to use verizon when i have already invested in apple products  .
i prefer the concept of an open system more and the call quality of verizon , especially in my area , is unparalled  .
as a final note , it is not difficult at all to transfer music and my calendar from my macbook pro to my phone  .
transferring photos from my computer to my phone is somewhat more convulted , requiring a third party program (such as picasa) to accomplish this .
with the huge cell phones comming out this one is a perfect size for pocket use and can be easily handled  .
the bigger units are nice for screen size , but have become to big to be handled like a true cell phone .
fantastic  .
get one  .
you will not be disappointed .
the best phone i have come across , including when compared to the droid x , droid 2 and iphone .
after replacing my storm , i do not envy any other phone on the market , this is the best combination of speed , apps , network , and price  .
they combine to create the best available  .
i love the phone and the os  .
sense has plenty of features and it's open to alot of things (especially if you root)  .
unlimited amounts of customization and there is always an app on the market if i'm missing something  .
rooting and installed custom roms is simple and it's fun to experiment with (just remember to back up your data  .
although verizon supports the droid 2/x more , i would highly recommend this phone  .
the skin (htc sense) looks cleaner and more integrated and it's always incredibly fast  .
some things to look into if buying is an extended or extra battery .
best phone i've ever had  .
i've had a blackberry curve and several motorola phones .
this phone rocks  .
it is really fast and i have not had a single problem with it so far (had it for three weeks now)  .
i can only imagine how much faster it is going to be with the froyo update i upgraded from the eris and is considering the droid x    but when i went to the store to look at it , i laughed at how huge that phone is    rediculous  .
if things keep progressing in that direction , we will all be holding up netbook sized phones to our ear (dumb )  .
