this is our main unit in the family room  .
the video quality blew me away  .
i would call it wonderful  .
i read that some older units had audio sync issues , meaning the sound had a delay and did not match the lips of the speaker and lg had to upgrade it with a firmware  .
not the unit that i bought  .
the case should be closed  .
plus , whoever bought the unit should have a home theater with a decent sound system  .
i can  .
t imaging people spent over a thousand to buy a hd tv and keep complaining about sound quality  .
hd tv should match a surround sound system , not a native speaker  .
this is the first lg electronic unit  .
i have just found lg makes high devices with affordable price  .
i went on and bought a lg blue    ray player , very happy about them both  .
i am going to write a good review for the blue    ray later  .
the only thing that i am not happy is that days after i bought the unit the prices started to drop a bit  .
other than that , no complaints updated  .
on may 26 , 2010  .
you wo not beat this tv for the money  .
even may higher priced tv's cannot compete with this  .
overall a very high quality addition to any home .
i would recommend this tv to anyone  .
it took me a long time to get this tv i had to deal with best buy and it is crazy i first started off with the sony 46inch w series and it is defective , then i got another one and it is defective so i is talked into buying the a samsung and i could not stand the glare on the tv at all  .
so they gave me a 52 inch v5100 for free  .
i had that tv for about 3 weeks and it just is not the picture i is looking for  .
i brought it back and they swapped it out for this tv for free  .
i am in love with this tv especially since i only payed $950 for it   )  .
the first sony i bought is the ps3 package deal and that is only $950 muahahah  .
i love it  .
picture is outstanding for gaming , movies , tv , etc  .
the led backlighting with local dimming rocks  .
great value  .
i is buying samsung led until i saw this deal late october .
every thing from the the appearence to the functionality to the audio and picture quality and the freedom to choose from an extensive list picture and audio presets/setting and can adjust it according to my convienience .
my components are as follows    .
55 lh90  .
lg bd390 blu    ray player  .
cox motorola hddvr set top box  .
pioneer a1019ah    k receiver  .
first let me say that i really wanted a plasma but did not want to deal with break    ins and burn    ins  .
most of my tv watching centers around financial , news , and sports channels that have tickers strolling continuously therefore i thought it best to purchase the best lcd on the market  .
mission accomplished i wanted to install the components without the receiver just to see if i would experience the lip sync problems that are associated with the set  .
utilizing the hdmi connections i connected the cable box and the bd 390 directly to the tv but did not experience the lip sync problem with either  .
the picture is outstanding and i is extremely pleased with the tv  .
even the netflix streamed movies and youtube playback over a wireless connection (via the bd 390) is flawless  .
