great love it , received as a chrsitmas present , hit a home run with this one  .
review is wrong on start up time , text    to    speech , more  .
low price and great functionality .
this is a good unit for the money  .
maggie beats garmin hands down in the auto gps units .
veery simple to use  .
you don't have to press 10 buttons to get it to do what you want  .
my 5 year old grandson can do it  .
bought the mioc220 and this 1200 roadmate  .
the mio is a mission to operate  .
took it back to circuit city  .
bought magellan on black friday for $125  .
00 at circuit city  .
buy it you wo not be disapointed  .
simple acurate and extremely quick simple unit  .
check ebay lots are there for good prices  .
for a first unit to be used from getting to point a to point b this is the perfect system  .
this is a good unit with only one flaw and it is not major ''exit poi ''  .
i travel a lot and this unit is very accurate and a lot of the bad reviews it has is because the user does not have the zoom level right to see the small secondary rd's or driveways or the time settings wrong ( they say it just cuts off by its self ) set the timer to never cut off and you will not have that problem i also for 2 days , way out in the country did a planned trip and intentionally went wrong way and in 10 to 20 seconds , recalculated the right way back on track  .
most stores , restaurants etc  .
, in the points of interest are there  .
( of course there are a few that are not but the major ones are there  .
) the compass , speed you are driving , distance , altimeter and routes are spot on  .
maybe i got the good one and the ones who wrote the bad reviews actually got a defective unit .
great unit dont waste the money on a crazy unit unless you just like to bling  .
i use mine everyday in a large city never lose signal  .
this gps exemplifies it's namesake  .
it guides you to and from origins and destinations with excellent visual and audible instructions  .
it has excellent poi information from museums to amusement parks  .
the exit poi feature is not available on this model but the standard poi feature does work it's just not based on exit numbers  .
instead it is based on name or category then you further define by current position , near which city or near what address  .
bottom line it works perfectly .
this gps exemplifies it's namesake  .
it guides you to and from origins and destinations with excellent visual and audible instructions  .
it has excellent poi information from museums to amusement parks  .
the exit poi feature is not available on this model but the stadard poi feature does work it's just not based on exit numbers  .
instead it is based on name or category then you further define by cureent position , near which city or near what address  .
bottom line it works perfectly .
good unit for price  .
if you need to be    told the name of every turn spend more money  .
if not good buy .
dispite these downfalls , it is still a great product for the price  .
this is a nice unit at a very good price  .
the only downsides are this   the unit is slow to acquire a signal if you've been in a garage or parking ramp of some kind , and it is not incredibly fast (but not terribly slow) in calculating routes this product has some great features  .
the exit points of service is a fantastic feature which , despite other reviewers apparently not bothering to learn how to use their equipment , works very , very well  .
you can customize which services you want , select which exit and service you desire (even by business name , if you have a preference) and the unit automatically routes you to it , and then back to your original destination  .
this product also provides a side    by    side view of the overhead map and of the lanes of an exit when turning or exiting the freeway  .
it does not mean much when making a simple turn , but when taking a ramp with multiple possible destinations , it's great for seeing how to keep right , then left  .
finally , while in    route , you can choose points of service to display on the screen/map  .
when navigating an area with which you are unfamiliar , this is a great feature for finding parking , gas , or any one of a number of services for a low price , this is a very good unit  .
the exit points    of    interest is easy to use and works great if you bother to learn how  .
be prepared for a slightly slower gps , but a good value .
have had this unit for about 5 months now , and it works just fine for basic navigation , great for the price  .
those who knock the unit must have expected all the bells and whistles some of the upper tier products have , so you get what you pay for applies  .
yet , for under $150  .
00 (i paid about $127 on sale at circuit city) it's a bargain .
i am an outside sales rep and this has made my job so much easier  .
i can just put in the next address where i need to be and think about something else while my magellan guides me  .
how did i get along without it  .
great overall for its about $90 price  .
if you need a gps for a road trip that you can rely on , this is the one to go with .
even though it does not have a lot of bells and whistles of other higher priced gps units , it's well worth the money if you can get it on sale  .
i bought it from radio shack for $129  .
a great value for the price  .
it's not worth the $199 price tag that the shack wanted before the sale p  .
i have a garmin nuvi 350 that i've had since last fathers day to compare it to so i'm able to give a more educated appraisal of it's worth .
as a basic nav system , i am very happy with the 1200  .
i've had no problems other than being lead down a dead end , which is a road closed in the last year  .
google maps show the same road open , so it's not just magellen , probably navteq where they both seem to get their info  .
so , good basic unit my problems are not with the 1200 itself , but with the non    support it gets from magellen  .
i'd like an ac adapter , but nothing on their site about one for the 1200  .
no specs either that would give enough info for me to go get a generic one  .
also , hardly any useful info on how to leverage the 1200's features  .
the magellen site says that there is no user manual available  .
there's also no info on upgrades to maps or ability to connect the unit to a usb port on a pc  .
maps (limited to 49 us states and puerto rico) are contained on an sd card  .
no info on how they plan to keep that updates , so my dead end will be someday corrected so , a good unit that suffers from it's manufacturers lack of normal support .
it's a good place to start from but you need a lot of patience and time to go prowling around  .
also       if the roadmate is updated via a usb cable , why did not magellan include a cable  .
all in all a good buy for $100 but i will be upgrading next time  .
sd memory chip is not updatable  .
in some instances the unit will just go to 3d map without anyone touching the screen  .
at other times , it switche by itself to the satelite screen  .
many times after you enter a new address , the unit does not pick up your current location but the end location from your last address all in all not bad once you enter the address  .
if the above items do not take place , not a bad system for the price paid .
i like it because it is not hard for me to figure out  .
but when i need it the most , it refuses to come on .
how to get canada's maps  .
maybe a memory card  .
thanks  .
in short save your money and get a better unit , i brought my wife the gamin 205 , it reroutes in like 5 secs , compared to 20 to 30 secs , and dont be moving itll never catch up  .
one thing i like about the 1200 , the voice sounds sexier  .
