windows is far better than win95 , 98 or se in my opinion  .
have had all os on many different computers over the last few years and only me has remained stable under most conditions with the same software running on them  .
have not tried nt , w2000 or xp , so i cannot say about them .
bought me a month after it came out  .
is having serious problems with 98 se , you name the problems and i is having them  .
did the upgrade and is sold on it immediately  .
98 se had to many files missing and to many issues  .
went back to 95b before me came out .
windows me is the best microsoft windows os to come out since microsoft windows 95 .
windows me is the best microsoft windows os i have ever played with  .
if you wabt performance or you need a business os , i would go with windows 2000 , but if you want fun , fast , easy to use , and ms    dos based os go with windows me  .
but , the difference may be , believe it or not , is that i use an athlon processor , not a pentium  .
whether it is a 700 mhz slot a , or a 1  .
0 ghz thunderbird , and now a 1  .
53 ghz athlon xp , windows me has always had a sweet relationship with the athlon  .
to the guy out there who said in a review that the athlon is a pentium wannabe , i got news for you , the windows me operating system does not agree with you .
you must keep the 'msconfig' startup folder under control  .
i only have system restore statemgr  .
exe and the auto update program for the antivirus and firewall running  .
this stops all those crash and freeze causing conflicts that get going , when programs all try to do their thing at the same time  .
also it is vital that you do the regular maintenance work on the machine like running 'scandisk , defragmentor' and the like  .
if you have a firewall like zonealarm running it pays to make sure that all programs are denied server rights as this eats memory resources and invites more adware and spyware all of which use memory  .
since i got a grip on these things me seems to be as stable as any other os i have used  .
by the way i recomend internet explorer 6 as it seems also to help stability .
system locks up , starts running slow have to reboot every couple of hours  .
i hate it if it hadn't come with this hp system i would not have it  .
question what can i upgrade this system to  .
i use this pc for our business .
i think it's good if you like pretty looks it loads up fast and , but i would not try upgrading your explorer to a 6  .
my compaq presario came with windows me in it , and it is my first os  .
than october 25 , 2001 i upgraded to xp  .
i ran xp for one year and hated it  .
so i just went back to windows me and am loving it  .
i do not have any crashes or errors , now maybe i is lucky and got a good copy , but i prefer it more than xp  .
winme needs to add more models to its download list is ralatively fast on the web , freezes or needs to be reconnected to isp often , overall a good edition tech support isn�t all that correct at times , but good in some cases .
many people who post negative reviews here are those who upgrade from windows 95 or windows 98  .
i installed windows me on a clean hard disk , and everything worked perfectly  .
i did not experince any problems when using winme , except for the occasional bsod (blue screen of death)  .
overall , winme is somewhat better than win98 when installed cleanly .
windows me i never had any problems with , i have been told networking does not play well on this os  .
it does boot up faster than windows xp and shuts down faster as well  .
it's also based on the windows 9x kernel , windows 95 , 98 , 98se , making it well compatible with almost anything .
positive note                                although this is a polished    up version of windows 98 , i say its pretty good  .
sure , it sometimes takes me 17 minutes to get the thing going , but other than that , the os is pretty good  .
i mean , do not laugh or anything , but i only have 62mb of ram  .
if you all were talking about me running with 128 megs , well , i'm talking about good performance on 62 megs  .
but do this    get the following utilities cacheman and ad    aware  .
i use them , my computer runs just fine with those two programs  .
and what in the world are you talking about  .
windows 98se being better than me  .
it makes no sense  .
ahem , anyway , regardless of everyone's opinions , i say , windows me is just great  .
i really must be fortunate as i've had no problems with either win95/98/98se orme  .
on the other hand had to give up some hardware with xp (driver issues)  .
xp will wait for me  .
as with any new application , given the vast multitude of hardware , software and users out here it is unrealistic to think any entity can produce an os perfect in the first instance  .
name one piece of software or hardware you've aquired that hasn't had an upgrade in the time you've had it  .
