overall fun console and great for ~~~~~~elite~~~~~~~ gamers  .
updated  .
on aug 24 , 2010  .
other 4  .
you can use your xbox as a media extender of your pc  .
once you set it up you can then enjoy live tv , recorded tv , pictures , music , and videos on your xbox 360 the same as you would in windows media center  .
only now you get to do it on a big screen hdtv with home theater surround sound instead of a computer  .
infra    red on the xbox360 means it can communicate with a harmony universal remote  .
the ps3 does not so it doesn't jive as well with multimedia geeks  .
strange , since that seems to be who they are marketing to with the built    in bluray player bottom line   as it is with most microsoft products it is not just the product itself but the way it seamlessly integrates with other software (both from microsoft and from others) that makes it so powerful and flexible and gives the customer that much more added functionality that other vendors either cannot or wo not offer .
1) saying the ps3 doesnt have good games  .
god of war series , metal gear 4 , assassins creed , killzone series and yes xbox owners we have mw2 also , its not just you  .
there are plenty more great games with breath taking graphics  .
2) now as for the network  .
to me its great  .
its not slow , all the games play very well  .
i play mw2 an a regular basses and the connection is very solid for my play  .
the only thing bad you can say about the ps3 is it costs $100 more  .
the bottom line here is people , you get what you pay for  .
pay the extra money and get a blu    ray and wifi  .
pay less money and get the cheaper console .
i love the xbox 360 elite because the controller is better than the ps3 and xbox live is better than playstation network  .
great picture quality  .
great selection of games  .
but it has a slight problem with over heating ok as you may already know the xbox 360 has a lot of red ring of death problems  .
sure there are ways to fix this , but wouldnt it just be easier to just avoid it all together  .
first give the console enough room to vent out the heat , at least 12 inches between it and anything els  .
second give it a break if it is downloading consider applying the background download and turning it off until it is done , this cools the console down a whole lot  .
third avoid keeping it on carpet , this causes heat to be kept under the console , only keep on hard surfaces  .
and finaly install your games to the hard drive it takes about 10 minutes per game and about three to four gb of memory , but it is worth it , it not only loads the game faster but it stresses the console less , therfore it does not get as hot  .
(you still have to put the disk in to play the game even if it is installed into the hard drive)  .
overall i would recommend this device to a friend or family member , it is diffidently worth the money .
i like the product because of more games , best online services , 299$  .
to decide which to buy between xbox 360 elite and ps3 slim , i would say you buy both of these gaming consoles because it will only cost you 600$  .
nintendo wii is not at a equal race updated  .
on feb 25 , 2010  .
bottom line it is the best out there , its getting better and better as time goes on .
this is my first x    box  .
i decided on the elite because it is , and still is , the top of the line x    box , and if i is going to spend the money , i might as well get the best one  .
i have no complaints with it , and have never had a problem with it in the 2 years , yes i said 2 years , that i have owned it  .
as for the ring of death i have heard so much about , i have been told that you need to play this thing frequently and for long periods at a time (6 hrs or more every day) to kill it  .
i only play mine a few hours a week at the most  .
i find it funny that people on this sight are complaining about the hdmi port not being 1  .
really  .
who really cares  .
for 99% of the people it does not really matter  .
the unit being noisy  .
the sound of the game drowns it out  .
if you are going to complain find something better to complain about .
best system  .
xbox 360 elite is the best game system available  .
too bad blu    ray won the format war , but until hd dvd drives disapear , i will continue to use hd    dvd as my primary hd video playback .
this is by far the best gamming console out there  .
xbox did the comunity and media features first with graphics that just simple creamed ps2  .
even with the new ps3 out the xbox 360 elite stads by far ahead of the game  .
elite had the builtin hdmi output which makes playing on hdtv's simple and seamless  .
the graphics are one up on the normal 360  .
elite delivers the graphics its just opto your tv to handel the rest  .
looks gr8 has gr8 features and just simply is not comparable to anything else in the market  .
you can but wifim hddvd , stream music , videos and much much more  .
you would think after the dominance of windows that microsoft would have some plan to provide all the users (in other parts of the worl    non    us) with the games they want but distribution of xbox 360 games is fairly poor around the world  .
this is overcomed to some extent through thte xbox live marketplace but i think its important for microsoft to be able to get the games to all corners of the world  .
but i dont blame the console for this so thats why this dsnt affect my rating .
best console in the market .
xbox 360 , and also xbox elite , are top notch if i do say so myself , i own both xbox 360 and ps3 consoles and i must say that sony have put themselves in it this time , with blue    ray and all that , cause if they use blue    ray for games , each game will cost like 200    300 dollars , although they will be very very good  .
and also online gaming is far better on the xbox 360 peace  .
if you want a conscole that does everything this is the one microsoft have really outdone themselves do not bother with a wii or ps3 this one you shall not be dissapointed  .
heres how all you have to do is type this in  .
http  //www  .
360elite4free  .
com/index  .
php  .
ref  4544892 then sign up chose from referrals  .
or points then when you get the amount you need they send you one free  .
all  .
i say is try it and be one of a lot of people  .
that did the same thing .
the xbox 360 elite is awesome  .
i just want to say something against the cons  .
yes it's loud  .
but come on you're playing games  .
just turn up the tv volume and there you go if the xbox 360 elite had a build in hd    dvd then it would be more expensive  .
also some people do not have hd tvs so some people are paying for something that they cant use the power supply is big but really come on are you going to be affected by this  .
its not going to affect you playing gears of war or halo 3 the only wires in the system are the power supply and the cables that go to the tv  .
the controller comes wireless  .
there are wired controllers but that separate if you want it the cons made by cnet are very litle things that can be over looked .
well i think the xbox elite has its ups and ups because duh  .
its not aimed at xb 360 owners , its aimed at consumers in general i mean come on , would they really just ask a ps3 owner to buy an elite  .
they might  .
but they wont buy one because theyve made their secret oath to sony  .
and sony has to have its own stuff  .
ex    .
sony television  .
has   to have sony cables , and universals  .
will not work  .
stupid  .
yes  .
reality  .
yes  .
awesome  .
friggin no  .
you must get this console  .
way beter than the wii and ps3  .
its awesomeeeeeeeeee  .
111111111111111111111  .
i heard about a lot of people getting free xbox's , iphone's , ipods , etc  .
and decided to try it  .
at first i is extremely skeptical but i did a lot of research and found out that this really is a way to get a free xbox 360  .
all you do is sign up , complete an offer from the sponsors and refer 12 people have a look at this video first    .
http  //www  .
youtube  .
com/watch  .
v  dfkyve__mug  .
go to this website http  //www  .
