i absolutetly love my 80gb zune  .
i bought the first zune when it first came out and loved it  .
when this one came out , i just had to buy it , so i saved up some money and bought it too  .
although its not as tough as the zune 30 it is still amazingly resiliant compared to the fragility of apple's ipod devices  .
i have watched the zune grow from a decent underdog , to the amazing ipod competitor it is today , and have nothing but respect for the zune team  .
this is a great device with great features , and i cannot wait for the zune hd to hit the market (just in time for my birthday i might add)  .
my only problem is that the touchpad does not have directional buttons , just a single click , and determines the wanted action based on the location of the finger on the pad , meaning , as with all single touch devices , if you touch it in one spot , and then select in in another , it will only react to the location of the first touch .
if you are like me and like to have all of your music organized and look the way you want it to , and to be able to share your music with friends and then have their music as well this is the device for you .
i love my zune  .
with the features it has , it's hard for my old ipod to measure up  .
for sure , i cannot download the fart app that i had on my 32gb ipod touch but as far as useful features go , this zune can beat down a pod any day .
ive owned now 4 ipods  .
all have bit the dust in some form or another , without any sort of rough use  .
ipod 2nd gen , died at 373 days  .
just outside of warranty  .
ipod shuffle , original 1 gb , died 14 months after purchase  .
ipod shuffle (2nd gen) , died 9 months after purchase , didnt call on warranty  .
ipod photo , lasted the longest at 1 year , 6 months  .
i use my ipod for two things , in the car and while running  .
seems to me they are designed to not last that much longer than the warranty ive had my 80gb zune for awhile now , and it is holding up fairly well  .
i charge every 3    4 days and have not had an issue yet with battery life  .
i like the touch pad and the ease of navigation through the menus  .
like i said i dont like fat finger screens as neither phones nor mp3 players have gotten the touch screen right yet , unless your fingers are the size of a 5 year olds video playback is phenominal , no lag or video quality issues  .
no format issues as zune software automatically coverts the format while syncing with your zune  .
(no more need for 3rd party programs to convert)  .
the zune marketplace does have tv and movies , and the points work both on zune and the 360  .
(harmonix and redoctane are both in talks to include a mp3 of downloaded rockband and world tour songs to users at no additional costs) as far as sharing music , its a nice feature but not one i truely need  .
it is nice if you really want a song or album , you can quick get it on your zune , and the next place you get wifi simply purchase the rights im done with ipods (well my wife has a mini still , with a 3rd party battery cause the oem died at 13 months , suprise suprise  .
) the bulky ugly memory hungry itunes is off my laptop and pc , and eventually will be off my wifes laptop  .
althouigh i dont like buying songs or videos off of zune , i do like the way it handles podcasts , in my opinion , its finally a good way to manage them  .
i get my mp3s from amazon  .
com or ripped from cd .
i have owned my zune 80gb since it is released a little over a year ago  .
it is my 3rd mp3 player and by far my favorite  .
in fact , i recently dropped my zune on the sidewalk and it broke  .
i do not fault the product  .
i have dropped it countless times before without failure  .
but a spinning hard drive is not designed to put up with complete torture  .
anyway , i love this player now i know that it is trying hard to keep up with the ipod and many of my friends laugh that i am sticking with zune  .
it doesn't have a touch screen  .
its a bit bigger than the ipod with equal storage  .
and it does not offer you the chance to be just like everybody else so whats the big deal  .
no stupid ipod music format  .
even though apple has removed the drm from many of its itunes library , it still downloads in a format that only works with apple software and players  .
so , once you go apple , it is a royal pain in the ass to turn back  .
