positive experience with this brilliant camera ; travelling thousands of miles ; a hardy piece of kit with everything you need in a pocket size camera       10x zoom ; wide angle leica lens ; and lots more  .
this is my sixth digital point and shoot camera and is hands down the best i have ever owned  .
this is my first panasonic and based on the fun i have had with it over the past 5 weeks i can honestly say that unless something super amazing comes out in the future it may very well be the last digital point and shoot i buy  .
i love it .
for the money , you won't find a better camera  .
for those who are considering buying a cheaper camera in the $100    200 price range , save your money and buy this one instead , you wo not be disappointed  .
the camera has a lot of features , and you must take time to get to know the camera if you want to take full advantage of how super it is  .
the battery life is great , i can shoot all day and still have some battery left to make it home to the charger  .
i really love the 10x zoom , you can capture some great shots , even from nosebleed seats at a concert  .
i recently attended the madonna concert , and got some great shots in dark lighting with this camera  .
it also does well at the zoo , outdoor sporting events , etc  .
indoors , it does seem to lack a bit , but if you take the time to properly set the camera for your shot , you will almost always get a great photo  .
i have really shaky hands , and the only time the image stabilizer lets up is when i'm zooming in real close , otherwise it works great  .
i've even taken a lot of photos as a passenger in a moving car , and it does an excellent job of capturing the shot , even at 55mph  .
overall , this is the best camera i've owned , and you will love it .
i'm no fanboy of panasonic ; i'd never even heard of lumix before i started shopping for a new digital camera about a year ago  .
the blogs reported about 2 cameras that were coming out that shot hd video , a feature i absolutely wanted , this and the cannon  .
the tz5 also came with a 10x zoom , as well  .
this is definitely a rare feature , and i cannot remember how many times i cursed my old pentax for only having 3x  .
the icing on the cake is the availability to zoom while recording video  .
this feature is awesome and essentially makes your picture camera a camcorder the picture quality imo is amazing  .
i constantly get compliments about them , and am able to do a lot of cropping etc ; however , im sure most cams output good quality at 9mp  .
ill defer to cnet on that issue , but i'm certainly happy with it now things that annoy me   no optical viewfinder    meh i don't really miss one , but some ppl might be annoyed by it  .
in the camera's defense , the screen is super bright and super crisp (i think it is the highest resolution at the time)  .
no manual focus this one kinda upsets me  .
my old optios had a basic manual zoom function that i loved (i'm certainly no professional , but i'd consider myself a hobbyist)  .
alas , there is no manual focus here  .
in fact everything is pretty much automated for you  .
