its worth every cent , dime  .
penny  .
go 4 it now  .
i owned the first pioneer pro    fhd1  .
in it's day it is the standard for all hd television to be judged , in 2004 electronic product of the year by everyone who reviewed it , and it sold for a cool $10k  .
i loved the color's and it's ability to create the most dimensional of picture's i had ever seen now it's 2008 and pioneer is calling it quits in the r d and manufacturing of all plasma displays  .
i had read reviews on the kuro 9th gen pro    151fd and again all the reviews pointed to the best obtainable (state of the art)display as the had back in 2004  .
i live near the so  .
cal  .
pioneer store and had the pro    151fd demoed  .
i could not believe how black , black could be  .
the problem of the bars on certain aspect ratios , gone  .
60'' the bars as black as ink , for me this is big  .
i could now enjoy all the 2  .
35 bd's i had purchased over the last few years i have all ways been a bit skeptical about demos , be they audio or video  .
after the demo of the pro    151fd i is taken to the lobby of the store to see a comparison of 50 vs 60 wow , i gotta have the 60  .
this display is every bit as good as the display demoed , with remote in hand i wanted to see if this is isf day or night , and to my surprise the display is set to optimize on the av selection  .
i inquired as to the advantages and disadvantages of this selection and i is told with out paying for the display to isf this is the picture we would have at home  .
that did it  .
i went home after getting priced from pioneer and made a few calls and the rest is history  .
we know own two of the greatest displays available to date .
would buy this tv if it would cost twice as much    it's that good .
black levels  .
very impressive , i am a very critical viewer and have installed , calibrated , and owned some of the very best in projectors and tv displays and have always been disapointed with the black levels  .
i have to say this tv i am very impressed and pleased with  .
colors are very good to excellent , not the best ive seen but very good  .
i have not had mine isf calibrated yet but have spent much time calibrating it with the use of joe kanes blue ray version of video essentials and believe i have it dialed in  .
highly recommended and especially for the price they are going for  .
i have installed more expensive tv's the runco (which is a modified and hand picked pioneer elite) and find this to be every bit as good cant say enough about this set , dont hesitate buy one you wont be disapointed worth every penny  .
nothing comes close for the price  .
enjoy  .
spend the money for the quality , i love sports and i can see the sweat and pores on the faces when watching movies or sports  .
i normally do not take time to write reviews but this is worth it .
i always heard that pioneer made the best plasma tvs , so i pulled the trigger on the 60 inch kuro elite  .
one of the best decisions i ever made  .
i detached the speakers and stand to hang this baby on the wall (my preference)  .
blu ray movies look stunning  .
the hd cable channels are gorgeous , even though the sd channels leave something to be desired  .
