i have the 50 set hooked up to a 7  .
1 surround system with just a little light in the room at night  .
it is an awesome experience  .
during the day i have a window    wall with no curtains  .
there is virtually no noticeable glare  .
i'm sad their discontinuing this line some nights , i stand four feet in front of the screen , just gazing at the image  .
i feel i could just reach out and touch it  .
who could ask for more .
i have had many different hdtv's and this is the best by far  .
i just used the new hd digital video essentials to calibrate this tv  .
this tv kills my panasonic plasma and sharp lcd  .
it is also much better than the samsung plasma that i returned  .
buy it if you can  .
you will not be sorry  .
i must also add that this tv does standard definition better than any hdtv i have seen  .
good job pioneer on the build , and cnet on the review  .
after spending the better part of an hour scrutinizing and comparing side    by    side displays of the pioneer pdp    5080hd with 720p and the pioneer 50 inch model with 1080p , i can honestly say that neither i , nor the other people viewing along with me , could see any difference whatsoever in the color , color depth , or sharpness between these two models  .
everything about the 5080hd is excellent and , considering the good price i paid for mine , this hdtv is well super    excellent early on in my quest for a good hdtv i did have some reservations about buying 720p instead of the more recent 1080p  .
but most articles i've researched on this matter conclude the higher resolution 1080p format is most effective on screens 55 inches and larger  .
any difference on smaller screens hardly matters when viewed from more than 6 feet so , considering all the wonderful qualities of pioneer products , i could only come to one conclusion   buy  .
i did  .
i'm happy  .
i've had thid tv for 2 months , i spent alot of time comparing this to the latest samies and sonies , the pioneer 5080 has better blacks , much less glare , better viewing angles , and better price  .
to name but a few  .
glad i choose the pioneer  .
if you want a screen no larger than 50 and your viewing distance is greater than 6' , this is the 'steal of the century'  .
pioneer dropped their price on this 720p pdp5080hd kuro set by $500 in late december  .
i purchased from pioneer authorized online dealer , www  .
invisiondisplays  .
com for $2000 which included delivery and no tax  .
the folks at invision are exceptional  .
it's a family run business with very knowledgeable people , and they also have a storefront in washington  .
i am most impressed with their professionalism , sense of humor and knowledge  .
in addition to pioneer's one    year warranty , i got the extra 5 yr  .
in    home parts labor warranty for $299 through invision  .
that's only $60/yr  .
the tv is ready for delivery a week ahead of schedule , and arrived shrink    wrapped on its' own pallet in the upright position , as recommended on the outside of the carton i've compared this pioneer 720p to 1080p plasmas and lcds from samsung , panasonic and sony , side    by    side , at best buy and there is no comparison  .
pioneer does it right with the sum of its' parts creating a superior product and picture  .
do not think twice , and get this incredible tv from invision displays now  .
i also advise protecting this great tv with a furman sound pts    8 surge protector that is like no other , as it improves video and audio as well  .
i've actually tried it on the accuphase cd player ($10 , 000 in 1996) in my high    end audio system and the improvement is worth 5 times the $135 price as other users have advised , and pioneer substantiates , it is wise to play this tv in the 'movie' mode for the initial 200 hours prior to using the 'optimum' setting  .
while the tv has great technology to prevent burn    in , pioneer also suggests running a simple program to clear any potential burn    in from static images  .
at the end of the day , on the remote control , press the 'home' button , option button , and scroll down to video pattern , then press 'enter' , and a white noise program    wipe will eliminate any potential burn    in images  .
the program runs for one hour and then shuts off the tv automatically  .
there's a reason pioneer costs a little bit more  .
it's worth it  .
but this 720p is a steal .
i researched 50 plasmas for many months determined that from my perspective , the pioneer 5080hd is hands    down the best picture available vs  .
comparable panasonic plamsas numerous lcd models  .
i patiently    waited on prices to fall on this model they finally did substantially just around christmas (from $3 , 499 retail at best buy to $2 , 499)  .
best buy has now offered it as low as $2 , 249 other online sellers have reduced their prices in similar fashion  .
at this price , it is only $500 or so above other 50 720p models , the picture difference is well worth that small differential  .
as others have repeated , the blacks therefore contrast/sharpness are unmatched  .
there is no discernible difference at all at normal viewing distances between this 720p model similarly or higher    priced 1080p models from competitors  .
set    up operation were easily understood mastered by a non    tekkie  .
with the prevailing prices for this model , there is no reason to settle for anything less than the finest picture on the market for just a few dollars more than the pretenders .
i've had the set for six weeks and i'm amazed each time i see the depth of the picture the experience is really inexpressible so seeing the pioneer 5080hd is worth more then a thousand words could say .
pdp    5080 is #1 for a reason  .
we went from a 36inch box tv to this hd plasma and flt we went from 3rd world to out of this world  .
buy this set  .
i priced around and found that beachcamera had the lowest price and is authorized pioneer dealor  .
they beat best buy  .
everyone has this for sale at 3499  .
00 , i paid 2 , 450 inc shipping and delivery  .
fyi    just make sure you buy from an authorized pioneer dealor .
the best picture i've ever seen  .
the sound quality is very good .
i got this tv a few days ago  .
my family is very pleased with it so far  .
i bought the toshiba hd    dvd player (hda2) simultaneously and is able to watch a movie in about 25 minutes after the setup  .
the thing that took the longest is taking the tv out of the package and screwing in of the speaker brackets  .
the picture is outstanding  .
the blacks are true and the other colors follow suit  .
we cannot go back to the old 20 inch crt and we wonder how we ever watched anything on it  .
at 50 inches this size is perfect for 2 bedroom apartment living rooms here in san diego  .
i'm only about 8    10 feet away from the screen  .
do not worry about it being 720p native resolution , 1080p sources look amazing  .
besides the hd    dvd player (via hdmi) , i have a ps3 (via hdmi) and a wii (via component cables) hoooked up  .
hd    dvds , sd dvds , blue    ray , and the games look amazing on this tv  .
the speaker itself sounds remarkebly good  .
i am still waiting to get hooked up to time warner cable (i just moved to a new apartment the day i got the tv) but from just watching a few hd channels via antenna i know cable will look good  .
sd tv over the antenna looked adequate considering the crappy signal  .
i have not tried pc hookup yet  .
this tv is a better value than a smaller sony bravia xbr3 , 4 , or 5 lcd 1080p and a better performer .
do not regret the purchase for a minute  .
cannot imagine not having it now ; wish my computer monitor is plasma .
this is my first hd television and i did a lot of research prior to purchasing it  .
the features that really made it for me were the crisp brilliant pictures  .
