worth the money  .
i paid very little for one off of ebay new so look around and check out refurbished ones also  .
still warranted so why not  .
you might get it even cheaper that way .
i will give you there might be a issue with firmware but i didnt see it right out of the box i went to samsungs web site got the newest firmware and followed the directions in the manual on how to burn it to cd    r and upgrade firmware it now is able to run any bluray movie or extras  .
the latest firmware is 1  .
5 as i speak now and it has got faster with each firmware upgrade  .
oh and just my opinion dont upgrade over ethernet just burn it using nero and make sure you use iso burn setting .
got this from refurbdepot  .
com for 269  .
great price and shipping (1 day normal ground  .
) i read all the reviews and knew that i would have to update the firmware as soon as i got it  .
and i is right , i plugged in the player , put in live free or die hard and nothing went on to samsungs web site , followed the directions to the t (you must use a image burning program) and downloaded the update  .
total time to do this is about 20 mins  .
or so  .
i used the make a cd update way or you can use your ethernet , i does not matter  .
after it is done , the movie played without a problem  .
it is worth saving the money over the sony (spec for spec)  .
dvd upconversion is great (my wife even approved  .
) , the menus are great  .
highly recomended if you can update the firmware  .
thank you cnet for the advice .
great picture quality  .
easy to use  .
the update takes a while and you have to do it twice  .
but , after a month and 25 movies not a problem to speak of  .
i dont think that some of the people who wrote reviews actually bought the product  .
if you bought this product and had problems , you need to read the little book that came with it .
$278 at costco  .
works well with 42 1080p panasonic  .
great player for the price  .
if you keep it updated , you won have any problems .
i have read many questionable reviews about this product , and to date , have had no problems  .
the only bd i have tried so far that didn't work without firmware is live free or die hard after the easy firmware update (about 15    20 min via ethernet) , it played without a hitch  .
i have played about 50 bd and 25 dvd (thanks to netflix) , and haven't had a single problem  .
even disks with some scratches (older dvds) have played fine also , since i have an onkyo 605 , i am able to bitstream dts    hd and dobly truehd to the receiver sounds is amazing only things i can knock it for are the sometimes slow to load (1    2 min) for about 25% of the bds (rest are about 30 sec    1 min) , and the controller inputs , which when a button is hit , can take up to 6 secs  .
sometimes i hit the button again thinking it didn't register , and the menu will open and close quickly overall , for the money , i have not had a problem and really like the picture/sound functionality  .
i is sort of forced into this purchase since my first choice (panasonic dmp    bd30k) has communication problems with the samsung fp    t5884 plasma since then , everything has worked great  .
it does a great job with dvd movies in addition to the blu    ray media  .
i thought the editor's comment about slow load times is overstated    i did not consider this to be an issue , though it may be the program that we were watching only profile 1  .
0 compliant , but i felt that the additional features of 1  .
1 , etc  .
, were not important , so i is willing to trade that for having a lower    cost unit now .
i bought this blu    ray player for christmas because it is on special with the purchase of a new hdtv  .
after reading a number of reviews it is obvious that firmware upgrades are a necessity  .
i downloaded the firmware upgrade from samsung  .
com and loaded the latest version onto the player before ever watching a blu    ray  .
i have yet to find a disc that it wo not play even though the manual warns there may be problems  .
upconversion on older dvd's is on par if not better than an upconvert dvd player we own  .
overall for the price this is a great first blu    ray player .
some of these low end reviews coming from users dont represent this product so well after installing firmware 1  .
2 i have no problems playing any disc (including live free or die hard )  .
but one thing i will give them is that load times are slower than the average consumer using dvds is used to with the older format  .
i've been using this player everyday for a month and one time , just once , it locked up  .
which is weird but i turned it off and back on and i is back in business  .
no biggie additional note   i bought this blu    ray player along with both a samsung 120mhz 1080p tv and home theater system and let me tell you that the anynet+ system is great  .
the 3 devices communicate with each other over hdmi  .
so lets say you turn on the blu    ray and pop in a disc the tv goes to the hdmi input where the player is pluged in , and the home theater reciever goes to the correct audio input  .
awesome  .
i purchased this samsung bd    p1400 form bestbuy this december as a self holiday gift  .
i connected it to my new samsung 46in lcd  .
when i played regular dvd's the player would suddenly stop and the samsung blue screen would appear  .
i would just press the play button to continue viewing  .
after a few dvd's this got really frustrating  .
on playing the spiderman iii , the image quality is increable  .
but , something weird happend  .
the sound is lagging behind what is going on in the movie  .
now even more frustrated  .
i got on line and did a little research  .
reading user reviews form bestbuy , circuitcity , cnet and b h , it turns out other had the same issue with this unit as i did  .
i considered returning the player for the playstation 3  .
buti learned duringm y research the the playstation 3 does not output both dolby truehd and dts    hd , which is the hi    def sound on blue    rays and hd    dvd's  .
that is deal breaker for me since i is planing on connecting it to a a/v reciever with dolby truehd , and dts    hd decoding  .
via even more online research showed that the playstation 3 does not send out hd sound tot he receivers  .
i connected the samsung blue    ray my to my modem via the lan connections in the back of the player  .
went into the system setup section on the menu and in 25 mins the player automatically uploaded the new firmware availble for it  .
i then played spiderman iii on blue    ray , once again , and it is perfect  .
so far all the regular dvd's are great (with upscalling) and the blue    rays pirates iii (at worlds end ) , 300 , happyfeet are unbeliavable  .
i am glad i just did a litlle work and saved my self $140  .
which is what i would had to pay extra , for the playstation 3  .
