i am a bricklayer in minnesota  .
i work on swing stage scaffolding and jlg bucket lifts  .
one day while i is working four stories in a jlg the worst thing happened , my phone fell and bounced out of the jlg lift  .
it fell four stories down to a concrete sidewalk and pieces flew every where  .
i collected all the pieces and put it all back together and is amazed to find that my phone turned back on and has worked flawlessly ever since  .
the only damage done to it is a dent on the corner of the phone cover  .
there is also the slightest scratch (dent) on the phone , but is barely noticeable  .
nothing is broke , not even the display had a crack  .
i still cannot believe how tough this phone is , but in my book , it's the best  .
i like the moment  .
it is the most phone i can afford to get me as close as i can to the evo or iphone  .
i can not afford the package for or the phone  .
has lots of free apps from google to keep it fun  .
over all i love the phone  .
i see consumer reports give it low or ok reviews , but myself and others that have this phone seem to have a different opinion about it  .
in my opinion it is much better then the hero or any blackberry  .
the controls are great and the phone is very responsive  .
the sound quality of the calls are great and i get better signal on this phone then any other phone i've owned or used  .
the phone also comes with a 3  .
2mm jack so it also works as an mp3 player  .
you can download the songs on the go and use any headphone or car jack  .
it also has apps for internet radio such as pandora and apps to make ringtones that work better then myxer  .
i would highly recommend this phone to anyone looking to buy a new android phone .
retrieving messages is really simple  .
you dont have to listen to twenty messages before listening to one  .
you actually just click on the number listed on your phone and listen to each message  .
you dont have to go through each message  .
the android applications are amazing .
the saying goes moment does , if you are willing to put time into updating and customizing , the moment simply is too much  .
this phone has blown my expectations , in everway and i'm coming from the iphone , this sprints best phone today , a great choice to be able to wait until the htc evo comes out  .
you will miss the keyboard i guarantee thou and its beautifull amoled  .
i bought the moment yesterday and have absolutely fallen in love with it  .
i is a dedicated blackberry (tour) user but i use the ipod touch for music  .
so , i've been wanting a touch phone and is contemplating leaving sprint to go to verizon to get the blackberry storm  .
my husband bought the moment and asked if i wanted one  .
i said sure and decided i'd give it a try  .
i figured if i did not like it , i could go back to my blackberry tour anyhoo    i absolutely love this phone  .
there are tons of free apps available in the market  .
i've only downloaded a few , but they downloaded quickly the web browser took some getting used to but i now know that you have to use the menu feature the only complaint i have about the moment is that if my face touches the screen while i'm talking on the phone (not using my bluetooth) , it'll hang up or engage the 3    way calling feature  .
so , i've taken to kind of holding the phone away from my cheek  .
regarding the battery issue i've read about in these reviews  .
it's now 12pm and the battery indicator has turned from green to orange and it looks as though it's about to die  .
so , i'm going out to my car on lunch break to re    charge it have fun  .
i could not decide between this phone and the palm pre for weeks before going to see them first hand  .
as soon as i played with each for a while i knew i wanted the moment , it is so intuitive to do whatever i wanted  .
the intuitive nature of the phone is more a tribute to the android os than the phone but the phone controls and screen did help in this area , plus the performance is incredible  .
i have had this phone for a week now and want to tell anyone on the fence about it not to hesitate  .
i tried many phones including droid , iphone , hero , and samsung hd , and this is by far my favorite  .
do not listen to what people say about the battery life  .
they have to have everything running all the time without a task manager and have a phone without the new cl14 update  .
i kill the tasks and got the update and my battery life is about two days with moderate use  .
you must charge up to 100 percent and drain twice to get the battery working to maximum potential  .
there is not a phone out there that really has anything over on this and i had many of the best .
this phone might be a little expensive , but its definitely worth it because its like having a computer , an mp3 player , a digital camera/camcorder , and a phone all in one , and it fits in your pocket  .
ok , to start out with , i'm one of those people that drank the apple kool    aid several years back  .
i love my macs i owned the iphone since day one  .
it truly is a revolutionary device  .
the one thing that became glaringly evident to me over the past year , is that first and foremost , these devices are phones  .
in my case , i rely on my phone (and the 24 others that i own for my company) to do business  .
email is important  .
