10 years of flip phones this is my first touch phone  .
this is actually fun to setup  .
i recommend this phone to anyone who needs something simple to train on  .
til g4 phone's get simple thanks samsung , again  .
updated  .
on nov 1 , 2010  .
for the price and simplictity of the phone i give it an a plus plus , , , , , the camera and pictures are great also  .
i bought this phone after reading plenty of reviews and doing research  .
so far it's everything i could ask for in a phone  .
i unlocked it to use with t    mobile , and the call quality is great  .
i love the touchscreen , as it is very responsive  .
it requires a little bit of pressure , so it is not as sensitive to the touch as the iphone  .
i find this is a very good feature because it means that you don't press random keys by mistake  .
it is very easy to get used to  .
texting on this phone is a breeze  .
its t9 serves as an auto correct in qwerty mode , so if you're typing fast , it automatically corrects any mistakes  .
so you get barely any typos  .
it is a very smart feature that doesnt get in the way  .
the period , comma , and question marks are available on the abc and numerical screen when texting , so u dont have to go back and forth between abc and symbols  .
the camera takes pretty good pics  .
it's auto focus works pretty well for a phone  .
it also has a blinding flash that you can enable or disable easily , along with many cool picture options such as frames and mosaics , so u can get really creative  .
it also includes a smile shot , and panoramic picture option which is really cool  .
you can even edit pictures right on your phone , so if you like the picture but the brightness or contrast is a little off you can change it right there on the phone  .
you can even warp , rotate , blur , crop , and add cool little frames , clip arts , emoticons , and text  .
this can keep anyone entertained for hours  .
the sound is very loud and clear  .
you can listen to music on it without any distortions  .
you can even have it playing in the background as you text or navigate menus , etc  .
the 3  .
5 mm jack is a great feature so u can listen to your music anywhere  .
the widgets are pretty cool , and very customizable  .
you can even customize your 3 main menus very easily  .
its charger is a micro usb , so u can charge it with a computer as well  .
it has a cool little bar which displays any texts , missed calls , emails , ims , voicemails , and missed events , right on the main screen  .
the screen is beautiful and shows crisp colorful images without a sweat  .
also you can have as many alarms as u like , which is a plus for me (that way you dont have to change them constantly , just add a new one) you can set it to ring at specific days of the week , and also you can snooze it up to 10 times (most people dont do this but if you wanted to you could) and you can set the interval between each snooze  .
i recently added internet to my t    mobile plan , so i cant use it until next month , so i cant really comment on its internet performance another feature i really like is that anytime you press something on the screen , it gives a little vibrate , which is really cool , because it kind of feels like you're pressing an actual button (you can turn this feature off if you don't like it though , which is cool too if you dont want that)  .
the one thing i do not like about this phone is that when you send or receive a text message , it automatically saves them to your sim card , which means it can get full fairly fast and you woud have to move them or delete them after a while  .
(you can still receive texts even if the im is full , because then it saves to your phone , but a little dialogue box comes up every few minutes) it's not a big deal really , and i still love the phone , i just wish i would have read about this beforehand all in all i am very happy for my purchase and adore my new phone  .
good luck , and i hope this helps .
if data plans r just too expensive for u , this is the best possible phone u can get  .
i use this phone a lot for music everyday and i also watch a lot of videos and it is great for a media/entertainment person  .
even the internet surfing speed is good  .
the camera has a very bright flash and overall , this is probably the best feature phone .
i just picked up my samsung mythic last week and i am quite eager to learn a thing or two last phone that i modded is the razr and that has bee quite some time ago  .
i'm enjoying the samsung mythic thus far and will probably start making wallpapers and ringtones in the near future  .
you can check out my wallpapers at http  //www  .
samsung    mythic  .
com take care .
great phone at great price  .
great phone for a great price  .
web browser works great , good camera for a phone  .
the reviews complaining about lagging must not have calibrated the phone  .
the at t rep set up my phone in the store while i is waiting for numbers to transfer to another phone and i have had no problems  .
all transitions are smooth .
great phone          cool looks easy , intuitive use  .
i is going to follow the trend of purchasing an iphone when it is time for my upgrade , but instead of spending $150 for that , this phone is offerd for free so after reading reviews i jumped at the offer  .
i received the phone and i have been thrilled ever since (i upgraded from a full qwerty keyboard motorola q global)  .
the virtual keyboard is easy to use and i very rarely mistype , none more than i used to with my old phone  .
the widgets are fantastic , and he 3  .
2 mp camera works very well and has a flash which is a nice touch  .
i do not agree with the previous reviewer who said that the phone has lagging issues , as i have had absolutely no problems navigating through each screen , widget , etc  .
my husband and i are very happy with my purchase , so much so that now my husband is looking to upgrade to this phone also in january since he has seen mine  .
i bought this phone last week when i upgraded my at t plan and i love it  .
i is a little wary at first since my last phone had a dedicated qwerty keyboard (blackjack2)and a non touch screen interface  .
but i took the leap  .
