excellent tv , everyone who comes over to my house is asking me how did i get picture like that  .
its expansive but hey~  .
you get what you pay for  .
i love the tv , i am very happy with it , not sure if i bought it too soon while 3d is coming now but really dont want to sit at home wearing glasses either  .
price is fairly low , bought it in jan at amazon  .
i have not had any problems with it  .
i am so impressed with the samsung after 2 weeks of use  .
even standard non    hd cable looks good  .
it looks better in my house than the store feed  .
the embeded content (scenery , art , games , recipies , relaxing image sounds) is cool for a demo , but not expected to be used too much  .
i have not hooked it to the internet yet as i need either a 50' lan cable or the $79 wireless adapter  .
i will order the cable today  .
no bluray yet , but i watched hd    on    demand last night and it is sooo impresive  .
no buyer remorse here  .
go get yours  .
i ended up finding the best price here   http  //shop  .
rose    press  .
com/samsung    un55b8000    55    inch    1080p    240    hz    led    hdtv  .
ok , my husband reads the manuals etc  .
then he breaks them down in english for me  .
we have only had our led for 3 days , so he is still working everything out  .
he has managed to hook the led to the internet wirelessly  .
he is like a little kid in the candy shop  .
he is loving all of the features that come with the tv  .
i will give it a week or so before i start to learn everything that there is  .
we are also planning on watching the super bowl on the led  .
i cant wait , we will be able to see every little thing on there  .
when we bought our led , we also got a free blue    ray player with it  .
great deal at best buy for the super bowl  .
we also cant wait til we buy the second one within the next month  .
same size and series it also sucks that the cable company cannot handle the power that this tv offers  .
the led is so advanced compared to cable etc picture    beautiful  .
quality    beautiful  .
functions    awesome  .
issues that i have    i can not get the led to myself  .
my husband keeps playing with it  .
i keep telling myself , it will be over soon , let him have his fun the best tv we have ever owned  .
it is like a piece of art  .
i would recommend this product to anyone .
if your out of the us  .
i suggest acquiring this set with no regrets  .
i have owned sony televisions exclusively for the past 30 years  .
i is in the market for a new tv to replace my older sony 50 grand wega lcd projection set  .
i always keep up with new technologies in consumer electronics and knew that led backlighting is the way to go  .
one day , i visited best buy to see the new sony models  .
i is particularly interested in the sony bravia xbr8 led tv  .
it has an awesome display , but i couldn't bring myself to part with $5k for a tv  .
the price factor is a big disappointment  .
i knew samsung made led models so i decided to check them out too  .
i is immediately floored  .
they looked far better than sony's more expensive led model and for $2k less  .
but , is i really willing to purchase something other than a sony tv  .
i would have to be convinced  .
i did a lot of research on these samsung sets  .
i demoed them in several stores and read as many reviews as possible  .
imo , the samsung led tvs are by far the best technology currently available  .
their display must be seen to be believed  .
most impressive of all , is the fact that samsung accomplished this in a set that is only 1  .
2 thick well , i is finally convinced and decided to purchase the samsung un55b8000  .
i have owned it for almost a month now and i am in awe every time i watch it  .
this set is beautiful even when it's turned off  .
but , you won't want to turn it off because the clarity , detail , brightness , contrast and color are absolutely exceptional  .
for the first time i have owned a tv , i did not have to make any adjustments to the factory settings    it looked perfect right out of the box  .
in fact , i had purchased a calibration dvd and is surprised to find that i didn't have to make any adjustment to any controls of course , the most amazing thing about his set and what intially lured me to it is its picture quality  .
it's difficult to explain the level of detail it produces  .
i have hd cable programming (1080i) , which looks fantastic  .
games on the xbox 360 pops out at you  .
but the images produced from a blu    ray source is absolutely breath    taking  .
i is also pleasantly surprised at how bright the display looks in my sunlit family room  .
i thought i would have to adjust the brightness to view the set in daylight and again when watching at night as i did with our old sony tv  .
although the screen on the un55b8000 has a gloss finish , it does a great job of reducing glare and reflections i do want to respond to the negative comments that others have reported here regarding uneven backlighting or vignetting effect caused by the edge    lit leds when the tv displays dark images  .
the only time i noticed this is when the set displays a totally black background such as in movie credits  .
at best , it appears as a very faint illumination from the corner  .
but even then , i really had to look for it  .
i do not think this is an issue at all ; at least not one that should deter anyone from purchasing this incredible tv  .
i have to assume that those that have experienced this anomaly are probably looking at an uncalibrated set that has its brightness level turned way too high i took advantage of the slim design of this set and purchased the ultra slim wall mount  .
the tv hangs like a picture frame and looks like a masterpiece , which it is  .
the slim case houses adequate speakers , producing fairly good sound quality for normal tv viewing  .
of course , you would want to watch movies through a surround sound system as for the other features of this set ; the internet widgets are pretty cool  .
i especially like the youtube widget  .
the dlna network feature is also a nice addition , but the interface is somewhat slow and not very functional  .
i'm hoping that a future firmware upgrade would improve this feature  .
the content library feature is my favorite  .
