like i began this summory above , i will end with the same plain and simple fact   spectacular product  .
i had an unlocked 8gb iphone 3g and got myself and my 15 year old son the vibrant using the buy one get one free deal  .
i got tired of the iphones limited capacity , having to use edge , lack of camcorder , other than a 3rd party app , and having to convert avi's to watch videos  .
i upgraded the iphone to 4  .
1 and it made the iphone pretty much useless  .
it is laggy and buggy , take forever to open anything , if it opened it up at all  .
i had to tether it to make mms work and if the phone crashed , which it did a lot , or if i had to reboot it , i had to retether it and it became too much of a pain  .
so my wife is getting a new blackberry and i got to play with the vibrant and ended up getting it  .
now it's about a month later and i'm very glad i did  .
first the screen and video playback is unbelievable rich and saturated  .
16 gbs bullt in is so nice and its upgradable up to 32 gbs with a micro sd card , thats a lot of media  .
i is in the hospital having surgery for a few days and i loaded 5 movies from 1  .
5 gbs to 700mbs and 7 episodes of seinfeld and curb your enthusiasm at about 350 mbs each episode along with about 5 gigs of music  .
i is entertained  .
having 3g is such a luxury now compared to using edge  .
the video recorder takes good video , but i haven't seen it on my big screen yet  .
pictures look nice too  .
i have a few games like asphalt , reckless racing , raging thunder , and it's right on par or even better than the iphones preformance  .
bigger screen too , so the free full version of angry bird looked really cool  .
the processor is plenty fast and the browser is easy to use  .
i kind of like that the phone is so light , although some think it's too plasticky  .
i like that you can put in your shirt pocket and it wo not sag it  .
it does need a good media manager and the battery life is really poor  .
the android market also pales in comparison to the app store , so the apps lack in quality and quantity , but those are really my only complaints so far  .
i just had to get over not having an iphone anymore and i'm glad i did .
got this around the end of aug  .
when i dropped my mytouch 3g (without a case , and without insurance  .
stupid me)  .
would not have been ready for an upgrade for some time , but the mytouch screen is rendered useless , thus the entire phone is useless  .
i loved the mytouch (my first android device) , but compared to the vibrant it seems a little like a toy in retrospect i immediately got the silicon gel cover at the t    mo kiosk (lesson learned the hard way  .
) and i have to say , this alleviates the plasticky feel many (rightly) complain about  .
with this simple gel cover , the phone feels solid , protected , and just the right weight  .
(though not quite as pocket    friendly as i want) there's no denying this beast is a battery drainer  .
i have chargers everywhere now   home , car and work  .
i'm constantly charging , so this is not a particular con for me  .
also , with this blazingly bright screen , it is not really surprising  .
the less your screen is on , the longer your battery will last  .
(btw , the micro    usb port chargers are ubiquitous on the net and , so , very inexpensive  .
android rules  .
what steve jobs calls fragmentation , we call choice  .
i'm still tweaking , discovering ,  enjoying  this device every day , ten weeks later  .
get this phone  .
love the pone  .
incredible phone to compete at the forefront with the big boys in this industry  .
samsung could easily make a metal backing and improve battery performance for those who already own the device  .
i encourage them to do so  .
i think this is the best phone on the market  .
love the android touchwiz os , wifi is super fast and this phone has excellent call quality  .
the quality is so good that sometimes when i am talking to someone i think they hang up when they are not speaking because it is so clear  .
top notch phone  .
screen   my roomate has the iphone 4 to be honest , i don't see the plus to the retina display  .
i cannot see pixels on either , this phone displays black better than the iphone , and just has a glossier look  .
this one screams hd , i watched avatar the other night on it , the quality looks better than the $2000 tv we have at home  .
it's like having an hd tv in your pocket , with access to youtube and the rest of the web  .
how does that not sound awesome  .
speed   hummingbird processor is flat out the best  .
super responsive  .
runs slightly warm with my case , but no real complaints  .
especially after rooting the phone (which is very easy and foolproof , guides at xda) and installing a custom rom (bionix is my personal fav) , overclocking and undervolting is possible , the phone is super    responsive , near impossible to bog down by opening a ton of stuff    so much i cannot even list is all  .
my little brother loved how easy it is to hack a ps3 with a rooted android phone  .
another plus to rooting  .
great community support  .
amazing new capabilities for the phone  .
faster upgrades than any phone company    durability   i drop this phone almost every morning from my bedside  .
that's about a 6 ft drop (dorm rooms)  .
i still don't even have a nick on the screen  .
not that i intend to push the envelope testing it , but the screen seems super    durable  .
my college is full of iphone users (50% about of students have)  .
about 30% of those iphones have cracked screens  .
i've seen 0 cracked galaxy s screens so far  .
imo , the durability is more than worth the slightly plastic    y feel (which is certainly present)  .
i don't even use a screen protector  .
5 months and countless drops later , still looks new  .
my roomate's iphone , on the other hand , has a few nicks and dents in the metal band    being on android equates to super    customizability (smartphone is expensive , i like to be able to customize  .
) , and amazing speed , not to mention great compatibility (flash , anyone  .
) google maps/navigation is amazing , though the gps will eat your battery  .
android's market also has countless apps  .
it's growing super    quick too  .
a good deal are free , i've rarely not been able to find what i want    it's everything you could want in a phone , compact  .
long gone are those days when i would carry around a cell , ipod , camera , and still want my laptop around to do what those could not , i can do pretty much everything from my phone now  .
you can even install software on both so you can access your computer from your phone  .
smartphones are becoming everything    devices  .
this is the best t    mobile has to offer , and believe me , they don't need to offer any better until the galaxy 2 comes out (ffc , 2ghz processor , same amazing screen and probably a lot more  .
cannot wait  .
until then , i am a very happy t    mobile customer with the plethora of things this phone can do  .
i cannot speak for at t , verizon or sprint customers concerning best smartphones , but if you are on one of those carriers and looking to get a smartphone , check out their galaxy s equivalent at the store  .
it's worth looking , at the least    yes , there is no slide out keyboard , front facing camera (ffc) , or led flash  .
however , the camera still takes amazingly high quality pics , and a ffc is easily installable (see xda , they are about $30 and involve a little bit of paint scratching and soldering  .
doing this later in the year  .
as to the keyboard , the onscreens aren't as bad as some people say  .
i actually think swype is better than a slide    out , i text faster and with fewer errors using swype than many friends with traditional slide    outs    a lot of people also complain about the battery life  .
if you leave on gps and bluetooth all day , your battery will flop  .
turn those off if you aren't suing them  .
also , try to either have wifi on/3g off , or wifi off/3g on depending on your location (wifi is faster , and i'm on a college campus  .
thus , i rarely use 3g)  .
having one on and not the other will drastically improve battery  .
also , leaving things like aim on will drain  .
do not use a task killer , that will also drain  .
forwarding everything to gmail and only using that will also help  .
finally , a custom rom works wonders too , i normally have zero trouble going from 9am    12am off one charge , and i spend a good deal of the day messing with my phone playing youtube vids , texting , calling , browsing the web , reading news/kindle checking facebook/twitter/email , listening to pandora , etc etc  .
if you still have issues , consider a 2nd battery to carry around in your pocket and just switch em out  .
might be doing that too , for days i forget to charge/want to use my phone even more all in all , amazing work , on both samsung and xda's devs  .
happily enjoying my phone as i eagerly await the samsung galaxy 2 , which is supposed to be released next year hopefully around my birthday  .
great phone , great dvice if you like multimedia away from home  .
battery life can be problematic .
this is the best phone i have ever used after having the , samsung t219 , razr , sidekick 3 , sidekick lx , sidekick 2008 , rockr , g1 , mytouch , nexus one , mytouch slide , and finally vibrant 3  .
this is a great phone  .
i lost my love for my iphone after the 4  .
0 update (apples windows me)  .
it became slow and almost unusable  .
i also got kind of sick of apples strangle hold over the apps you could install    i love linux and this os is a great variant  .
the video on this phone is amazing as is the camera (the iphone 4 is marginally better but not worth the downside)  .
i have no issues with the battery life on mine  .
the weak spot is t    mobiles coverage  .
in most cases it is fine but in the house it is kind of bad  .
overall this is one of the best phones i have owned    and i have had all the iphones .
awesome phone  .
i use it for almost everything i need to do  .
has nearly replaced my home pc for simple tasks  .
i would highly recommend this phone  .
it has been very reliable  .
hasn't locked up on me yet  .
i've had it for over a month now , and i haven't had a phone yet that i have not had to reset at least once doing simple tasks  .
this phone can be rooted (very easy to unlock) so anything is possible , this phone is not binded like iphone  .
this phone comes with 16gb standard and you can also add 32gb sd card later if you need more space  .
also people complaining about battery life can go into the phone menu and turn off gps and auto    sync while you're not using it since you do not use them all the time so no point in leaving that on all the time , it will give you at least 30+ hours of battery usage  .
this phone is so fast  .
this phone can handle ps1 emulator easily since it has the best graphic processor among them all , i had evo 4g and that phone is also outstanding but the speed in no way comes close to this phone  .
buy this phone if you do not want to waste time waiting for applications to open .
in a very small span of time this phone has taken over my life  .
it's amazing  .
updated  .
on sep 23 , 2010  .
not much people are talking about this whole new way to type and i just want to add that it is fast and fun this is my first time using it and its just to easy and to fun again just get the phone there is nothing to not like took me about 2 minuet to type this up well not type even tho you can use it as just a normal key bored you wo not for due to the fun level and speed .
i upgraded from a motorola cliq and this blows it out of the water  .
the cliq is garbage , and the vibrant is 1000 times better  .
i haven't experienced any of the problems that some of the other reviewers experienced  .
it synced up to outlook easily  .
i have not experienced any bugs , nor have i dropped any calls , except from my wife's phone (she has a cliq) .
i is on the fence rather to switch to att for the i phone or saty with t    mobile  .
i'm glad i stayed  .
i have never owned a i phone but i'm sure this phone does everything the i phone would have plus i have a better plan with t    mobile  .
i'm use to using my i pod and the i phone would have been easy to learn but putting things on the vibrant is just as easy just plug and play  .
if you're on the fence stay with t    mobile do not think the grass is greener on the other side .
buy this phone  .
my co    workers who have the new i    phone 4 wo not give my phone back  .
this phone is the best android phone i have seen  .
i like the droid2 but it seems that motorola has blackballed t    mobile  .
where as the samsung galaxy s seems to be on every phone company  .
this phone is awesome , i recommend it to everyone who needs a phone that has mastered the art of the phone call , the internet , and voice mail  .
visual voice mail is the app that will define how voice mail is handled on a phone  .
please get this phone  .
i got the vibrant through t    mobile as my 22 month upgrade  .
after tax is came to about $264 , and i will be getting $50 back on a pre    paid visa card in 6    8 weeks  .
this phone is tremendous  .
it's the first smartphone i've had that makes me truly feel like it revolutionizes phones  .
the screen is unmatched , i mean absolutely unmatched  .
even the iphone 4 does not compare when comparing side by side  .
not to mention this phone has surround sound , which creates a big bang out of it's tiny little speaker  .
the sound and picture on this phone are amazing  .
avatatr , which is pre    loaded on the phone , looks a lot better on the phone than it does on blu    ray or in theaters  .
probably do to the smaller screen , not to take away fromt he super amoled screen from the speed , the quality of the screen sound , the camera , the video recorder , the apps , the battery life , the swype texting (which is absolutely wonderful , i've never texted so fast in my life) , the menu design , the web browser with multi    touch , the call quality , the threaded texting style , to the built in services and the sheer design of the phone every little feature on this phone amazes me  .
