it does the job , and that's about it .
great storage , fast device , cheap price  .
i like this drive  .
i switched from a 512mb usb drive from four years ago to this , and although there is not much of a difference , (it is just an usb drive , after all)there were some pleasant features the retractable port is nice , as there would be no more need for caps , and losing caps for that matter theres a keychain , apposed to the string and plastic connection that broke (accidentally) the month i got it furthermore , the size is smaller , making it much more portable the encryption software got stronger over the years as well the u3    .
i've heard and read lots of complaints about the software  .
i do not understand why i believe it is a good and useful software the only negative opinion i do have is that it is not practical overall , i believe it is a great flash drive .
this is the best little flash drive i've ever owned  .
i carry it around with me everyday  .
because i have it in my pocket i have accidentally washed it twice and it still works great  .
about the bundled software , you can actually go to the sandisk's website and download a removal tool that completely removes this software .
for me it is the best usb you can have  .
it is small so you can carry it in your pocket , the retractable usb connector makes it easier to carry and you do not have to worry about your lost cap  .
the u3 program is really cool it is like having a smaller version of windows in your usb , the programs include skype , cruzersync , hp photosmart , avast  .
antivirus and signup shield  .
well after so much good , it is maybe not as fast as other usb's but if you are not going to use it for downloading super high resolution videos or storing like twenty excel sheets it works pretty good and look at the price it is cheaper than the most usb's i bought it for $27  .
this is an awesome flash drive  .
i love the u3 capable software utility and how nice the drive is itself  .
great job  .
i've had this for a couple of weeks now and it's just great  .
i love the included software , u can download games and even apps like skype  .
it's extremely portable and the sliding mechanism looks really slick  .
so i'm in love w/ this flahdrive  .
this is a great drive for people always using different computers  .
i have had this 2 gb jump drive for about a week and love it  .
i like the retractable connector  .
the u3 software turned out to be powerful and secure with its password option  .
the price after rebate at circuit city is about $40 before tax the horror stories about slow write speeds that almost stopped me from buying this drive turned out to be fables , at least in my experience  .
although i have not clocked it , the write and read speeds are very satisfactory all in all , this is an inexpensive , practical jump drive with lots of room to store files .
nice , i bought this yesterday for about 39 dollars  .
i have the 1 gig version kewl little drive  .
got it for school  .
so far i like the retractable usb adapter , so there is no cap to lose  .
secondly i like the fact that it has an antivirus on this  .
kewl feature this is definitely an upgrade for me , as i had a 64mb lexar jumpdrive  .
i will definitely use this one for my documents and use the 64mb for my portable firefox well until is use it , thats the end of this review .
i just wanted a decent usb drive for a reasonable price so i got this drive  .
at first i is somewhat annoyed not because of the u3 partition but because of the agonizingly slow write speed (read speed is lightning quick)  .
i is about to return it but i is lazy and instead tried tweaking it a bit  .
i removed u3 with the uninstaller that sandisk has online and then formated it to fat (not fat32 since the limitations of fat dont affect this drive)  .
i tried ntfs but fat is much faster i clocked around 8    9mb/s with single file writing and around 3    5mb/s for folders with many small files  .
xp is very slow in writing many small files because by default it doesnt have a writing cache (which is good if you just want to pull out your usb drive instead of using safely remove hardware )  .
the read speed is still extremely fast , i didnt clock but i'm guessing around 15mb/s or faster  .
i'm pretty satisfied because i just moved a 900mb file from my desktop at work to my computer at home in less than 2 min i haven't tried other options but i've looked around  .
i bet the ones that say 15mb/s write speed are probably faster but i do not really want to spend that kind of money for something thats meant to be inexpensive  .
i mean i'd rather buy a disk drive than flash memory if i needed that kind of performance .
i've had this very flash drive for about three years now , and it still works just as well as the day i got it  .
very simple to use , works on every computer i've tried it on , and the sliding feature is very good for when you are bored in class  .
bottom    line , if you're looking for a good flash drive at a nice price , this is the product for you .
i have had flash drives break within the first month , but this is when they first came out  .
this happens to be the best .
i is looking for a flash drive for windows ready boost  .
i found the sandisk cruzer micro to be the cheapest (i found it for 20  .
) , and to work great with ready boost  .
it comes preloaded with tons of security , photo , and game apps  .
plus it has 2 gb of memory  .
but , it does have pretty slow file transfer with pictures and media  .
so , if you want a all    in    one flash drive for a cheap price , the sandisk cruzer micro is for you  .
this is a very competent , capable , little flash drive that delivers good performance at a very attractive price in a small , convenient case  .
its reasonably fast , especially for the price point ($35 with rebate) , but you must know how to set this device for speed youll pay a very high performance price for the u3 features , the ability to remove the drive without using windows safely remove hardware feature , and the ability to use this drive in any system dating back to win 98  .
most of us dont want or need any of these to set your sandisk cruzer micro for performance , do the following (these are for win xp pro sp2       other os configurations should be similar)    .
(1) back up all data on your cruzer flash drive before doing anything else (2) delete the u3 software and partition  .
all new cruzer u3 drives include an uninstall utility  .
use the u3 launchpad to select settings , then u3 launchpad settings then uninstall  .
best results can be obtained from a total reformat  .
you can find more instructions , software upgrades and removal tools on sandisks web site (3) set the cruzer for performance  .
in windows explorer , right click on the cruzers icon , and select properties from the pop    up menu  .
click on the hardware tab , select the sandisk cruzer drive from the list then click the properties button in the lower right corner of the dialog  .
in the new dialog , click on the policies tab , then click on the radio button optimize for performance  .
click on ok (twice) to return to windows explorer  .
note that you will no longer be able to yank the flash drive out of the usb port without first using the windows safety remove hardware feature (4) reformat the drive  .
in windows explorer , right click on the cruzers icon , and select format  .
in the dialog box select the file system as fat 32  .
this will work very well with large and very large files  .
you may want to use ntfs , but only if youre routinely copying lots (thousands) of very small files benchmark averages    .
for a single 611 mb disk image (iso) file       laptop   read 14  .
1 mb/sec write 7  .
4 mb/sec  .
tower   read 16  .
9 mb/sec write 7  .
2 mb/sec  .
for a folder of jpegs 344 files at 834 mb    .
laptop   read 12  .
6 mb/sec write 2  .
8 mb/sec  .
tower   read 12  .
3 mb/sec write 2  .
9 mb/sec  .
test platform data (both on win xp pro sp2)    .
laptop   dell latitude d820 , core 2 duo 5600 , 1 gb ram , 120 gb 5400rpm sata hd  .
tower   dell 8300 , 3 ghz p4 , 1 gb ram , 120gb 7200rpm sata hd  .
bottom line   definitely worth the $35 i paid .
i is intially thrown by the u3 software , but i can appreciate it now  .
i got it on sale for $24  .
99 @ walmart  .
i'm upgrading from a lexar jumpdrive sport that died after a few years of faithful use (fried by work computer spike)  .
i like the password protection , but the rest of the u3 seems too much  .
i'm not to concerned about lightning fast tranfers  .
compared to my old flash it blazes  .
the plastic case feels cheap compared to some other drives i've held had  .
i cannot complain since it is on sale  .
i paid double that for 128mb when i bought the sport .
the sandisk cruzer micro is an excellent usb flash drive for use at school or on campus  .
the size of the flash drive doesn't get in the way with the other keys , and fits snugly in the pocket  .
the usb connector is also retractable , removing the need for caps (or losing them) while also protecting the connector from wear since its enclosed in the case the flash drive also features u3 (no clue what it stands for ) , a fancy system that allows you to install applications on the flash drive  .
tech junkies will like the ability to carry programs like firefox , filezilla , and trillian in the flash drive for use on any other xp systems they come across (including public computers)  .
