i love these features in this camera  .
i love this camera  .
as time ticks by with this camera in my pocket , i'm learning what it can do  .
it really takes some nice pictures right out of the box  .
with a little practice it takes phenomenal pictures under all sorts of situations  .
thanks , sony  .
auto modes are amazing for those of us without a ton of photgraphic talent  .
color accuracy is awesome    love the pictures it takes of my extremely fair daughter  .
a significant testament to this camera's attributes is that the camera is now $30 more at the camera store at which i bought the hx5  .
normally prices go straight down .
highlights    .
sony  .
s smallest and thinnest avchd capable digital camera (1080i)  .
10x (25mm equivalent) professional    quality optical zoom g    lens (same lens as professional dslr)  .
2 megapixel back    illuminated  .
exmor r  .
cmos image sensor combined with bionz image processor  .
iso   auto/125/200/400/800/1600/3200 , panorama , anti    motion movies    hd (1920 x 1080 pixels) ,  .
high speed shooting  .
10 frames per second at 10 megapixel full resolution  .
3    inch (230k pixels) clear photo lcd display with a special anti    reflective coating  .
backlight correction hdr and gps + compass and optical steady shot with active mode technologies  .
comparison prior to purchase    .
i reviewed over 50 web sites , spoke to camera stores and had the specifications reviewed by photographic professionals  .
the web sites i reviewed gave mixed reviews but in general this camera came out one of the best point and shoot cameras  .
in fact many of the complaints i read were by people comparing the camera with high end slr  .
s or dslr  .
s clearly not an unbiased or practical test , in my opinion a device should be compared with products in the same class to be fair  .
i spoke to most of the major and many other camera stores that carried various brands that were familiar with this camera all of them stated they did not have a point and shoot better than this camera  .
some stated the camera is as good as some slr  .
s and some pointed out the lens and the cmos image sensor is the same as that found on high end dslr  .
s test results    .
indoor camera mode   camera tested in the auto mode , photographed people and pets  .
tested under natural light , incandescent and fluorescent lights all shots were clear and sharp  .
camera tested in a darkened room in auto mode flash worked picture quality is excellent  .
extreme test    camera tested in an almost completely dark room with light seeping through a window blind , picture blurry    camera had trouble adjusting due to streaks of light coming through blind outdoor camera mode  .
camera tested in auto mode  .
, photographed people and pets pictures were clear and sharp  .
the camera compensated for my movements , people moving and animal movement even when using zoom at its maximum without a tripod  .
photographed a man made waterfall you could actually see the water streaming down the rock  .
photographed several high trees all came out straight , even a palm tree (my results contradict the finding of another users results) movie mode   (inside and outside)  .
photographed people and animals playing inside and outside , a man made waterfall , a television program  .
camera adjusted to my movements and gave clear and crisp movies  .
sounds were accurate and clear viewing    .
the camera has a 3  .
lcd display  .
