if what you want is an easy to use , shoot and play camcorder for b    days and holidays , in a format that won't be obsolete in 3 weeks , this is your camera  .
i couldn't care less about editing or transfering to my computer  .
i record special events and occasions (as they happen) , finalize and store the dvd for future viewing on any one of my standard dvd players , without any conversion , adapter , or convoluted through camera wiring to the tv  .
based on that intended use ; you cannot beat this camera for twice the price  .
the standard sony mini dvd records up to 60 min in lp mode with a negligible reduction in quality , in fact i use the sp 30 min setting exclusively , which is plenty long for one sitting  .
do not get conned into spending more for a bunch of unnecessary features , we're the 7 out 10 that this camera is made for  .
i love this camcorder  .
after returning a jvc mini dv , i opted for this one for ease of use  .
i always use the video mode , not the vr mode , which is probably why i have not had a problem with playback  .
yes you can go through the whole dvd decrypting and file conversion crap if you want to , but i just insert my dvd    rw (my favorite type) and use the capture video feature on roxio's video wave (which comes with 7  .
with this you can edit your dvd anyway you want before you reburn it this is when i like to just burn it to plain old dvd    r's it's a lot cheaper , and than i can keep reusing my rw's  .
the touch screen is the coolest thing ever  .
this makes it easy for us that haven't had a camcorder since the vhs    c  .
i am extremely satisfied with my purchase  .
i just wish that it came with a light most cameras don't come with one , and i am happy i can purchase one later on  .
i also like the fact that if you do ever want to take stills that they are saved directly to your dvd no stupid memory card  .
i have a really nice digital camera , so i don't ever plan on using the still function  .
customer service for sony kind of sucks , though  .
when i called to ask a quick question it seems as if i knew more about the camcorder than they why are not i getting paid for educating them  .
i would definately recommend this camera  .
it's not worth a few hundred extra bucks to have a sony that can directly hook up to the computer , especially if you have a good software like roxio .
i read the other reviews and on other sites as well , but went ahead and gave it a try , knowing i could return the camera  .
but i think it's a great camera for what i want (shoot and watch  .
i can record my son's football game (plays) , pop out the disk and watch at home on dvd , then put the disk back in the camera and record more plays next week (asuming there's space left or i have used a dvd    rw) it's light and small , almost too small sometimes for my hands  .
i wanted an enrty level camera with good picture quality  .
this is it    the carl zeiss lens really shines  .
i haven't tried other cameras , so i have nothing to compare to , but , i wo not be returning this one because it's just what the doctor ordered .
yes , the other reviewer out here feels there is no turning back once you record  .
no , there is not a firewire to dump directly to the pc  .
but face it , most of us use the camera and just want to watch what we tape  .
this is perfect  .
no converting to other media , no adapters  .
just finalize and put it into your dvd player at home  .
if you feel you need to edit , just read the dvd into your pc  .
we also bought the long life battery and it lasted through 6 hours of recording on a 7 day cruise with 100+ minutes left using the lcd screen all the time  .
nice  .
the touchscreen hybrid lcd makes setting changes on the fly very easy  .
another great sony product  .
even with the cons mentioned above ; still think it's the best product in the class  .
so went out and got it from circuit city  .
this is a great camera  .
it records the way i want it to , i feel cool because i can touch the lcd screen and it responds , and the 20x zoom lets me see pretty much anything  .
the sound quality it picks up is also amazing  .
my only worries are the fact that the lcd is pretty much the only way to operate the menus  .
forget about relying on any buttons  .
also , i had to get another higher capacity battery , which sticks way out of the back of the camera and keep me from looking in the viewfinder    which is actually broken anyways  .
nonetheless , i just pop the dvd into my computer , rip it , then i can choose which tracks to keep and which to throw away , and i can thereafter make my own personalized dvd from those clips  .
it really is the same process as a hard disk camcorder , except that you have to rip the data off of a dvd  .
i use no  .
1 dvd ripper to do the job .
for someone who has never owned a digital dvd camcorder , it is a great beginning  .
all i had to do is purchase some 3 dvd rw's and i is good to go right out of the box  .
recording , still shots , night time illumination and zoom are all at the finger tips user friendly menu allows for easy setup from disk formatting to finalization the combination of viewer and touch screen controls makes for an intuitive video experience  .
the off / on / mode switch is a bit cumbersome the price tag for this camcorder is a bit hefty , and the fact that you cannot plug it into your computer sways me to recommend another brand or a higher end model other than that , i'm very happy with this camcorder and it's performance  .
after wanting to upgrade to digital video , i is somewhat perplexed over the pros cons of dvd vs  .
digital tape  .
my better half is the swing vote and said she did not want the hassle of hooking cables and cameras up to the tv to view video  .
sooo , dvd it is and this entry level camera fits our video needs of easy video capture , easy play back on a dvd player , and capability of video editing on a pc the dvd 92 is very easy to operate and i love the touch screen commands  .
the touchscreen allows for easy and quick review of different shots and the commands are very intuitive and easy to figure out  .
also , this camera supports all the dvd formats , including the dvd+rw which allows play back on a dvd without going through the finalizing process  .
one drawback with the dvd format is that you have limited ability to edit or delete from the camera  .
however , i had absolutely no problem importing video from this camera (via dvd) into vegas movie editor for video editing .
i bought this camcorder to replace a 10    year old hi    8 camcorder  .
i loved the small format and the fact that it produced dvds instead of the old tapes  .
the picture quality is good and the zoom lense works great  .
i also liked the night vision option  .
i is able to take the dvd out of the camera and play it directly on my gateway computer but it would not play on a friend's computer  .
it is also easy to take the video from the dvd and edit it in pinnacle studio  .
problems   mini    disk format will not play in my lg lda    511 dvd player , dvd only has 20 minute capacity at high resolution , battery has a short life (45    60 minutes but runs out quickly since you are using it in standby mode) , camera is slow to start recording if you had turned it off to save battery life , dvd may fail to finalize therefore you have lost everything that is recorded  .
i found out about the failure to finalize while on a trip to cape canaveral  .
we had spent the day sight seeing and i had recorded about 18 minutes of selected video  .
i placed the camcorder in standby accidently , (i thought it is off) and put it in the carry case  .
when i looked at it again it said that it had been jarred and the disk would not finalize  .
i have also noticed that when you set the disk to finalize , the camcorder may decide to go to sleep part way through to save battery life  .
this will also cause the disk to fail .
this past summer i went to china and took my sony dvd    92 , i took hours and hours of video and i is planning on putting the footage into a movie presentation , well the recorded video is stuck on the dvd and i can not use it at all  .
i also took many pictures with this and i would have to say my cell phone's camera takes better pictures  .
it is easy to use with a nice touch screen and night vision' but i do not reccomend this product  .
i had been dragging my heels for some time but finally decided to just bite the bullet and buy a digital camcorder  .
(i had been borrowing dv camcorders from family and friends , but now that my family is expanding , i figured , it's time  .
i wanted something small and really liked the idea of taping onto a dvd  .
sony sounded like a great idea because i can rely on the name  .
the only thing that is holding me back in the store with the fact that you can only record 30 min of video  .
but we bought it anyway i is assured by the salesman we could download anything we recorded onto the computer  .
wrong  .
i is very disappointed to find out we couldn't it's even in the handbook  .
after a day or so of trying to find a way and failing , i decided to take it back to the store  .
(good thing i didn't ruin any of the packaging or else that would have cost me a $90 repackaging fee  .
i think i is educating the salesman when i told him that the camera is not made to work with a computer  .
hmmm the next day we went to another store and looked around again  .
we ended up with the jvc hard drive recorder 20gb of space (and that's the smallest amount available) for only $100 more  .
it is so easy to transfer files    from one drive to another , so you don't have to capture it onto your software like you would with a tape recorder  .
i am very happy with the switch  .
i can tape 8 hours of video on dvd quality and the camera came with good editing software too , (for an amateur who wants to use it often for family and work) if you want a camcorder that is easy to use and can play 30 min of dvd right from your camera    go for the dvd92  .
that's why i wouldn't give it less than a 5  .
but do not get it if you plan on editing and making movies on your computer .
we bought this model after my wife said the dvd camcorders had a lot more options for connecting to a pc and editing    wrong this model has no usb connectivity and no software to manipulate any video  .
all you can do is put the dvd in a player and go the few minutes of video we shot did seem to be good quality we did shoot a child's play and after about 10 minutes the disk would not read or write    trashed , no recovery at all  .
