i had been searching for an hd camcorder for a while , and looked at a lot of different camcorders before i found the hdr    sr11 after reading several reviews i knew this is the camera i wanted , i ended up buying the hdr    sr12 , however the only difference here is the size of the hd when i bought the camera i is ready to shoot as many videos as possible , the first couple of days i used shooting everything from the outside world to ultra close ups of salad heads  .
i must say i is very impressed with the quality that the videos were shot in , and this is before i realized that i was not even shooting in the highest quality range i would recommend this camera to everyone who can afford the rather expensive price , whether you want to use the camera for shooting the first steps of your new baby , or you want to shoot the amazing nature you live in , the hdr    sr11 has something for everyone and i have seen a lot of people complain about the missing mini hdmi cable , honestly if you can afford the camera , then you can also afford the extra cash for the cable , besides the camera comes packed with all other cables .
i purchased the camera about 10 months ago and it is simply a good product  .
the recording settings can be changed to make the picture as nice as you need  .
the higher the quality , the more hard drive space you will use up  .
i would make sure that you have a ton of space on your computer to transfer all of these files  .
i actually had to buy a computer with 640gb of drive space and i am adding another 1 tb hard drive to hold all the hd videos and pictures  .
i use pinnacle studio 12 to edit and create movies and have had no problems to date  .
the touch screen is easy to use and can be seen in the sunniest of places  .
other than a bit of finger print cleaning , it is pretty straight forward .
perfect  .
this camera is really beefed up  .
lots of functions to grow into  .
out the box it is ready to capture your moments in pristine clarity  .
i caught a 5 day disney vacation and did not even put a dent in the 60gb  .
this is definately a safe purchase that you'll enjoy for years and years  .
as i own an fx1 for professional purpose , i is very happy when this small hd camcorder had been released on the market  .
the quality of the immage in normal light conditions is better than fx1 , but this ends when you'll shot in low light the sound is really impresive when you are listening using a home cinema 5  .
1 ch  .
system over all i believe that this camcorder is all you may need for a holiday or for a private event  .
be sure that you turned on some lights , before starting to shot indoor videos , or attach a cam light .
i like this product it's a good product , till now it does not has a problem with the hardware and functionility  .
the support also a lot in singapore .
the video is as good as expected  .
the colors were brilliant , even at low lighting the colors are accurate  .
motion is smooth , even fast action is depicted without blurring or pixelating  .
the autofocus inspires faith and the face detection is exceptionally functional  .
the audio is astoundingly realistic and the 5  .
1 surround is superb  .
videos taken outside will have you looking around your livingroom for the barking dogs and squealing kids    kudos to sony  .
the photos are a little harsh but easily remedied with adjustments to the saturation and sharpness  .
with the excellent lens , the photos are on par with a low    level ccd camera the software is a piece of cake and very workable  .
it is so anemic but that makes it very simple to use  .
it transfers and allows you to burn dvd at hd or sd but hd dvds can only be viewed at 480x640 so it's a waste of space  .
i is leery about the avchd format from reading some of the difficulties others had , but it's not that big of a deal  .
my computer i built for under $400 last year (3  .
1ghz amd x2 dual core with 2gb ram) handles them without breaking a sweat  .
it took a little over an hour to burn a 46min sd dvd from files recorded at the highest resolution  .
however , until i purchase a blu    ray burner , the most satisfaction comes from playing straight from the camera via mini    hdmi    awesome  .
the camera is so easy to use i is filming right out of the box  .
the few changes i wanted to make were self explanatory using the on    screen menu  .
once i set the settings i wanted , i hardly touch them now  .
for most family videos , this camera is almost too good to be true and it's fun even for those of us who can ; t leave well enough alone  ) it is between this camera and the canon hg20  .
i haven't used the canon , but i do not really care anymor  .
this sony make it a moot point , i'm thrilled with it .
i own the sony hdr    sr 11 from the end of august 08  .
so i is very surprised when i after 8 years in 2000 overpassed from 3 vhs    c camcorders to mini    dv , now i�m very satisfied with the great and clear , full really coloured image quality in full hd  .
i use sony too videolight , external microphone for interviews etc  .
and widelens  .
i can recommend to edit video from this great camcorder in pinnacle studio 12 ultimate , incl  .
last update patch  .
for preview of videos from hdr    sr 11 and editing i use 24 full hd lcd with hdmi input , pc with n    vidia ge force 8600 gts with 512 ram (incl  .
