i deliberated for a year and read everything available  .
i is going to buy the samsung lns3251d but my son (who works in the business)advised me to buy the vizio  .
i thought i would be settling for the yugo car of flat panels  .
this thing is super  .
it delivers excellent colors that are vivid  .
like others , i bought it at costco for $ 699  .
i'm convinced that reviewers like cnet have the best intentions when they write the bad   subpar black    level performance ; inconsistent grayscale tracking  .
man , i'm sure not seeing it  .
i have the vizio connected to a cox set top box via rgb cables  .
watching the discovery channel is like going to the imax  .
sold my sony 27 wega tube tv on craigslist for $140 and bought this  .
one year warranty from vizio plus costco friendly return policy makes this a great first step to move into the world of high def without mortgaging the house .
i purchased this tvand i am very impressed with its clarity and ease of use  .
i is looking for an lcd hdtv for my bedroom and after shopping for a week at best    buy , wal    mart , and costco  .
i found that this lcd to be the best bang for the buck  .
the hd movies that are out have amazing sound and picture quality  .
i did hook up a monster powercenter and monster hdmi thx 1000 , so it is as clear of a picture that the tv can produce  .
look into monster products , you will be amazed at the difference it makes for a couple hundred bucks (since you are investing some $)on th sound and picture quality  .
anywho , this lcd rocks  .
i have been looking for a good hdtv for a long time now  .
i knew i wanted lcd , since i move around alot , and crt's and dlp's seemed just too big  .
plasmas on the other hand i knew were a bit succeptable to burn in , and their brightness did not even seem close to some of the lcd's i is looking at  .
i walked into costco and i saw this one , it looked pretty darn good  .
then i looked at the price , $869  .
i think that's it  .
well it's probably one of those no    name korean comapies just opening up on the market  .
then i look and see on the box the company's from california i go back home , do some research , come back a few weeks later look at it again , and think well , heck , this tv is not half bad  .
it has all the specs of a $1400 tv , but it's only $870  .
so i try and compare it with the tv's beside it  .
some philips or something and a sony  .
i looked back and fourth back and fourth and to tell you the truth i couldn't really tell the difference  .
the sony looked a bit better , but in my mind it is nowhere near worth spending three times the price of this tv on a difference so small so i bring it up and to the counter to find out it's on sale now for $799  .
i thought hmmm maybe this tv is not that good , i mean i only spent 800 without taxes  .
usually when it's too good to be true it usually is  .
i bring it home and the first thing i notice is there is no analog input for the vga , so that kinda sucks  .
but i have a optical out anyhow and if i want i have the other set of component cables  .
i turn on the tv and went to the menu  .
i is impressed to see a adjustable backlight , something only expensive lcd's have  .
after tinkering around with the settings  .
i look at the picture and is blown away  .
it is so bright , so vibrant  .
i still couldn't believe this is only 800 bucks  .
well i figured that if it is so bright , the blacks are going to suck  .
so i turn off the lights and boot up a movie  .
i pause it in the begining where the screen is all black  .
i looked at it for a while and to tell you the truth , i have no idea what the reviews were talking about , since the blacks on this tv where pretty darn black  .
they weren't dark grey , they did not have any tinge to them , they were dark black i then boot up a xbox 360 game to see how well it looks  .
well it worked prefectly  .
no blurring whatsoever , no ghosting  .
everything is perfectly crisp and clear  .
looked stunning in vga on the 1280 x 720 setting i tried looking but i cannot find many faults with this tv  .
i mean even if it does break down , i got it at costco , so i can return it anytime i want , no questions asked i think people with $2600 tv's are just quick to condone less expensive tv's as a way to justify thier purchase of such an expensive television all in all i is very impressed with this tv  .
the number of features , the hieght of quality and the value all justify a 10 out of 10 in my books .
i'd rate it 8  .
5 , but that is not an option  .
i am very pleased with this purchase  .
i bought it for a br tv  .
i connected my directv hdmi cable and turned it on  .
it took me longer to program my directv remote that it did to unbox it and set it up i would recommend it to anyone looking for a bargain  .
you can get a better picture , but you have to pay a lot more to get it excellent hd picture and sound  .
non    hd is very good as well jimc  .
excelent first time purchase of an lcd tv  .
buy it  .
i did some research for about six months before buying this model  .
i move a lot and found out that some movers will not insure plasmas  .
that is a selling point for me to look at lcds  .
my vizio is great and the picture needed just a little adjusting after hooking it up to my computer  .
the instructions are easy to read and the controls are easy to use too any other tv in it's class will cost you about $200 more and the quality will be about the same  .
from what i've read , there are only a few companies that make components for the hdtvs and the only real difference is the brand name it's been three months now since i bought mine at costco and it's going strong  .
you need to have a digital feed to get the quality viewing the tv is made for  .
if you do not , you might as well use a crt  .
speaking of crt , my 32 crt weighs a lot and that's a big deal to me when one lives in a two story home  .
i love my vizio  .
i am really happy with this purchase  .
i paid $400 less than comparable tvs  .
vizio has a good picture  .
i recommend this tv if you are not looking for the state of the art performance  .
the price is right  .
extremly good lcd , especially for the money  .
it cost less than half the price of a major brand of the same size , but it definetely does not look like it cost half as much  .
what you get for what you pay , i beleive the vizio brand is the absolute best deal in hdtv right now low price , high quality  .
i needed a new tv for my bedroom , as my 20    year    old 26    inch rca is making weird buzzing noises  .
just happened to be the weekend of the super bowl , and my girlfriend doesn't have hdtv  .
to kill 2 birds with a single stone , i went down to costco on the strength of these user reviews , anf loved the picture on the demo set  .
seriously , the picture on this 32    inch set is way sharper than the picture on the set next to it , and that is a 27    inch lcd  .
that's not supposed to happen , as smaller sets always have sharper pictures  .
i is sold ; it is friday night , so i put the box in my truck and drove over to my girlfriend's house  .
it took about 5 minutes to unpack it , set it on a wooden box in her living room , attach the ota antenna , and turn it on  .
the on    screen menu asked me the language , and then offered to scan for ota channels  .
it picked up 12 analog and 18 digital here in sacramento , and the digital channels came in crystal clear  .
my gf is amazed , she thought i would have to disconnect her directtv box in order to get reception on the new set  .
not necessary , we watched the super bowl on sunday in absolutely perfect hd now , about the surround sound  .
to say i is surprised is an understatement  .
i is actually blown away  .
i have a complete home theater at my house , but this little tv with funky speakers that form a dimple in the middle is as good as my home system  .
i watched the fbr open golf tournament on nbc and couldn't get over how good it sounded  .
the commentary came directly from the center , but the crowd noise and natural sounds seemed to come from all around me  .
there is a bird chirping in scottsdale but i thought it is in the room , off to the right  .
when i pressed mute , the bird is silenced  .
wow , is that great sound , or what  .
when the sb started , it is more of the same   jim nantz and phil simms from the center , and the cheering crowd from all around me  .
i do not know how they do it , but it is pretty damn good sound for a $699 tv when i brought the tv home after the game and set it up in my bedroom , i placed it on the floor until i could get someone to help me lift the old tv off the stand  .
from a standing up position looking down , the picture is pretty washed out , so the angle viewing is not the best on this set  .
i would think that if you have a large room where you might be in the next room watching the set , you should probably buy a plasma for the best angle viewing  .
but for a bedroom where you'll pretty much be watching from a straight    on angle , this tv is excellent .
as the owner of a dell 3201 , a toshiba 50 projection and now the vizio l32 , i think i'm qualified to say this is a great set       at least in the bedroom where it's replacing an old 27 tv i found it easy to set up , including the remote control  .
unfortunately , it wo not control my astar dvd    3100 player , but that's a minor concern  .
i should upgrade that any way the picture is clear , and the hd mode is about 90% of the detail of my dell 3201  .
for a $600    $700 difference , that's no big deal some quirkiness in the way the tv receives my coax    input cable shows       they seem to be coming in mono , and even after i manually reset them to stereo , they go back to mono the dvd picture is crisp using component outputs all in all , this is a very good       some might say excellent       bedroom set  .
i'm thinking about buying another .
if you are looking for a high    value lcd tv set for a low price this is your set the picture out of the box is great    vivid 3 seems to work best for us  .
with no fiddling or calibration you get a great hd picture  .
it's not up to par with the best plasmas or the higher    end lcd's but if you want to spend an additional thousand or more dollars for a marginally better picture and more screen area , that's up to you installation is a breeze thanks to the concise and instructive manual  .
be sure to read up on the cnet accessories guide though and make sure you get your component or hdmi cables so you save yourself another trip there are tons of outputs    hdmi , component , s    video , optical    you name it , it's there  .
plenty of room for all your toys and gadgets the only complaint is that on certain non    hd cable channels we experience some color    run with faces depending on the lighting    red teeth , etc bottom line   if you're a normal joe who wants a good hd picture for his hard    earned money , this is the set for you  .
hardcore videophiles with unlimited budgets should look elsewhere .
i went to costco to buy a $1  .
50 chicken    bake , walked out with this $799  .
99 puppy instead  .
worth every penny so far  .
the only real problem i have with the set is that the color balancing is kinda off but it is not too much of an inconvenience  .
