this is my 4th vizio product 22 , 32 , 37 , and now a 55 i bought vizo for my kids rooms/ college and the basement for my tv room with a big l shape couch samsung 52 b750  .
just like cnet told me to do  .
enjoy this big 55 inch with a play station 3  .
i have had this tv for almost 3 months  .
i have been trying to find a better value and have had a very tough time  .
after using the cnet recommended adjustments , but increasing the backlighting to 50/55 makes the picture that much better  .
standard is pretty good for sports as well  .
the matted screen is a must near my bay window and white walls  .
it makes the picture viewable during the daytime , which i had problems with with my old tube tv i have compared this tv vs  .
the samsung 55b6000 and lg 55lh90  .
the samsung picture did not seem as realistic , and the glossy screen is an issue , as well as off    angle viewing  .
the lg's picture is virtually identical to the vizio's , but the form    factor is much more bulky and bulbus vs  .
the vizio's the sound is good for a tv  .
obviously , a sound system will sound better , but for a stand    alone unit , it is actually pretty good occasional color    bleeding , but it is rare  .
smooth motion does occasionally look video    camera like , and sometimes it is neccessary with action movies , such as the matrix reloaded i like that the menus do not take over the entire screen like most tvs  .
it is relatively easy to navigate .
for your money , if you're looking for a 55 set , you'll be hard pressed to find a set of this quality i own a sony 32 hdtv and a samsung 40 hdtv as well i paid for the names  .
the vizio is far and away a much better picture vizio offer much , much more in the way of options for adjustment to picture and sound i say go now , buy a vizio  .
they prove their claim to be 'america's #1 tv'  .
i purchased this tv about one month ago and haven't looked at any others  .
after setting everything up i changed the picture settings to those used by cnet's reviewers and i'm very happy  .
i would recommend though to turn up the backlight setting to around 45    50 because cnet's recommendation is a bit dim for my viewing preferences  .
in reference to the vga port , there does not appear to be a local or smart dimming option for this port  .
my xbox360 uses the vga port for 1080p display and its a shame i cannot take advantage of the local dimming  .
other than that , i love this tv and would recommend it to anyone .
for the price , this seems to be the best 55 on the market  .
i've found the blacks to be amazing , the colors very vibrant , the sound is surprisingly good  .
i'm very impressed with the 4 hdmi ports plus all the others  .
very , very flexible we got it from costco for $1899 , which seems to be a very good price for this model  .
i waited about two weeks for the north austin , texas costco to get them in stock  .
i called saturday morning and they finally got eight of them  .
i wound up not getting to the store until about 5 and i got the last one on the shelf  .
these things seem to be selling like hotcakes  .
the only odd thing is that when we were setting the tv up , my dad popped the batteries into the remote and set it aside  .
about 15    20 minutes later when i is ready to use the remote to set the tv up , i grabbed the remote and it is very hot to the touch  .
the front of the remote had melted and it didn't work  .
i popped the batteries out but they were so hot i dropped them  .
my dad worked in the cable and satellite tv industry for about 35 years , and he is positive that he put the batteries in the right way  .
even if he did not    no modern battery    powered electronic device should be susceptible to damage from reversed batteries , especially to the point where the device melts  .
the good news is that vizio tech support gave me zero problems and are shipping me a new one  .
they also talked me through configuration without the remote  .
i am very happy with the resolution of this problem bottom line is that i am very happy with this tv so far  .
ignoring the low    cost attribute , it's a stellar tv  .
add in the fact that it's about half the price of some competitive tvs , and it's a no    brainer  .
this tv rocks  .
i don't find the physical appearance of the set to be an issue  .
the icons that light up on the lower left side are a distraction at first , but since they light up when the set is on , if it is sitting in the on position with no video source , it actually helps me tell that it is indeed on  .
so that's useful  .
i waited over 5 months for this set to be available and i've not been disappointed  .
i decided not to wait for the next version with widgits  .
no problem , turns out that we can plug my son's macbook pro into the set and show all kinds of internet content , and it looks great  .
i'm not going to put down competing products , other than to say that i really do not know why someone would want to pay $7    800 more , for similar or even less technology .
i bought a panny 54 inch plasma from costco that i was not very happy with , so i took it back and bought this vf551xvt instead  .
the tv is breathtaking  .
the picture is one of the very best i've ever seen , it looked better than the 1080p sony that it is displayed next to  .
with the panny , the picture looked decent when connected to directtv hd receiver , but it didn't have that 3d look when watching my bluray player  .
i is really dissappointed , even though i've always liked panasonic plasmas  .
i won't be returning this vizio , that's for sure  .
