compared to the other 5 on the market this is the 2nd cheapest in terms of monies but it pack's one heck of a punch  .
great sound and picture  .
great valentines day gift for your movie buff  .
this is one of the best things i have bought in i do not know how long  .
i wanted to archive my dvd collection on hard drive so i began with that  .
then i started looking for ways to play them on my tv and i ran into this device  .
i is surprised at how good this unit is for the low price that it is sold for  .
i have two wd my book 1 tb hard drives connected to it and i have my collection converted to  .
mkv files  .
they play great  .
there are other functions i would like , but for the price this unit is more than you could really ask for  .
you got me at file support  .
hdmi and optical  .
sweet  .
for the price of $110 this is a great product .
cant go wrong with this  .
i is getting tired of burning cds and dvds to play avi files in my divx    enabled dvd player  .
this is the perfect solution for me    stick the files on my 4gb thumb drive , plug it in and watch away the small size is perfect for my set up too    fits in the little space i have in my rack i only wish it had a front usb port    i have to trail a usb extension cable out the back of the device to attach my thumb drive too an sd slot would have been nice too , but not a big deal , since sd    usb converters can be had for $1 .
this is simply a fantastic device which i have been waiting for some time  .
i own several external drives and it works with each , whether simple flash or an encased aged seagate  .
currently i combined the wdtv with a wdpassport 500gig , it works without hiccups , fast and specially without additional plugs to the wall i have a very large library of ditigal media that with the wdtv , 1) saves me money    no need to buy and rip dvds , cds etc and 2) saves a vast amount of space  .
also , i have an older hdtv without hdmi , all i needed to do is hook it up with a hdmi to dvi cable and rca plugs for the sound  .
to me its similar to an ipod video without all of the proprietary software  .
you will need to update the driver to play all types of files but this too is simple  .
enjoy  .
i use this with a 500gb wd passport that i have ripped about 50 dvds on so far  .
hook up the hdmi and your in business  .
this device does exactly what i hoped it would  .
it makes music and movie playback via your home entertainment system , a breeze  .
it is simple to setup and can be used for sd tvs as well as hd tvs  .
most media extenders do not support the older tvs  .
the remote is simple and small and has a lot of power as it relates to it's range and angle .
if you download movies especially h  .
264 or mkv formats this little box plays them with no conversion and avoids the need to burn them to a dvd or blu    ray disk  .
you load the file on an external hard drive plug the external hard drive into the wd tv which hooks to your tv or home theater through an hdmi cable , or composite cables if you must , and you are good to go  .
the setup is as simple as it comes while it does show photos and play music to be honest i did not buy it for that purpose and have not tried those features i have the wd tv hooked to my home theater system which has a projector with 1080i output and a 100 inch screen  .
the quality of the video and audio output is excellent , essentially the highest quality you can get on 1080i , virtually blu    ray quality  .
the wd tv is also easily upgradeable with downloads from western digitals website the wd tv is relatively cheap for what it does  .
bottom line this is a great little box .
have had mine for over a year now and think it's a great addition to my entertainment center  .
two friends of mine went and bought one as soon as they saw how convenient this media player is .
