some people say the boot time is slow  .
this entirely depends on the number and type of applications you have starting at boot    up  .
turn your messengers and spoyware programs on manually , once you have entered windows  .
(i also suggest the use of a file eraser to keep your pc fast)  .
my boot    up time is about 60 seconds for stability and speed , this os blows away both windows 98 and xp  .
it is particularly good if you refuse to give up your piii  .
do i want to go out and spend a grand on a new tower that is capable of handling windows 7  .
heck , no  .
don't believe the hype  .
with windows 2000 , you get what you need , without all the junk you don't it will not accept ie7 , but with firefox , who needs ie7  .
(ie6 is still my main browser)  .
with a broadband internet connection , a file eraser and registry tool , as well as frequent defragmentation , my windows 2000 system is much faster than a lot of my friends' xp and vista systems  .
admittedly , this has a lot to do with configuration , but i guess my ultimate point , here , is that for the casual surfer and word processer , there is a lot being offered , these days , that you just do not need  .
i run it on a 600mhz processor with 640 ram and a 15g harddrive and i could not be happier  .
i read the horror stories about other , newer systems and just cruise on by .
microsoft should consider how much their users prefer this system when creating windows 7 .
for me it now windows 2000 professional now plays a utilitarian roll on my home net work  .
(internet connection sharing , file storage/retrival computers ect  .
) it is by me trusted due to it's stability and speed and ease of use  .
i could not say enough  .
of all the microsoft bashing people must have ignored windows nt completely  .
more stable than windows xp will ever be , i have found windows 2000 pro to be a truly dedicated os that will run contemporary software , most games (despite it's business    class) and will allow you to compute with confidence with it's intuitive win9x interface , it looks ready to go without being daunting , yet it is not win9x by a long stretch  .
based entirely on 32 bit windows nt , microsoft squeezed every little hint of dos out of this os , and it is such as good os , that they based the windows xp operating system on it the uptime is easily server    like and reboot is only necessary when you configure a new device , make a big registry change or hack the hack in msconfig  .
what i said in my summary  .
ignore the folklore about ms instability  .
the only thing i would recommend before connecting to the internet is to turn off the windows messenger service , either in the services applet or via this website   http  //www  .
grc  .
com/stm/shootthemessenger  .
htm  .
other than that , windows 2000 sets the ultimate goal in stability , security , usability , and proven dedication  .
well done , ms  .
microsoft windows 2000 professional is the best microsoft os to date  .
it does run a little slow and takes up more room then microsoft nt workstation 4  .
0 on a pentium ii 200 mhz , but that is to be expected since nt 4 is from 1996 and w2k is from 2000  .
anyways i recommened this to any nt 4 user that has a 150 mhz pentium with 64 megs of ram  .
i recently upgrade my pc from win98se to win2000pro  .
soo far i think its the best , coz i try winxppro it didnt give me good result plus it take a long time to upgrade although i must admit its kinda slow in booting time but usualy i dont boot , i just hybernate my pc .
i built a computer about a year ago , and installed the full version of win2000 pro  .
my system has never crashed once  .
i've had programs lock , but all i had to do is hit the windows key on the keyboard to get back to windows the system has never locked , honost  .
although , i've heard it's not for gamers , i have 27 different games installed of different types all run great , even the old ones  .
some software makers recommend windows 2000 pro over windows xp pro  .
i would recommend it to anyone who has a good understanding of computers (it does require more knowledge of computers and operating systems than win 95/98/winme) .
intuitive interface , stable performance , what else can i say  .
so much better than 98 , delivers what xp promises .
i've been using windows 2000 professional at home for about 4 months now and i have never gotten a bsod or hard crash  .
also i can protect my files and folders with win2k's security features and ntfs  .
these are degrees of security and stability that no win9x or me user will ever experience  .
i highly recommend this os to businesses and home users .
this os is the best out there  .
all of my programs run so nicely on it    solidworks , adobe premiere , photoshop , and all my games run so perfect on it  .
there is nothing wrong with it , though , i like the look of xp , but i can give up look for quality  .
device drivers can be found at http  //www  .
driversguide  .
com for any machine .
i used to have windows me and it almost destroyed my computer and my sanity  .
but eversince i changed to win2k , my sanity is back and my notebook works fine  .
it is more friendly than i expected  .
i use celeron processor , yet win2k seems to work just fine  .
if you are frustrated with 98se and/or me then change your os to win2k .
i do not like most m$ products , but i do have to admit that this is by far bettter than 95    xp  .
it's familiar and it's stable  .
also , diablo ii and everquest work well with it  .
i like how it's a m$ based os that actually uses all your ram and speeds the performance of everything up  .
i have to give credit where it's due , windows 2000 actually made me happy .
i will never go back to a 9x after using this os  .
best os microsoft has written to date even compared against xp pro  .
if you want an operating system that is flexible , reliable , and can do all you want here it is  .
i found that it can also run many games  .
do not mess with windows xp  .
2000 pro is the way to go .
windows 2000 is awesome  .
its really fast , and runs smoothly  .
once it boots , it runs faster then 98/me  .
