the sleaker and sexier design makes the new 360 much more appealing than the older models by far  .
not only is this a boost to aesthetics , but it is also more efficient with airflow design improvements and touch buttons  .
both a vast improvement from previous models , especially original core/pro models  .
it runs quietly , more so if you opt to install your game to the massive 250gb hdd  .
there have not been any tell    tale signs of a faulty system , such as freezing , overheating , glitching , erros messages , so far  .
i purchased the s 250gb in a holiday bundle package (the only one available at gamestop) which came with a brand new mic and a copy of forza 3  .
definately worth the $299  .
if you have an older model of the 360 , i definately recommend trading it in for $70 today  .
the hdd is an additional $10 , and your network adaptor will yield another $20  .
throw in a couple of games to trade in and you can get the system for nearly half price bottom line   pick up this xbox  .
you will be much happier after trading in your old system for this upgraded beauty .
it is nice to have an xbox that comes with the wifi built in  .
the 250gb drive is nice too .
would buy again in a heartbeat  .
overall it's great .
this is how the 360 should have been done the first time around  .
it functions perfectly , runs quiet , is fast and is able to cool much more efficiently  .
the 250gb hard drive keeps me from worrying about taking up too much space .
awesome upgrade , if for no other reason than the rrod and overheat issues are gone  .
that's more than enough cannot wait to see how kinect turns out also , the quality of gamer is much higher on xbox live than i have encountered on ps network have not played online on the wii  .
to me , paying for it keeps the gamer caliber and manners at a level of goodness that is quite satisfactory  .
i'm more than happy to fork out the cash to keep 360 online play less cluttered and quality oriented .
this console is a great upgrade  .
have not found any at the moment .
i am so sick of sony fan boys making up lies  .
coming from a former member of sca gamer advisory panel i know what i am talking about  .
yea it does not have blue    ray  .
but if you only knew how many friends i have that bought a ps3 and regret doing so  .
the games with the exception of a few are crap  .
their online service is buggy and glitchy as all hell  .
so easy to hack into service and cheat  .
yes you pay for xbox live but i love that feature  .
hardly any little kiddies messing up your games and cussing  .
but if you ever experience it microsoft put in a mute option  .
plus there frequently working to improve there great service  .
i love hearing about the xbox 360 rrd yet nothing about how the ps breaks and constant disc read errors  .
i had 9 yes 9 ps2 all different models and constant errors  .
if it was not for them breaking it is unable to read disc over and over again  .
so in summery  .
this new xbox 360 is a bargain of a deal with or without the trade in outlets  .
so many new ports and wifi integration  .
of course cant put vertical but ask any game store attendant that knows what there doing  .
if you put any console vertical it will scratch the disc  .
so why they make them stands never know  .
so game easy and without a doubt pick up this great new xbox 360 slim system .
worth the upgrade , but do not buy from gamestop  .
their trade    in promo is a scam  .
is told that it ended 2 days ago , but no where in the store were their signs or notices explaining that the program had ended  .
however on gamestop  .
com    says offer expires on 7    18    2010 .
for the most part i like the new 360 and will most likely be buying one  .
this is by far the best console made by microsoft  .
i don't hear a peep from the console the the volume is turned on  .
the only problem for me is that i need to buy a separate cable to transfer  .
it is the ultimate console for gaming at the moment  .
why waste 50 extra dollars for 250gb ps3 when nowadays , you can even get a blu ray player for less than that  .
it is a much better 360 p  .
