i haven't had a single problem with both of my boxes  .
i get all the channels in my area and a couple from outside my area  .
the picture on both boxes is outstanding , better than my dish receiver  .
the sound is very good through my home theater sound system i don't hear any of the problems people have described  .
i have a 32 sony tv and dvds don't look any better on it  .
i set out to buy a couple of tivax stb    t8 boxes based on the consumers reports ratings and couldn't find them  .
if the tivax box is better than the zenith it must be a very minute difference , i could not be happier with the reception , picture quality or sound my parents bought one two months ago and their box looks and sounds as good as mine  .
i would buy them again in a heartbeat updated  .
on dec 7 , 2009  .
i already use the tivax stb t8 which is one of the higher rated boxes  .
i thought it is great till i got this one  .
it brings in 30% more channels , the remote can be used at any angle and when i plugged it in , it found all the channels before i even went through set    up  .
i am using a 15 tv so this could make a difference in picture quality  .
maybe with a bigger screen , it would not be so clear  .
all i know is that i can see why all the reviews favor this converter box overall  .
i still like the tivax but favor this one .
its awesome  .
if you have an series 2 tivo , this is the box for you .
excellent box , if you are using the discount card .
what i like in the zenith dtt901 is his clear quality picture , the blue light when is on and red when its of , the sound is good too , specially if you have a good tv equipped with bbe audio with surround effect i made the first scan it gives me 19 channels at the second gives me 16 channels then a try another scan that gives me 14 channels i is mad at the moment   ) but after the forth scan i had more 22 channels i is very happy with that so try to scan a lot of times  .
i have some scramble channels but it's the consequence of the bad indoor antenna that i have , really it's a junk one , also very old  .
what i suggest for everyone is to buy a good digital antenna uhf over 25db for sure it will gives more channels  .
maybe we can reach 50 channels with a 50 db digital antenna  .
anyways i'm working on it by selecting a good indoor digital antenna (i do not have the choice to choose an outdoor antenna because i live in an apartment building) i find one in sears store its phillips 50db dtv antenna but i'm not in hurry to buy one now , looking for the best dtv antenna maybe one with 100 db   ) .
we purchased ge converter boxes through target in early august  .
i is unable to receive kixe , our local pbs station , which is 72 miles from where we live  .
i contacted the broadcast engineer at the station , tod  .
waite , and he said it is most likely our  .
rabbit ear  .
indoor antenna  .
and the solution would be to move our antenna away from the tv and up as  .
high as possible , or to buy a big outdoor antenna and either place it on  .
our roof or in our attic  .
we moved our antenna outside up on our 12'  .
ladder and it still did not come in  .
we were able to see kixe , but the  .
signal is far too weak to view it without constant interruption of the  .
transmission  .
we were about to purchase a huge outdoor antenna , in hopes  .
of receiving channel 9 again , then we thought of the cost of the antenna  .
and all the time it would take to set it up on the roof , and we decided  .
that basic cable at $15  .
50 a month would be more cost effective before we went to cable , which we did not want to pay for and never had to  .
before , i did research on converter boxes and found out that they are not  .
all alike  .
the zenith dtt901 rated the best in picture quality a well as  .
signal strength , so i went to radio shack and purchased one for $59  .
already used the $40 coupons for the ge converter boxes so i had to pay  .
full price  .
we did not expect to receive kixe on our indoor antenna placed  .
right over the tv set , because tod waite of kixe said that we are in the  .
worst transmission area in chico with the foothills blocking our signal  .
and we most likely had to get a roof top antenna i am overjoyed to say that the zenith dtt901 converter box , sold at both  .
circuit city and radio shack , solved the problem alone  .
we plugged it in  .
and scanned for channels and there it is all three kixe channel 9  .
stations came in great  .
the power is at 60% and the signal is clear and  .
works wonderfully  .
all other stations we receive are at 100% power ,  .
including channel 7 which is also located in redding , and i am sure that  .
if we ever do get a roof top antenna or place one in our attic , that kixe  .
would also be received at 100% power , but for now with a basic indoor  .
antenna right over our tv set , we are able to receive kixe perfectly i believe that i have found one of the only options ,  .
other then paying for dish or cable , and it is as simple as the right  .
converter box  .
living in the worst  .
reception area 72 miles from the station , i can pick it up clearly with my  .
old rabbit ear antenna on top of my tv set with the correct converter  .
box  .
we love this converter box and want everyone to know they are not all made equally and without the right box , not even the most powerful antenna will help get the signal strength .
i own two tvs  .
one is hd and second is a standard tv  .
after doing some research the zenith kept showing high on the list  .
i founded the dtt901 well stocked at my local circuit city  .
the cost is 60  .
00 less 40  .
00 from the gov  .
setup is very simple and fast .
i have purchased five of these units    two of them for my wife and me , two of them for my wife's parents , and one for a brother    in    law  .
the first ones were for us only  .
after i saw how well they worked i recommended them to the others  .
all were priced at $49  .
95 and purchased at circuit city  .
i have been looking for another for my sister    in    law , but have not been able to find one  .
circuit city now sells apex  .
one of the big selling points for us is that we can control the power of both the tv and the converter with the same remote  .
we do not need two remotes    one for the tv and one for the converter  .
one of the tv's is in the basement , where the analog signal has been very poor  .
the converter displays a wonderful picture from the digital signal and gives us all the available channeld  .
this unit is a winner  .
ran this by a family friend who is a high    end audio/visual installer and he highly recommended this box or the one from insignia at best buy  .
stated that both are relabled lg's and are excellent values when taking into the account reception clarity and the epg or guide  .
would buy another one if i needed it .
let me tell you a little about myself and my setup  .
m in my 50  .
i have better than 20/20 corrected vision  .
according to my daughter i don  .
t always hear the turn signal blinker (it  .
s not very loud)  .
but otherwise i think my hearing is typical for someone my age  .
i work as a scientist  .
so tend to look at details  .
but i also like to look at the big picture i have two tv  .
a 32  .
panasonic and a 20  .
toshiba  .
both more than 5 years old with good picture quality  .
the large tv is hooked up to an hd tivo  .
i get my tv signal from a large tv antenna (probably 20 years old) mounted on the roof of my 2 story home  .
the nearest transmitter is about 22 miles away in walnut grove , ca  .
i can also get some signals from the sf bay area  .
about 60 miles away i  .
ve read a lot of reviews of dtv converter boxes including the consumer reports review of the tivax stb    t9 and zenith dtt901  .
the tivax and related dtv converter boxes got a slightly higher rating from cr based on a slightly better picture overall  .
although the picture is slightly distorted  .
ve also looked at a large number of user reviews which gave high praise to the zenith (and related insignia)  .
the zenith reportedly has better low signal sensitivity than most  .
however in my opinion all reviewers are so focused on tiny differences in picture quality that they are overlooking features which in the long run make you glad  .
or sorry  .
that you bought the product since i needed two boxes , i decided to get one of each  .
after looking at the performance of both boxes for a couple of weeks i  .
ve developed to a clear preference picture quality   both boxes output excellent picture quality  .
i actually prefer the zenith because the slight distortion of the tivax is annoying until you  .
ve watched it for a couple of minutes  .
both have a picture comparable to my tivo box which is very good using the digital broadcasts  .
btw  .
the shielded cable output from the zenith box is definitely better  .
so remember this if your tv doesn  .
t take composite input sound quality through tv speakers   very good signal sensitivity   both boxes were more sensitive than my tivo tuners  .
the tivax found bay area channels 4 and 9 without turning my antenna  .
the zenith found channels 2 and 9  .
the zenith is definitely better holding channel 9 (60 miles from the transmitter) other features   this is where the differences piled up  .
it is the small things that make you love or hate a product boot up when turning the tuner on   zenith is a little faster  .
small delays are annoying in this fast    paced world  .
the initial channel scan on the zenith is much faster than the tivax  .
but since this rarely used it probably is not a huge deal user guide   both are limited  .
the zenith can potentially provide guide information about more than one station  .
but it appears you have to tune through all channels first so that it downloads the info  .
the zenith shows this show and the next  .
the tivax shows only one channel at a time but can give show you more hours ahead remote   both are well organized and easy to use  .
the tivax is more colorful and the buttons are easily seen against a silver background  .
but i had no trouble using either  .
direct input of channels   the zenith responded with a list of channels , e  .
6    1 , 6    2 , 6    3 if you entered a 6  .
so you could scroll to choose  .
not a big deal , but kind of nice  .
the tivax required you to enter the whole channel or would pick the first in the list if you took too long but the zenith remote blew the tivax out of the water with two big differences  .
first , the zenith has a universal remote feature to turn your tv on and off  .
with this feature you can toss your tv remote in the drawer  .
without it you need two remotes to control the tv and converter box  .
second , the zenith can be controlled by its remote from a wide range of angles  .
the tivax control had to be pointed directly at it  .
