i love this thing  .
i've never really appreciated the ipod design , not to mention their proprietary software and itunes  .
the zune still needs to be used with the microsoft software , but you get that for free and you can get your music anywhere  .
my zune has worked flawlessly for three years after i bought it used on craig's list  .
i downloaded the zune software off the internet for free and it automatically synced to my computer  .
the zune/software interface has worked flawlessly as well much better than my sony yp    t9 software and player  .
there's few things i do not like about my zune  .
i'm going to buy another one here very soon .
sure the zune is bulky and looks like a brick , but besides that you are getting a premium media player  .
which lets you watch your music videos , movies , and podcasts   listen to your beats while working out , sync your music to your zune while your in the garage , and of course play games via the wi    fi against your buddies or shop for music through zune marketplace via your zune  .
just buy and sync straight to your zune .
the zune is far better than the ipod in many ways  .
having a zune makes you stand out from all the ipod hype  .
the new zunes are even better with glass screens metal bodies and touchpad navigation  .
get a zune today and give it a chance , you wont be sorry  .
product features  .
30gb digital media player stores up to 7 , 500 songs , 25 , 000 pictures or 100 hours of video  .
features wireless networking so you can share tracks and other media  .
3    inch color screen features a landscape mode for video viewing  .
compatible with zune marketplace for media downloads and subscriptions  .
automatically imports your existing music , pictures and videos from itunes and windows media player in a variety of formats  .
technical details  .
brand name   zune  .
model   js8    00001  .
digital storage capacity   30 gb  .
supported standards   wma , aac , mp3  .
hardware platform   pc  .
battery average life   14 hours  .
width   7  .
44 inches  .
depth   0  .
6 inches  .
height   7  .
44 inches  .
weight   5  .
01 pounds  .
tuner technology   digital  .
radio bands supported   fm  .
remote control description   none  .
media type   hard disk drive  .
audio input   none  .
component_type   digital player  .
color name   black /black /red/white/pink  .
audio_output_mode   stereo  .
equalizer   yes  .
ms snow  .
tel   +86    755    83005811  .
fax  +86    755    83690816  .
http  //www  .
chinawason  .
http  //www  .
chinawason  .
com  .
msn  snow861018@hotmail  .
com  .
skype  rosesnow321  .
microsoft failed at getting the ipods going down but it's still a good mp3 player , in my opinion .
excelent mp3 player and fm radio  .
even after falling off of my car , my zune still hasnt stopped working just fine  .
i love having all the space  .
the transfer speed between my computer and zune is also really good and practically instant  .
if i could , i would buy again .
i do not have one , but i'm getting one (black) but i have used my brother's multiple times , watching red vs blue and listening to tom waits  .
its very durable , has a gorgeous screen and has never encountered a problem  .
it has so    so battery life , but that is my only complaint with it  .
when i get mine , i am going to name it the ipodkiller  .
microsoft rules  .
apple sucks  .
down with ipods  .
see the pros and cons , it says enough .
i think the zune rocks , beter than the ipod or the creative lab vison   m and the toshiba 30 gb mp3 player  .
the zune is better then those 3 cuz , those 3 do not have wifi and u cannot send music .
i've had my zune for about 6 months now and i still love it  .
