if you are debating on which mp3 player to get , get the zune  .
its better than an ipod not many apps but its usefull  .
the opposite of above line   the zune kicks hiney .
i wonder why cnet editors do not like this  .
zune  .
com has a great list of its apps and games  .
i think the games are perfectly fine  .
here's the web adress    .
http  //www  .
zune  .
net/en    us/products/zunehd/appsgames/apps  .
htm  .
also , mp3's were really only invented for portable music transport and listening  .
this is what makes a zune hd closer to an mp3 than the ipod touch .
the zune hd is an unbelievably rich music experience  .
it has a very responsive and resilient oled touchscreen that feels very natural  .
it is very fast and is amazing for discovering new music  .
the zune desktop software is fantastic in every way  .
the hd is better than every other media player in every way , pretty much , i mean there's really no comparison  .
yes , it doesn't have very many apps , but the ones it does have are incredibly high quality  .
personally , i do not care if it tells me if there are sushi restaurants nearby  .
it's the music aspect that's their strong point , even though it has the potential of killing the ipod touch's apps in every single imaginable way  .
i've been using zune for four years , since it looked like an orange version of windows media player , and i've had zunes and ipods  .
there really is no reason to like the ipod better than a zune  .
seriously  .
try it .
but this  .
i received an ipod touch as a gift but still chose to buy the zune hd  .
i've owned the zune 8gb in the past and loved its performance and functionality so i decided to upgrade  .
the zune , in my opinion , is cleaner and more sleek then the ipod touch  .
unfortunately the last 2 generations of zune have been drastically overlooked due to ipod's dominance  .
but to give credit where is due , the zune is pulling ahead  .
the interface is great and the zune software is more user friendly then itunes  .
one down for most might be the microsoft points transactions  .
if you have an xbox , it should not be an issue  .
if you are currently on xbox live and the zune marketplace , you use the same pool of points for both  .
give it a while , and more apps should be available  .
at the time i write this , there are only 11 or so apps available (mostly free) with the promise of more to come very soon .
best thing ever  .
i think the battery is very good , movie rentals , and subscription music integration finally give ipod expatriates something to shout about  .
cool mp3 player , and http  //www  .
epathchina  .
com/mp3    players    c    25  .
html there are many kinds of mp3 player , i think that is a good choose for you  .
very good device easily recommendable over the ipod touch seeing as how i have the 1st gen ipod touch and my sister has the 3rd i can easily say this completely beats the ipod touch in all categories except apps , while there are a few and expected to be a lot more and maybe even third party developing support there still are not as many as the ipod touch .
love the zune  .
if anyone has anything to say negative about the unit , they are probalby die hard ipod fans and are not use to mp3s  .
with more apps and if more people would give the zune a chance , it could give the ipod a run for the money  .
money well spent  .
overall the zune hd will bring microsoft back i thought that it would not meet my expectations over the ipod touch , i is wrong  .
this device has a great subscription service offering the zune pass which gives you unlimited music downloads  .
great buy if you do not mind the lack of apps and games  .
first media player i have owned that has made me a music lover  .
love being able to download albums from the microsoft application for only $14  .
99 per month (and you can keep 10 per month)  .
very few artists that are not available  .
would like to see more apps available soon  .
highly recommend this player  .
i have owned zune 30 gig , zune 8 gig and now zunehd  .
all have been great  .
solidly built products with excellent software  .
i have confidence that zune build quality is excellent as well , all of my zune's still work without any problems  .
zune software has some great improvements as well this time around  .
aside from the hardware , the software is a component that is largely being under reported  .
the hardware is only one piece of the puzzle  .
the software on the computer is amazing  .
it works great and is easy to use  .
new zune video rentals start playback almost instantly even though it's hd quality  .
if you are a music lover , the zune pass is incredible  .
$15 a month gives you 10 purchase credits and unlimited access to entire catalog  .
so essentially you paying $5 extra a month for access to entire catalog  .
zune pass makes it really cool to explore new bands and such as you can just download what you want whenever you want  .
if yo like what you hear you can use your 10 credits to purchase it  .
contrary to popular belief , you can also just use the zune software to buy mp3 songs just like itunes  .
you don't have to get the zune pass and just buy songs if that's your thing but trust me the zune pass is so worth it  .
give it a try  .
zune pass alone is the #1 reason why i cannot use an ipod of any sort for my music  .
