poor servicenot friendly assistance .

minimall with boots pharmacy, whole foods type ritzy fullservice market, coffee shops, etc .

to get room service, it called housekeeping .

good location horrible service disgusting procedures .

service impersonal but friendly .

good location new room bad service  .

service was impeccably english hotel, wide .

near a tube station that services three subway lines, for starters .

service is not particularly attentive, but not rude .

poor customer service, bad and overpriced pub food .

