Poor serviceNot friendly assistance .
Minimall with Boots pharmacy, Whole Foods type ritzy fullservice market, coffee shops, etc .
To get Room Service, it called Housekeeping .
Good Location Horrible Service Disgusting Procedures .
Service impersonal but friendly .
Good Location New Room Bad Service  .
Service was impeccably English hotel, wide .
Near a tube station that services three subway lines, for starters .
Service is not particularly attentive, but not rude .
Poor customer service, bad and overpriced pub food .
Service in all areas, at all levels was good .
It met all my expectations ,  very clean room w pleasing modern decor, above average housekeeping services, accomodating staff .
Stunning food, amazing service .
I wish that the hotel had better service, however .
Fantastic, professional, helpful staff, clean rooms, great room service, fitness area and Internet Business facilities keep me coming back .
Basic clean lodging service lacking .
It was clean and serviced promptly every day with fresh linen and towels .
Room service took 15 minutes, which shocked me .
not customer, oriented hotelvery low service levelboor reception
If you are looking for a bit more comfort and better service, look elsewhere .
