,experiment,rouge_type,score_type,score,confidence_level,level1,-,level2
0,AM_MS_10,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
1,AM_MS_10,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
2,AM_MS_10,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3,AM_MS_10,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
4,AM_MS_10,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
5,AM_MS_10,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
6,AM_MS_10,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
7,AM_MS_10,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
8,AM_MS_10,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
9,AM_MS_20,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
10,AM_MS_20,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
11,AM_MS_20,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
12,AM_MS_20,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
13,AM_MS_20,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
14,AM_MS_20,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
15,AM_MS_20,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
16,AM_MS_20,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
17,AM_MS_20,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
18,AM_MS_F,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
19,AM_MS_F,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
20,AM_MS_F,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
21,AM_MS_F,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
22,AM_MS_F,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
23,AM_MS_F,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
24,AM_MS_F,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
25,AM_MS_F,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
26,AM_MS_F,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
27,AM_OP_10,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
28,AM_OP_10,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
29,AM_OP_10,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
30,AM_OP_10,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
31,AM_OP_10,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
32,AM_OP_10,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
33,AM_OP_10,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
34,AM_OP_10,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
35,AM_OP_10,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
36,AM_OP_20,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
37,AM_OP_20,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
38,AM_OP_20,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
39,AM_OP_20,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
