,experiment,rouge_type,score_type,score,confidence_level,level1,-,level2
0,MICROPINION,ROUGE-1,Average_R:,0.01648,(95%-conf.int.,0.00581,-,0.02382)
1,MICROPINION,ROUGE-1,Average_P:,0.06262000000000001,(95%-conf.int.,0.02083,-,0.08333)
2,MICROPINION,ROUGE-1,Average_F:,0.02603,(95%-conf.int.,0.00909,-,0.03706)
3,MICROPINION,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
4,MICROPINION,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
5,MICROPINION,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
6,MICROPINION,ROUGE-SU*,Average_R:,0.00157,(95%-conf.int.,0.00054,-,0.00225)
7,MICROPINION,ROUGE-SU*,Average_P:,0.027839999999999997,(95%-conf.int.,0.00926,-,0.03704)
8,MICROPINION,ROUGE-SU*,Average_F:,0.00297,(95%-conf.int.,0.00103,-,0.00424)
9,MI_MS_10,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
10,MI_MS_10,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
11,MI_MS_10,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
12,MI_MS_10,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
13,MI_MS_10,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
14,MI_MS_10,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
15,MI_MS_10,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
16,MI_MS_10,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
17,MI_MS_10,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
18,MI_MS_20,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
19,MI_MS_20,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
20,MI_MS_20,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
21,MI_MS_20,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
22,MI_MS_20,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
23,MI_MS_20,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
24,MI_MS_20,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
25,MI_MS_20,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
26,MI_MS_20,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
27,MI_MS_A,ROUGE-1,Average_R:,0.051160000000000004,(95%-conf.int.,0.03707,-,0.06452)
28,MI_MS_A,ROUGE-1,Average_P:,0.04697,(95%-conf.int.,0.03125,-,0.06250)
29,MI_MS_A,ROUGE-1,Average_F:,0.04862,(95%-conf.int.,0.03331,-,0.06210)
30,MI_MS_A,ROUGE-2,Average_R:,0.017669999999999998,(95%-conf.int.,0.00625,-,0.02566)
31,MI_MS_A,ROUGE-2,Average_P:,0.0167,(95%-conf.int.,0.00556,-,0.02222)
